1,¿Capital?,¿CFE?,Nombre,Lat,Lon,ID,poblacion,Grupo
1,0,1,Acapulco de Juárez,16.83546,-99.82789,3629,673479,41
1,0,1,Acayucan,17.95111,-94.91319,3437,50934,38
1,0,1,Agua Prieta,31.31033,-109.55041,3498,77254,2
1,1,1,Aguascalientes,21.88319,-102.2913,3635,722250,14
1,0,1,Altamira,22.40796,-97.91769,3461,59536,32
1,0,0,Navolato,24.75728,-107.70298,3315,29153,4
1,0,0,Atlacomulco de Fabela,19.79802,-99.87554,3209,22774,43
1,0,0,Santa María Huatulco,15.83163,-96.32065,2437,7409,45
1,0,0,Bahía de Kino,28.84434,-111.97145,2148,6050,2
1,0,0,Barra de Navidad,19.20604,-104.67898,1562,4324,37
1,0,1,Heroica Caborca,30.7236,-112.16443,3462,59922,2
1,0,1,Cabo San Lucas,22.89959,-109.93283,3482,68463,4
1,0,1,Cadereyta de Montes,20.69195,-99.82131,2938,13347,12
1,0,1,Ciudad Camargo,26.31958,-98.83573,2503,7984,31
1,1,1,San Francisco de Campeche,19.83444,-90.52734,3572,220389,5
1,0,1,Heroica Ciudad de Cananea,30.98843,-110.28474,3339,31560,2
1,0,1,Cancún,21.1214,-86.85588,3627,628306,1
1,0,1,Celaya,20.52855,-100.81709,3594,340387,47
1,0,1,Ciudad Acuña,29.32265,-100.97036,3544,134233,42
1,0,1,Ciudad Constitución,25.04826,-111.67714,3402,40935,3
1,0,0,Cd. Cuauhtémoc,22.1842,-97.83245,2695,9740,32
1,0,1,Ciudad del Carmen,18.65045,-91.7984,3560,169466,33
1,0,1,Ciudad Guzmán,19.70303,-103.46802,3517,97750,37
1,0,1,Ciudad Hidalgo,14.67802,-92.15528,3003,14606,17
1,0,1,Juárez,17.60627,-93.18675,2423,7286,36
1,0,0,Ciudad Mante,22.73087,-98.98357,3506,84787,32
1,0,1,Ciudad Obregón,27.48228,-109.94289,3588,298625,3
1,0,1,Ciudad Valles,21.98859,-99.0155,3540,124644,16
1,1,1,Ciudad Victoria,23.741,-99.14332,3590,305155,32
1,0,1,Coatzacoalcos,18.13422,-94.46303,3573,235983,38
1,0,0,Choix,26.71026,-108.32814,2657,9306,4
1,1,1,Colima,19.2418,-103.72861,3545,137383,37
1,0,0,Comitán de Domínguez,16.22773,-92.13036,3516,97537,13
1,0,1,Córdoba,18.89017,-96.94009,3547,140896,50
1,0,1,Cuautla,18.83407,-98.9345,3553,154358,6
1,0,0,Cuencamé de Ceniceros,24.8677,-103.69844,2705,9848,29
1,1,1,Cuernavaca,18.93188,-99.24057,3593,338650,6
1,1,1,Culiacán Rosales,24.80522,-107.42297,3631,675773,4
1,0,0,Champotón,19.34441,-90.72388,3334,30881,5
1,1,1,Chetumal,18.52216,-88.30478,3551,151243,5
1,1,1,Chilpancingo de los Bravo,17.54773,-99.49969,3563,187251,41
1,1,1,Chihuahua,28.67113,-106.10523,3640,809232,15
1,0,1,Delicias,28.18616,-105.46341,3532,118071,15
1,1,1,Victoria de Durango,24.02273,-104.64828,3616,518709,29
1,0,1,Ensenada,31.84087,-116.61008,3585,279765,7
1,0,1,Escárcega,18.6063,-90.74589,3320,29477,5
1,0,1,Fresnillo,23.18293,-102.87289,3536,120944,49
1,0,0,Frontera,18.53302,-92.64565,3210,22795,36
1,1,1,Guadalajara,20.67379,-103.33541,3649,1495182,44
1,0,1,Guamúchil,25.45964,-108.07598,3471,63743,4
1,1,1,Guanajuato,21.02513,-101.2579,3489,72237,28
1,0,0,Guasave,25.57071,-108.4728,3487,71196,4
1,0,1,Heroica Guaymas,27.92728,-110.90792,3528,113082,3
1,0,0,Guerrero Negro,27.96847,-114.03994,2919,13054,21
1,1,1,Hermosillo,29.0814,-110.98899,3634,715061,2
1,0,0,Hidalgo del Parral,26.949,-105.67759,3524,104836,9
1,0,0,Heroica Ciudad de Huajuapan de León,17.8047,-97.7827,3445,53043,35
1,0,0,Huejutla de Reyes,21.13971,-98.4121,3397,40015,16
1,0,0,Irapuato,20.67749,-101.3418,3600,380941,28
1,0,0,Izúcar de Matamoros,18.59806,-98.47266,3412,43006,6
1,0,0,José Mariano Jiménez,27.13146,-104.91445,3361,34281,9
1,0,1,Juchitán,16.62684,-98.63824,918,3346,24
1,0,0,Lagos de Moreno,21.35526,-101.92355,3519,98206,28
1,1,1,La Paz,24.11644,-110.30271,3570,215178,4
1,0,0,La Tinaja,24.11644,-110.30271,3570,215178,4
1,0,1,Lázaro Cárdenas,16.60552,-93.7946,615,3002,13
1,0,1,León de los Aldama,21.12192,-101.66601,3645,1238962,28
1,0,1,Linares,24.86061,-99.55768,3470,63104,31
1,0,1,Loreto,23.84668,-103.00768,217,2637,29
1,0,1,Los Mochis,25.78409,-108.99131,3580,256613,4
1,0,1,Magdalena,20.91243,-103.96828,3071,16214,44
1,0,1,Manzanillo,19.08538,-104.29403,3543,130035,37
1,0,0,Maravatío de Ocampo,19.89344,-100.44394,3362,34381,43
1,0,1,Matamoros,25.5258,-103.23152,3443,52233,9
1,0,0,Matehuala,23.6553,-100.63837,3499,77328,22
1,0,0,Matías Romero Avendaño,16.87308,-95.03128,3148,18944,34
1,0,1,Mazatlán,17.43783,-99.46774,1949,5316,41
1,1,1,Mérida,20.9761,-89.63292,3638,777615,1
1,1,1,Mexicali,32.61331,-115.45029,3632,689775,7
1,1,0,Iztapalapa,19.34285,-99.05017,3651,1815786,26
1,0,1,Minatitlán,19.38778,-104.05328,1689,4588,37
1,0,1,Monclova,26.90779,-101.42667,3571,215271,42
1,1,1,Morelia,19.70365,-101.20612,3622,597511,39
1,0,0,Montemorelos,25.18875,-99.82931,3421,45108,31
1,1,1,Monterrey,25.6488,-100.3031,3642,1135512,31
1,0,1,Nacozari de García,30.37311,-109.68865,2837,11489,2
1,0,1,Navojoa,27.06792,-109.4518,3529,113836,3
1,0,1,Nogales,18.82019,-97.16479,3197,22085,50
1,0,0,Nueva Rosita,27.93365,-101.22195,3388,38158,42
1,0,1,Nuevo Casas Grandes,30.42153,-107.90417,3454,55553,15
1,0,1,Nuevo Laredo,27.45226,-99.54459,3599,373725,42
1,1,1,Oaxaca de Juárez,17.0813,-96.73564,3578,255029,30
1,0,0,Ocosingo,16.90854,-92.09176,3404,41878,33
1,0,1,Ocotlán,19.3116,-98.22225,3199,22248,48
1,0,0,Manuel Ojinaga,29.54533,-104.41302,3208,22744,15
1,0,1,Orizaba,18.85909,-97.09677,3535,120844,50
