LOCALIDADES,Los rganos de Juan R. Escudero,Tuncingo,Las Mesas,Palo Blanco,Chiepetepec,Coacoyula de lvarez,Colotepec,Tototepec (Yozononi),Huamuchapa,Copanatoyac,Tlamixtlahuacan,Pochahuizco,Yextla,Amatillo,Atlixtac,Ahuacuotzingo,Acatln,Colotlipa,Tuliman,Temalacatzingo,Xochipala,Tixtlancingo,Tepetixtla,Xalpatlhuac,Mezcala,Alpoyeca,Nejapa,Ayahualulco,Xalpatlhuac,Tecoanapa,San Pedro las Playas,Apango,Las Vigas,Huitziltepec,Tres Palos,Mochitln,Mazatln,Quechultenango,Olinal,Atliaca,Huamuxtitln,Zitlala,Bajos del Ejido,Kilmetro 30,Tlacotepec,Ocotito,Xaltianguis,Petaquillas,Chichihualco,Tierra Colorada,Cruz Grande,San Marcos,Coyuca de Bentez,Ayutla de los Libres,Tixtla de Guerrero,Zumpango del Ro,Chilapa de lvarez,Tlapa de Comonfort,Chilpancingo de los Bravo,Acapulco de Jurez, 
Los rganos de Juan R. Escudero,0,15.558,88.339,93.115,245.422,184.185,129.8,293.257,111.73,279.417,153.831,160.223,197.933,30.72,251.177,199.03,157.475,134.534,288.049,303.291,186.479,47.576,83.684,126.248,156.667,293.599,156.483,154.131,287.667,116.012,23.283,135.526,88.311,133.256,18.35,109.174,98.044,126.137,274.533,123.375,311.549,162.521,32.213,15.228,212.526,66.767,35.584,98.879,136.029,54.832,104.635,67.307,46.48,138.939,112.624,116.37,150.635,274.664,100.025,17.819, 
Tuncingo,15.558,0,93.748,98.524,250.831,189.594,105.087,298.666,89.514,284.826,159.24,165.632,203.342,15.604,256.586,204.439,162.884,139.943,293.458,308.7,191.888,56.94,93.048,101.535,162.076,299.008,161.892,159.54,293.076,91.299,8.167,140.935,73.195,138.665,3.234,114.583,103.453,131.546,279.942,128.784,316.958,167.93,41.577,24.592,217.935,72.176,44.948,104.288,141.438,60.241,89.519,52.191,55.844,123.822,118.033,121.779,156.044,280.073,105.434,8.001, 
Las Mesas,88.339,93.748,0,84.491,241.572,180.334,41.637,289.407,23.567,275.567,149.981,156.373,194.083,74.255,247.327,195.18,153.625,130.684,284.199,299.441,182.628,144.315,180.423,38.085,152.816,289.749,152.633,150.281,283.817,27.849,80.4,131.676,58.008,129.405,86.58,105.324,89.42,122.287,270.683,119.525,307.699,158.671,128.952,111.966,208.676,58.143,75.673,95.029,132.179,46.208,74.332,36.527,143.219,46.819,108.774,112.519,146.785,270.814,96.175,95.536, 
Palo Blanco,93.115,98.524,84.491,0,167.465,106.228,122.356,215.3,104.286,201.46,75.874,82.266,119.976,121.624,173.22,121.073,79.518,48.798,210.092,225.334,108.522,133.766,169.873,118.804,78.71,215.642,78.526,76.174,209.71,108.568,114.187,57.569,179.215,55.299,110.03,23.438,5.175,40.401,196.576,45.418,233.592,84.564,118.402,91.911,134.569,34.391,76.729,13.983,58.072,46.154,195.539,158.211,132.669,127.538,34.667,38.413,72.678,196.707,22.068,109.499, 
Chiepetepec,245.422,250.831,241.572,167.465,0,228.141,283.906,47.907,265.836,34.067,113.703,106.718,246.21,277.76,39.311,51.898,101.656,128.704,178.393,66.113,230.435,290.1,326.207,280.354,200.623,48.249,94.218,114.003,42.317,270.118,270.323,144.263,335.351,177.212,266.166,148.937,179.646,129.75,37.355,139.739,66.199,106.702,274.736,248.244,260.803,206.053,233.063,166.464,184.306,208.939,231.128,314.347,289.003,289.088,134.142,160.326,94.944,29.314,148.933,265.635, 
Coacoyula de lvarez,184.185,189.594,180.334,106.228,228.141,0,209.945,275.972,191.875,262.132,136.546,142.938,120.418,203.799,233.892,181.745,140.19,128.158,82.132,187.603,59.395,216.139,252.246,206.393,32.402,276.314,139.198,136.846,270.382,196.157,196.362,117.936,261.39,83.36,192.205,102.798,105.685,119.761,257.248,105.785,294.264,145.236,200.775,174.283,134.675,132.092,159.102,92.503,110.345,134.978,277.714,240.386,215.042,215.127,102.261,68.509,133.35,257.379,84.622,191.674, 
Colotepec,129.8,105.087,41.637,122.356,283.906,209.945,0,241.543,42.3,305.505,179.919,186.311,224.021,92.191,277.265,225.118,183.563,160.622,314.137,329.379,212.566,162.648,198.755,26.206,182.754,319.687,182.571,180.219,242.289,14.534,98.336,161.614,67.16,159.343,104.516,135.262,119.358,152.225,300.621,149.463,337.637,188.609,147.284,120.792,238.614,88.081,105.611,124.967,162.117,76.146,50.739,54.462,161.551,17.57,138.712,142.457,176.723,300.752,126.113,113.472, 
Tototepec (Yozononi),293.257,298.666,289.407,215.3,47.907,275.972,241.543,0,312.301,56.34,160.168,153.183,292.675,324.225,85.775,98.363,148.121,175.169,224.858,112.578,276.9,336.565,372.672,254.352,247.088,42.617,140.682,160.468,9.22,242.68,316.788,190.728,207.366,223.677,312.631,195.402,226.111,176.215,83.82,186.204,60.567,153.167,321.201,294.709,307.268,252.518,279.528,212.929,230.771,255.404,191.696,228.705,335.468,223.731,180.607,206.791,141.409,23.681,195.398,312.1, 
Huamuchapa,111.73,89.514,23.567,104.286,265.836,191.875,42.3,312.301,0,303.783,178.197,184.589,222.299,75.659,275.543,223.396,181.841,158.9,312.415,327.657,210.844,145.719,181.827,24.484,181.032,317.965,180.849,178.497,312.033,14.248,81.804,159.892,59.412,157.621,87.984,133.54,117.636,150.503,298.899,147.741,335.915,186.887,130.356,113.37,236.892,86.359,103.889,123.245,160.395,74.424,66.387,37.931,144.623,33.218,136.99,140.735,175.001,299.03,124.391,96.94, 
Copanatoyac,279.417,284.826,275.567,201.46,34.067,262.132,305.505,56.34,303.783,0,154.02,147.035,286.527,318.077,79.628,92.215,141.973,169.021,218.711,106.431,270.752,330.417,366.524,320.671,240.94,42.012,134.535,154.32,36.08,310.435,310.64,184.58,240.561,217.529,306.483,189.254,219.963,170.067,77.673,180.056,59.962,147.019,315.053,288.561,301.12,246.37,273.38,206.781,224.623,249.256,224.891,354.664,329.32,124.867,174.459,200.643,135.261,23.076,189.25,305.952, 
