LOCALIDADES,Baha Bufadero (Caleta de Campos),Cenobio Moreno (Las Colonias),Petacalco,Tumbiscato de Ruiz,Catalinas (Francisco Villa),Gmbara,Playa Azul,Zicuirn,La Unin,Parcuaro,Santa Ana Amatln,Churumuco de Morelos,Tanctaro,Aguililla,Antnez (Morelos),La Huacana,Buenos Aires,Felipe Carrillo Puerto (La Ruana),Buenavista Tomatln,Arteaga,Coalcomn de Vzquez Pallares,Lombarda,La Mira,Tepalcatepec,La Orilla,Nueva Italia de Ruiz,Las Guacamayas,Ciudad Lzaro Crdenas,Apatzingn de la Constitucin, 
Baha Bufadero (Caleta de Campos),0,274.821,80.751,153.914,283.595,229.588,55.149,247.924,120.802,264.493,283.801,300.321,300.192,342.503,240.478,272.161,58.379,308.695,292.09,112.049,238.943,251.835,54.022,326.427,64.902,232.353,68.581,70.928,259.424, 
Cenobio Moreno (Las Colonias),274.821,0,196.25,129.742,9.525,54.65,228.768,70.502,200.621,37.962,12.568,122.899,44.144,68.434,37.322,94.739,217.373,30.888,21.622,173.12,128.511,70.279,221.632,55.959,210.59,50.796,212.268,209.011,16.909, 
Petacalco,80.751,196.25,0,130.959,206.068,152.061,37.201,170.398,42.65,186.966,206.274,222.795,222.665,264.976,162.951,194.635,25.806,231.168,214.563,89.094,321.452,174.308,30.065,248.9,19.023,154.826,18.887,17.444,181.897, 
Tumbiscato de Ruiz,153.914,129.742,130.959,0,138.685,77.478,108.405,107.149,169.051,119.583,138.891,159.546,155.282,149.075,95.568,131.386,106.628,163.785,147.18,42.151,254.069,106.926,101.269,181.517,113.151,87.443,116.83,119.177,114.514, 
Catalinas (Francisco Villa),283.595,9.525,206.068,138.685,0,63.423,237.541,79.275,209.394,46.735,10.702,131.672,52.917,58.908,46.095,103.512,226.146,21.363,19.756,181.893,126.645,79.052,230.405,54.093,219.363,59.569,221.041,217.784,25.682, 
Gmbara,229.588,54.65,152.061,77.478,63.423,0,184.113,32.031,155.966,44.465,63.773,84.428,80.164,122.475,20.45,56.268,172.718,88.667,72.062,132.134,178.951,31.808,176.977,106.399,165.935,12.325,167.613,164.356,39.396, 
Playa Azul,55.149,228.768,37.201,108.405,237.541,184.113,0,202.498,75.376,219.067,238.375,254.895,254.766,297.077,195.052,226.735,12.953,263.269,246.664,66.623,353.553,206.409,8.596,281.001,19.476,186.927,23.155,25.502,213.998, 
Zicuirn,247.924,70.502,170.398,107.149,79.275,32.031,202.498,0,174.95,60.213,79.521,52.702,95.912,138.223,36.198,25.341,191.702,104.415,87.81,147.449,194.699,47.555,195.961,122.147,184.919,28.073,186.597,183.34,55.144, 
La Unin,120.802,200.621,42.65,169.051,209.394,155.966,75.376,174.95,0,190.263,209.571,226.092,225.962,268.273,166.248,197.932,64.09,234.465,217.86,127.378,324.749,177.605,68.349,252.197,57.307,158.123,58.986,55.728,185.194, 
Parcuaro,264.493,37.962,186.966,119.583,46.735,44.465,219.067,60.213,190.263,0,46.356,112.888,59.114,105.058,27.312,84.728,207.362,71.25,54.645,163.109,161.534,60.268,211.621,88.982,200.579,40.785,202.257,199,21.979, 
Santa Ana Amatln,283.801,12.568,206.274,138.891,10.702,63.773,238.375,79.521,209.571,46.356,0,131.958,46.636,69.622,46.381,103.798,226.432,25.889,9.284,182.179,116.173,79.338,230.691,43.621,219.649,59.855,221.327,218.07,25.412, 
Churumuco de Morelos,300.321,122.899,222.795,159.546,131.672,84.428,254.895,52.702,226.092,112.888,131.958,0,148.309,190.62,88.595,58.511,244.099,156.812,140.207,199.846,247.096,99.952,248.358,174.544,237.316,80.47,238.994,235.737,107.541, 
Tanctaro,300.192,44.144,222.665,155.282,52.917,80.164,254.766,95.912,225.962,59.114,46.636,148.309,0,110.369,62.569,119.985,242.619,61.199,43.152,198.366,151.483,89.182,246.878,78.931,235.836,76.042,237.514,234.257,41.925, 
Aguililla,342.503,68.434,264.976,149.075,58.908,122.475,297.077,138.223,268.273,105.058,69.622,190.62,110.369,0,105.021,162.438,285.072,71.156,78.682,240.819,75.82,137.978,289.331,102.551,278.289,118.495,279.967,276.71,84.608, 
Antnez (Morelos),240.478,37.322,162.951,95.568,46.095,20.45,195.052,36.198,166.248,27.312,46.381,88.595,62.569,105.021,0,60.582,183.216,70.958,54.353,138.963,161.242,36.122,187.475,88.69,176.433,16.639,178.111,174.854,21.687, 
La Huacana,272.161,94.739,194.635,131.386,103.512,56.268,226.735,25.341,197.932,84.728,103.798,58.511,119.985,162.438,60.582,0,215.938,128.651,112.046,171.685,218.935,71.791,220.197,146.383,209.155,52.309,210.833,207.576,79.38, 
Buenos Aires,58.379,217.373,25.806,106.628,226.146,172.718,12.953,191.702,64.09,207.362,226.432,244.099,242.619,285.072,183.216,215.938,0,251.482,234.877,67.602,341.766,194.622,8.573,269.214,7.689,175.14,11.368,13.715,202.211, 
Felipe Carrillo Puerto (La Ruana),308.695,30.888,231.168,163.785,21.363,88.667,263.269,104.415,234.465,71.25,25.889,156.812,61.199,71.156,70.958,128.651,251.482,0,18.436,207.265,104.549,104.424,255.777,31.997,244.735,84.941,246.413,243.156,50.498, 
Buenavista Tomatln,292.09,21.622,214.563,147.18,19.756,72.062,246.664,87.81,217.86,54.645,9.284,140.207,43.152,78.682,54.353,112.046,234.877,18.436,0,190.476,108.49,87.635,238.988,35.938,227.946,68.152,229.624,226.367,33.709, 
Arteaga,112.049,173.12,89.094,42.151,181.893,132.134,66.623,147.449,127.378,163.109,182.179,199.846,198.366,240.819,138.963,171.685,67.602,207.265,190.476,0,298.537,151.393,59.615,225.985,71.497,131.911,75.176,77.523,158.982, 
Coalcomn de Vzquez Pallares,238.943,128.511,321.452,254.069,126.645,178.951,353.553,194.699,324.749,161.534,116.173,247.096,151.483,75.82,161.242,218.935,341.766,104.549,108.49,298.537,0,195.002,346.355,73.55,335.313,175.519,336.991,333.734,141.076, 
Lombarda,251.835,70.279,174.308,106.926,79.052,31.808,206.409,47.555,177.605,60.268,79.338,99.952,89.182,137.978,36.122,71.791,194.622,104.424,87.635,151.393,195.002,0,199.015,122.064,187.973,20.544,189.651,186.394,55.061, 
La Mira,54.022,221.632,30.065,101.269,230.405,176.977,8.596,195.961,68.349,211.621,230.691,248.358,246.878,289.331,187.475,220.197,8.573,255.777,238.988,59.615,346.355,199.015,0,274.437,12.913,180.363,16.592,18.938,207.434, 
Tepalcatepec,326.427,55.959,248.9,181.517,54.093,106.399,281.001,122.147,252.197,88.982,43.621,174.544,78.931,102.551,88.69,146.383,269.214,31.997,35.938,225.985,73.55,122.064,274.437,0,262.277,102.483,263.955,260.698,68.04, 
La Orilla,64.902,210.59,19.023,113.151,219.363,165.935,19.476,184.919,57.307,200.579,219.649,237.316,235.836,278.289,176.433,209.155,7.689,244.735,227.946,71.497,335.313,187.973,12.913,262.277,0,168.409,4.637,6.984,195.48, 
Nueva Italia de Ruiz,232.353,50.796,154.826,87.443,59.569,12.325,186.927,28.073,158.123,40.785,59.855,80.47,76.042,118.495,16.639,52.309,175.14,84.941,68.152,131.911,175.519,20.544,180.363,102.483,168.409,0,169.955,166.698,35.365, 
Las Guacamayas,68.581,212.268,18.887,116.83,221.041,167.613,23.155,186.597,58.986,202.257,221.327,238.994,237.514,279.967,178.111,210.833,11.368,246.413,229.624,75.176,336.991,189.651,16.592,263.955,4.637,169.955,0,9.352,197.848, 
Ciudad Lzaro Crdenas,70.928,209.011,17.444,119.177,217.784,164.356,25.502,183.34,55.728,199,218.07,235.737,234.257,276.71,174.854,207.576,13.715,243.156,226.367,77.523,333.734,186.394,18.938,260.698,6.984,166.698,9.352,0,194.223, 
Apatzingn de la Constitucin,259.424,16.909,181.897,114.514,25.682,39.396,213.998,55.144,185.194,21.979,25.412,107.541,41.925,84.608,21.687,79.38,202.211,50.498,33.709,158.982,141.076,55.061,207.434,68.04,195.48,35.365,197.848,194.223,0, 
