LOCALIDADES,Bacabchn,Limones,Sihochac,Carrillo Puerto,lvaro Obregn,Javier Rojo Gmez,Cepeda,Vicente Guerrero,Divisin del Norte,Santo Domingo Kest,Villa Madero,Bolonchn de Rejn,Xpujil,Nicols Bravo,Chin,Calderitas,Nunkin,Bcal,Sabancuy,Hopelchn,Tenabo,Lerma,Pomuch,Seybaplaya,Halach,Hecelchakn,Bacalar,Dzitbalch,Calkin,Escrcega,Champotn,Chetumal,San Francisco de Campeche, 
Bacabchn,0,347.579,134.888,185.29,455.692,459.871,32.556,143.543,238.047,144.067,122.32,71.422,378.181,427.317,82.201,443.311,25.078,20.379,207.132,104.467,35.734,84.661,22.51,108.037,28.076,15.677,399.74,4.434,13.572,225.621,141.346,436.142,77.069, 
Limones,347.579,0,439.146,345.93,108.894,113.073,339.584,301.078,337.499,448.325,429.352,319.578,171.428,121.292,435.08,96.513,356.527,338.13,404.301,352.623,388.613,437.54,375.389,444.344,345.827,368.556,52.942,351.233,350.514,324.055,407.08,89.344,429.948, 
Sihochac,134.888,439.146,0,76.082,383.51,387.689,165.222,143.35,128.839,9.187,15.775,137.463,268.973,318.109,58.018,394.342,157.745,153.045,97.924,104.046,100.177,53.823,120.356,30.767,160.742,118.48,387.699,137.101,146.239,116.413,32.138,387.173,57.479, 
Carrillo Puerto,185.29,345.93,76.082,0,290.054,294.233,215.523,171.405,88.332,72.659,66.076,225.477,175.516,224.652,108.319,300.886,208.046,203.346,106.731,192.06,150.478,104.124,170.657,81.068,211.043,168.781,294.243,187.402,196.54,75.906,43.804,293.717,107.78, 
lvaro Obregn,455.692,108.894,383.51,290.054,0,4.311,410.656,272.191,281.623,392.449,373.476,329.691,115.552,65.415,415.719,63.849,427.599,409.202,348.425,296.242,457.878,411.524,478.057,388.468,416.899,476.181,57.206,422.305,421.586,268.179,351.204,56.68,415.18, 
Javier Rojo Gmez,459.871,113.073,387.689,294.233,4.311,0,414.835,276.37,285.802,396.628,377.655,333.87,119.731,69.594,419.898,68.028,431.778,413.381,352.604,300.421,462.057,415.703,482.236,392.647,421.078,480.36,61.385,426.484,425.765,272.358,355.383,60.859,419.359, 
Cepeda,32.556,339.584,165.222,215.523,410.656,414.835,0,191.334,266.527,172.547,150.8,119.212,406.661,455.797,110.681,429.018,16.614,11.91,235.612,152.258,64.215,113.141,50.991,136.517,5.041,44.157,385.447,26.834,20.534,254.101,169.826,421.849,105.549, 
Vicente Guerrero,143.543,301.078,143.35,171.405,272.191,276.37,191.334,0,284.589,136.623,168.862,72.548,157.793,206.929,128.743,283.163,166.814,162.115,253.674,39.099,124.273,137.827,144.453,154.579,169.812,130.98,276.52,146.17,155.308,272.163,187.888,275.994,125.33, 
Divisin del Norte,238.047,337.499,128.839,88.332,281.623,285.802,266.527,284.589,0,137.822,118.849,278.25,167.033,216.169,161.092,292.403,260.819,256.119,85.934,244.833,203.251,156.897,223.43,133.841,263.816,221.554,285.76,240.175,249.313,13.478,96.577,285.234,160.553, 
Santo Domingo Kest,144.067,448.325,9.187,72.659,392.449,396.628,172.547,136.623,137.822,0,24.954,130.946,278.152,327.288,67.197,403.521,166.924,162.224,107.103,97.529,109.356,63.002,129.535,39.946,169.921,127.659,396.878,146.28,155.418,125.592,41.317,396.352,66.658, 
Villa Madero,122.32,429.352,15.775,66.076,373.476,377.655,150.8,168.862,118.849,24.954,0,163.448,259.117,308.253,46.29,384.486,146.017,141.317,88.068,130.031,88.449,37.594,108.628,13.416,149.014,106.752,377.843,125.373,134.511,106.557,22.282,377.317,45.751, 
Bolonchn de Rejn,71.422,319.578,137.463,225.477,329.691,333.87,119.212,72.548,278.25,130.946,163.448,0,215.596,264.732,123.025,409.303,94.699,90,247.956,33.478,78.008,132.109,64.784,148.861,97.697,58.865,365.732,74.055,83.193,266.445,182.17,402.134,119.612, 
Xpujil,378.181,171.428,268.973,175.516,115.552,119.731,406.661,157.793,167.033,278.152,259.117,215.596,0,50.17,301.083,126.403,400.81,396.11,233.789,181.75,343.242,296.888,363.421,273.832,403.807,361.545,119.76,380.166,389.304,153.542,236.568,119.234,300.544, 
Nicols Bravo,427.317,121.292,318.109,224.652,65.415,69.594,455.797,206.929,216.169,327.288,308.253,264.732,50.17,0,350.321,76.566,450.048,445.348,283.027,230.843,392.48,346.126,412.659,323.07,453.045,410.783,69.923,429.404,438.542,202.78,285.806,69.397,349.782, 
Chin,82.201,435.08,58.018,108.319,415.719,419.898,110.681,128.743,161.092,67.197,46.29,123.025,301.083,350.321,0,427.207,105.479,100.779,130.789,89.493,47.911,14.942,68.09,31.694,108.476,66.214,420.564,84.835,93.973,149.278,65.003,420.038,9.454, 
Calderitas,443.311,96.513,394.342,300.886,63.849,68.028,429.018,283.163,292.403,403.521,384.486,409.303,126.403,76.566,427.207,0,414.343,395.946,359.312,307.129,468.765,422.411,488.944,399.355,403.643,487.068,43.949,409.049,408.33,279.066,362.091,7.699,426.067, 
Nunkin,25.078,356.527,157.745,208.046,427.599,431.778,16.614,166.814,260.819,166.924,146.017,94.699,400.81,450.048,105.479,414.343,0,18.824,230.92,128.256,59.523,108.449,46.299,131.825,12.363,39.465,400.331,17.034,11.375,249.409,165.134,436.733,100.857, 
Bcal,20.379,338.13,153.045,203.346,409.202,413.381,11.91,162.115,256.119,162.224,141.317,90,396.11,445.348,100.779,395.946,18.824,0,225.739,150.031,54.342,103.268,41.118,126.644,7.696,34.284,383.22,16.962,9.314,244.228,159.953,419.622,95.676, 
Sabancuy,207.132,404.301,97.924,106.731,348.425,352.604,235.612,253.674,85.934,107.103,88.068,247.956,233.789,283.027,130.789,359.312,230.92,225.739,0,213.934,172.352,125.998,192.531,102.942,232.917,190.655,352.566,209.276,218.414,80.284,67.292,352.04,129.654, 
Hopelchn,104.467,352.623,104.046,192.06,296.242,300.421,152.258,39.099,244.833,97.529,130.031,33.478,181.75,230.843,89.493,307.129,128.256,150.031,213.934,0,85.17,98.724,105.35,115.476,130.745,103.474,300.524,107.103,116.241,233.06,148.785,299.998,86.227, 
Tenabo,35.734,388.613,100.177,150.478,457.878,462.057,64.215,124.273,203.251,109.356,88.449,78.008,343.242,392.48,47.911,468.765,59.523,54.342,172.352,85.17,0,51.233,21.546,74.609,61.932,19.67,433.596,38.29,47.429,192.193,107.918,462.953,43.641, 
Lerma,84.661,437.54,53.823,104.124,411.524,415.703,113.141,137.827,156.897,63.002,37.594,132.109,296.888,346.126,14.942,422.411,108.449,103.268,125.998,98.724,51.233,0,70.658,23.861,111.044,68.782,415.416,87.402,96.54,144.13,59.855,414.89,10.219, 
Pomuch,22.51,375.389,120.356,170.657,478.057,482.236,50.991,144.453,223.43,129.535,108.628,64.784,363.421,412.659,68.09,488.944,46.299,41.118,192.531,105.35,21.546,70.658,0,85.157,71.086,14.815,442.75,47.444,56.583,202.741,118.466,473.501,54.189, 
Seybaplaya,108.037,444.344,30.767,81.068,388.468,392.647,136.517,154.579,133.841,39.946,13.416,148.861,273.832,323.07,31.694,399.355,131.825,126.644,102.942,115.476,74.609,23.861,85.157,0,134.546,92.284,392.418,110.905,120.043,121.132,36.857,391.892,31.283, 
Halach,28.076,345.827,160.742,211.043,416.899,421.078,5.041,169.812,263.816,169.921,149.014,97.697,403.807,453.045,108.476,403.643,12.363,7.696,232.917,130.745,61.932,111.044,71.086,134.546,0,39.906,390.852,22.583,16.283,249.85,165.575,427.254,101.298, 
Hecelchakn,15.677,368.556,118.48,168.781,476.181,480.36,44.157,130.98,221.554,127.659,106.752,58.865,361.545,410.783,66.214,487.068,39.465,34.284,190.655,103.474,19.67,68.782,14.815,92.284,39.906,0,414.769,19.463,28.601,209.696,125.421,451.171,61.144, 
Bacalar,399.74,52.942,387.699,294.243,57.206,61.385,385.447,276.52,285.76,396.878,377.843,365.732,119.76,69.923,420.564,43.949,400.331,383.22,352.566,300.524,433.596,415.416,442.75,392.418,390.852,414.769,0,366.039,365.32,271.113,354.138,36.402,418.114, 
Dzitbalch,4.434,351.233,137.101,187.402,422.305,426.484,26.834,146.17,240.175,146.28,125.373,74.055,380.166,429.404,84.835,409.049,17.034,16.962,209.276,107.103,38.29,87.402,47.444,110.905,22.583,19.463,366.039,0,5.663,229.673,145.398,432.42,81.121, 
Calkin,13.572,350.514,146.239,196.54,421.586,425.765,20.534,155.308,249.313,155.418,134.511,83.193,389.304,438.542,93.973,408.33,11.375,9.314,218.414,116.241,47.429,96.54,56.583,120.043,16.283,28.601,365.32,5.663,0,233.729,149.454,429.298,85.177, 
Escrcega,225.621,324.055,116.413,75.906,268.179,272.358,254.101,272.163,13.478,125.592,106.557,266.445,153.542,202.78,149.278,279.066,249.409,244.228,80.284,233.06,192.193,144.13,202.741,121.132,249.85,209.696,271.113,229.673,233.729,0,83.55,272.208,147.526, 
Champotn,141.346,407.08,32.138,43.804,351.204,355.383,169.826,187.888,96.577,41.317,22.282,182.17,236.568,285.806,65.003,362.091,165.134,159.953,67.292,148.785,107.918,59.855,118.466,36.857,165.575,125.421,354.138,145.398,149.454,83.55,0,354.907,63.903, 
Chetumal,436.142,89.344,387.173,293.717,56.68,60.859,421.849,275.994,285.234,396.352,377.317,402.134,119.234,69.397,420.038,7.699,436.733,419.622,352.04,299.998,462.953,414.89,473.501,391.892,427.254,451.171,36.402,432.42,429.298,272.208,354.907,0,418.906, 
San Francisco de Campeche,77.069,429.948,57.479,107.78,415.18,419.359,105.549,125.33,160.553,66.658,45.751,119.612,300.544,349.782,9.454,426.067,100.857,95.676,129.654,86.227,43.641,10.219,54.189,31.283,101.298,61.144,418.114,81.121,85.177,147.526,63.903,418.906,0, 
