LOCALIDADES,Novara,Capoacan,Paraso Novillero,La Cerquilla,El Nigromante,Acula,Tlapacoyan,Fraccionamiento los Prados,Los Mangos,Xochiapa,Colonia Benito Jurez,Linda Vista,Nopaltepec,Benemrito Jurez,Huazuntln,Saltabarranca,Aguilera,Morelos,Ocozotepec,Corral Nuevo,San Bartolo,Estero del Pantano,Los Tigres (San Marcos),Mapachapa,San Jos Chiltepec,Tres Zapotes,Colonia Lealtad,Dehesa,Hueyapan de Ocampo,Abasolo del Valle,Sihuapan,Nuevo Ixcatln,Estacin Juanita,Puerto Esmeralda,Mara Lombardo de Caso,Calera,Hidalgotitln,Tlacojalpan,Salto de Eyipantla,Jess Carranza,San Juan Evangelista,Chacaltianguis,Buena Vista,Otatitln,Gabino Barreda,San Pedro Mrtir,Comoapan,Soteapan,Soconusco,Mecayapan,Juan Daz Covarrubias,Villa Azueta,Coacotla,Chinameca,El Naranjito,Tlacotalpan,Cuichapa,Tatahuicapan,Mundo Nuevo,Pajapan,Lomas de Barrillas,Playa Vicente,Zaragoza,Texistepec,Ixhuatln del Sureste,Angel R. Cabada,Oluta,Sayula de Alemn,Juan Rodrguez Clara,Oteapan,Santiago Tuxtla,Fraccionamiento Ciudad Olmeca,Carlos A. Carrillo,Lerdo de Tejada,Cosoleacaque,Alvarado,Allende,Nanchital de Lzaro Crdenas del Ro,Isla,Catemaco,Cosamaloapan,Loma Bonita,Jltipan de Morelos,Minatitln,Acayucan,San Andrs Tuxtla,San Juan Bautista Tuxtepec,Minatitln,Coatzacoalcos, 
Novara,0,214.976,28.516,128.097,91.389,80.417,138.517,178.031,139.327,94.613,191.309,43.79,26.013,18.977,185.556,131.742,151.431,179.165,192.973,134.833,18.472,201.129,106.125,189.208,36.218,143.009,151.408,138.375,130.396,124.365,150.651,150.717,130.749,206.012,136.992,151.999,221.118,31.909,157.414,204.148,124.768,49.094,185.381,18.693,2.763,185.681,153.437,190.524,151.697,195.52,125.971,51.007,178.08,175.827,184.474,95.779,227.402,196.851,213.057,205.773,205.259,80.436,179.965,159.234,205.507,136.06,149.034,139.747,90.101,176.268,132.059,207.715,57.484,128.437,178.222,127.143,215.313,216.402,77.743,158.264,52.587,33.577,169.437,187.226,148.481,140.607,19.81,186.905,208.036, 
Capoacan,214.976,0,198.192,87.563,205.398,212.038,197.935,39.981,124.981,220.511,86.775,173.178,207.483,197.879,68.146,233.764,88.926,96.777,87.854,103.1,216.789,47.729,132.018,38.047,254.442,202.427,68.941,86.34,111.299,163.531,156.213,147.855,113.687,54.85,171.865,157.151,39.738,203.831,163.574,141.643,98.329,205.189,102.993,219.565,224.735,35.944,159.597,84.346,67.043,80.977,112.115,167.39,34.894,46.497,34.887,227.4,74.325,79.441,59.657,73.56,54.097,194.827,35.146,68.049,52.43,220.149,69.96,77.242,129.267,43.629,191.477,56.553,189.105,229.288,38.76,258.765,61.913,63.002,142.623,151.135,184.208,184.389,48.571,33.127,69.595,160.655,238.034,32.805,54.637, 
Paraso Novillero,28.516,198.192,0,119.828,111.421,51.901,110.001,160.286,115.314,114.645,173.565,64.613,9.291,39.801,167.811,103.226,140.331,161.421,175.229,110.82,38.597,183.006,97.857,171.085,56.25,114.493,133.663,130.106,106.383,116.096,122.135,142.449,122.481,187.889,157.024,123.483,202.995,52.732,128.898,193.048,116.5,45.052,167.637,39.516,26.543,167.558,124.921,172.78,133.952,177.776,104.52,71.83,160.335,158.082,166.351,67.263,209.279,179.106,194.934,188.028,187.136,100.468,162.22,141.49,187.384,107.544,131.29,128.647,81.832,158.523,103.543,189.592,28.967,99.921,160.477,98.627,197.19,198.279,69.474,129.748,24.071,54.4,151.692,169.103,130.737,112.091,39.842,168.782,189.913, 
La Cerquilla,128.097,87.563,119.828,0,117.835,134.929,120.427,49.935,54.343,132.948,63.213,85.615,130.374,110.316,57.46,156.257,23.334,51.069,64.877,32.621,129.226,73.033,44.454,61.112,155.915,124.919,23.312,10.278,40.661,75.968,85.575,67.907,33.739,77.916,106.273,86.514,93.022,116.268,92.937,76.051,10.766,128.08,57.285,132.002,125.322,57.585,88.96,62.428,23.601,67.424,41.477,79.827,49.984,47.731,56.378,150.291,99.306,68.755,84.961,77.677,77.163,107.264,51.869,31.138,77.411,142.642,20.938,11.65,41.704,48.172,113.969,79.619,111.996,151.781,50.126,181.656,87.217,88.306,55.06,80.497,107.099,96.826,41.341,59.13,20.385,90.017,139.507,58.809,79.94, 
El Nigromante,91.389,205.398,111.421,117.835,0,142.735,128.233,167.571,128.867,36.585,180.849,53.657,108.077,91.56,175.096,164.062,140.971,168.705,182.513,124.373,77.525,190.669,95.665,178.748,75.054,132.725,140.948,127.914,119.936,30.667,140.367,56.014,120.289,195.552,78.963,141.715,210.658,85.275,147.13,183.097,114.308,135.886,174.921,96.695,88.674,175.221,143.153,180.064,141.237,185.06,115.511,52.933,167.62,165.367,174.014,158.097,216.942,186.391,202.597,195.313,194.799,10.954,169.505,148.774,195.047,150.447,138.574,129.287,79.64,165.808,121.775,197.255,119.802,159.586,167.762,189.462,204.853,205.942,58.89,147.98,114.905,65.834,158.977,176.766,138.021,130.323,70.654,176.445,197.576, 
Acula,80.417,212.038,51.901,134.929,142.735,0,98.441,170.203,153.742,152.637,183.482,62.718,55.482,85.992,177.728,69.487,150.248,171.338,185.146,120.737,84.788,192.923,107.774,181.002,102.441,93.826,143.58,140.023,116.3,126.013,121.952,152.366,132.398,197.806,195.015,123.3,212.912,60.214,128.715,202.965,126.417,42.471,177.554,85.707,72.734,177.475,124.738,182.697,143.869,187.693,114.437,71.831,170.252,167.999,176.268,33.524,219.196,189.023,204.851,197.945,197.053,126.953,172.137,151.407,197.301,73.805,141.207,138.564,91.749,168.44,101.656,199.509,24.713,66.182,170.394,64.888,207.107,208.196,79.391,129.565,23.535,100.591,161.609,179.02,140.654,117.824,86.033,178.699,199.83, 
Tlapacoyan,138.517,197.935,110.001,120.427,128.233,98.441,0,156.395,67.819,138.425,140.061,91.092,114.534,115.793,139.556,26.209,136.44,127.917,141.725,89.666,134.703,179.114,93.562,167.193,161.493,4.801,129.772,125.811,85.229,111.801,36.029,138.154,118.186,183.997,180.803,37.377,199.104,121.745,42.792,189.157,112.205,112.24,134.133,137.479,130.799,163.667,38.815,140.742,130.061,145.738,80.778,85.304,156.444,154.191,162.459,62.948,205.387,150.851,191.042,159.773,183.244,112.741,158.329,137.599,183.492,25.335,127.399,124.756,77.537,154.632,17.437,185.7,96.156,30.705,156.586,64.256,193.298,194.387,65.179,43.642,91.259,102.303,147.801,165.212,123.92,31.901,145.085,164.891,186.021, 
Fraccionamiento los Prados,178.031,39.981,160.286,49.935,167.571,170.203,156.395,0,86.403,182.857,48.197,135.524,179.825,160.225,29.568,180.066,51.272,58.2,49.276,64.522,179.135,26.21,94.364,14.289,226.784,174.769,30.363,48.686,72.722,125.877,117.635,110.202,76.034,31.093,134.212,118.574,46.024,166.177,124.997,103.99,60.675,177.531,64.416,181.911,175.232,4.84,121.02,45.768,28.465,42.399,73.537,129.736,7.773,7.919,6.397,199.742,52.483,40.863,38.138,38.683,30.34,157.173,4.448,29.472,30.588,166.451,31.382,39.589,91.613,5.052,137.985,32.796,161.447,175.59,1.283,208.592,40.394,41.483,104.969,112.558,156.55,146.735,9.993,12.133,31.017,122.077,210.376,11.811,33.117, 
Los Mangos,139.327,124.981,115.314,54.343,128.867,153.742,67.819,86.403,0,138.903,72.814,91.57,125.199,116.27,72.309,93.887,80.223,60.67,74.478,22.419,135.181,111.287,65.626,99.366,172.158,73.244,57.504,65.545,17.982,87.259,31.456,111.003,76.835,116.17,163.163,32.395,131.101,122.223,38.818,132.941,53.862,122.905,66.886,137.957,131.277,90.204,34.841,73.495,60.145,78.491,13.531,85.782,86.528,84.275,91.474,121.105,137.56,83.604,123.215,92.526,115.417,113.219,88.413,74.122,115.665,80.272,60.385,68.54,52.995,84.716,51.806,117.873,106.821,89.411,86.67,122.413,125.471,126.56,65.657,26.379,101.924,102.781,77.885,97.21,56.673,35.898,155.75,96.888,118.194, 
Xochiapa,94.613,220.511,114.645,132.948,36.585,152.637,138.425,182.857,138.903,0,230.398,103.206,144.708,128.191,224.645,213.611,198.158,218.254,232.062,173.922,114.156,240.218,83.48,228.297,111.685,182.274,190.497,177.463,169.485,53.631,189.916,53.417,85.942,245.101,51.975,191.264,251.489,121.905,196.679,156.109,163.857,139.089,224.47,133.326,125.305,224.77,192.702,229.613,190.786,234.609,165.06,102.482,217.169,214.916,223.563,207.646,266.491,235.94,252.146,244.862,244.348,60.341,219.054,198.323,244.596,199.996,188.123,178.836,129.189,215.357,171.324,246.804,169.351,209.135,217.311,239.011,254.402,255.491,108.439,197.529,164.454,102.464,208.526,226.315,187.57,179.872,107.285,225.994,247.125, 
