LOCALIDADES,Cuautitln de Garca Barragn,El Rincn,Campo Acosta,Cpala,Ixtlahuacn,Rincn de Lpez,El Trapiche,Jos Mara Morelos,El Limn,Tonila,Jaluco,San Marcos,Juchitln,Vista Hermosa (Santa Cruz del Cortijo),Tonaya,Zapotitln de Vadillo,Lo Arado,Madrid,Barra de Navidad,Suchitln,Minatitln,San Gabriel,San Andrs Ixtln,Villa Purificacin,Colonia Bayardo,Tapalpa,Cofrada de Jurez,Pihuamo,San Sebastin del Sur,Ayutla,Usmajac,Coahuayana de Hidalgo,San Patricio (Melaque),Cerro de Ortega,La Huerta,Cuauhtmoc,Quesera,Unin de Tula,Comala,El Colomo,La Resolana,Tecalitln,Coquimatln,Ciudad de Armera,Cihuatln,Tamazula de Gordiano,El Grullo,Zapotiltic,Sayula,Tuxpan,Autln de Navarro,Tecomn,Ciudad Guzmn,Ciudad de Villa de lvarez,Manzanillo,Colima, 
Cuautitln de Garca Barragn,0,179.251,174.961,160.353,138.028,127.527,118.817,162.702,103.044,141.069,86.929,150.988,143.975,185.216,124.934,175.952,45.911,134.336,87.528,121.041,68.904,154.083,197.708,59.993,114.521,167.153,114.753,206.399,193.007,143.568,205.513,157.553,77.856,144.65,35.501,128.396,137.379,113.476,112.234,69.456,43.457,177.042,117.228,109.817,49.652,190.762,101.711,175.566,212.908,165.341,80.149,119.151,182.842,105.983,64.75,111.235, 
El Rincn,179.251,0,324.994,59.612,107.152,132.242,63.139,312.734,106.014,44.594,221.102,45.285,192.468,8.062,83.491,75.211,174.802,104.367,221.701,71.766,128.749,65.717,33.531,188.884,115.674,88.797,119.468,71.957,28.83,223.08,44.51,155.077,222.786,142.174,192.15,57.567,48.614,141.414,78.658,164.581,166.811,36.331,86.284,121.215,207.84,20.207,111.386,6.789,46.534,17.131,129.686,116.675,17.313,75.586,166.125,76.829, 
Campo Acosta,174.961,324.994,0,288.933,242.711,232.21,269.565,13.388,231.624,291.817,121.061,301.736,272.555,335.964,253.514,304.532,174.49,239.019,121.66,280.589,219.746,282.663,348.456,97.168,219.204,295.733,219.436,311.082,343.755,272.148,356.261,262.236,110.55,249.333,143.106,279.144,288.127,242.056,271.782,174.139,172.037,327.79,262.353,214.5,125.507,341.51,230.291,326.314,363.656,316.089,208.729,223.834,333.59,265.531,169.433,263.29, 
Cpala,160.353,59.612,288.933,0,140.42,165.51,96.407,274.774,61.437,77.862,199.001,78.553,127.336,67.089,38.914,15.776,130.225,108.875,199.6,65.59,66.992,21.14,60.908,144.307,148.942,57.591,152.736,98.113,56.207,126.93,68.793,188.345,189.928,175.442,147.573,90.835,81.882,96.837,73.397,197.849,122.234,72.692,90.792,154.483,203.447,79.581,66.809,55.257,63.768,60.992,85.109,149.943,45.564,79.546,199.393,110.097, 
Ixtlahuacn,138.028,107.152,242.711,140.42,0,44.795,43.508,225.287,194.283,65.76,133.655,75.679,278.162,109.907,171.759,103.609,207.146,33.065,134.254,54.533,92.611,153.985,122.399,221.228,28.227,179.863,32.021,85.025,117.698,308.774,130.204,53.367,135.339,40.464,175.762,53.087,62.07,274.711,45.726,77.134,204.692,101.733,36.297,33.768,120.393,115.453,199.655,100.257,137.599,90.032,241.384,29.228,107.533,39.475,78.678,37.233, 
Rincn de Lpez,127.527,132.242,232.21,165.51,44.795,0,73.662,210.738,249.73,95.914,119.106,105.833,290.661,140.061,201.913,112.527,192.597,19.503,119.705,63.451,114.972,184.139,152.553,206.679,21.876,210.017,12.964,115.179,147.852,290.254,160.358,66.333,120.79,53.43,161.213,83.241,92.224,260.162,54.644,62.585,190.143,131.887,37.045,17.851,105.844,145.607,248.397,130.411,167.753,120.186,226.835,27.931,137.687,48.418,64.129,46.963, 
El Trapiche,118.817,63.139,269.565,96.407,43.508,73.662,0,250.107,151.533,23.01,158.475,32.929,235.412,67.157,129.009,70.309,231.966,41.74,159.074,24.838,66.122,111.235,79.649,246.048,53.047,137.113,56.841,62.294,74.948,266.024,87.454,92.45,160.159,79.547,200.582,10.337,19.32,186.933,16.031,101.954,229.512,58.983,23.657,58.588,145.213,72.703,156.905,57.507,94.849,47.282,175.205,54.048,64.783,12.959,103.498,14.202, 
Jos Mara Morelos,162.702,312.734,13.388,274.774,225.287,210.738,250.107,0,219.364,279.557,108.801,289.476,260.295,323.704,241.254,292.272,162.23,226.759,109.4,268.329,207.486,270.403,336.196,84.908,206.944,283.473,207.176,298.822,331.495,259.888,344.001,249.976,98.29,237.073,130.846,266.884,275.867,229.796,259.522,161.879,159.777,315.53,250.093,202.24,113.247,329.25,218.031,314.054,351.396,303.829,196.469,211.574,321.33,253.271,157.173,251.03, 
El Limn,103.044,106.014,231.624,61.437,194.283,249.73,151.533,219.364,0,124.265,141.693,124.956,70.028,113.493,26.02,77.038,72.917,184.038,142.292,126.852,97.341,55.169,107.312,86.999,195.345,68.239,199.139,144.516,102.611,69.622,105.602,234.748,132.62,221.845,90.265,137.238,128.285,39.529,134.659,194.771,64.926,119.095,165.955,235.132,146.139,125.985,9.501,101.661,97.796,107.395,27.801,196.346,91.968,155.257,190.065,156.5, 
Tonila,141.069,44.594,291.817,77.862,65.76,95.914,23.01,279.557,124.265,0,180.064,10.339,217.834,49.579,111.431,64.987,253.555,63.329,180.663,27.718,87.711,93.657,62.071,267.637,74.636,119.535,78.43,37.869,57.37,248.446,69.876,114.039,181.748,101.136,222.171,13.129,4.566,169.355,37.62,123.543,251.101,41.405,45.246,80.177,166.802,55.125,139.327,39.929,77.271,29.704,157.627,75.637,47.205,34.548,125.087,35.791, 
Jaluco,86.929,221.102,121.061,199.001,133.655,119.106,158.475,108.801,141.693,180.064,0,190.919,174.809,225.147,155.768,206.786,76.744,128.202,4.267,169.772,108.929,184.917,237.639,90.826,108.387,197.987,108.619,200.265,232.938,174.402,245.444,151.419,2.9,138.516,45.36,168.327,177.31,144.31,160.965,63.322,74.291,216.973,151.536,103.683,14.69,230.693,132.545,215.497,252.839,205.272,110.983,113.017,222.773,154.714,58.616,152.473, 
San Marcos,150.988,45.285,301.736,78.553,75.679,105.833,32.929,289.476,124.956,10.339,190.919,0,225.415,57.16,119.012,72.941,261.136,70.91,188.244,35.672,95.292,101.238,69.652,275.218,82.217,127.116,86.011,45.45,64.951,256.027,77.457,121.62,189.329,108.717,229.752,21.084,12.521,176.936,45.201,131.124,258.682,48.986,52.827,87.758,174.383,62.706,146.908,47.51,84.852,37.285,165.208,83.218,54.786,42.129,132.668,43.372, 
Juchitln,143.975,192.468,272.555,127.336,278.162,290.661,235.412,260.295,70.028,217.834,174.809,225.415,0,199.734,91.867,142.885,113.727,276.623,183.102,244.022,212.973,121.016,164.817,127.809,287.93,74.99,280.878,237.684,165.584,31.381,154.869,327.333,173.43,314.43,131.075,229.822,220.87,30.512,250.914,235.581,105.736,212.263,258.54,275.942,186.949,212.226,59.625,187.902,149.088,200.563,67.163,288.931,176.629,247.842,230.875,249.085, 
Vista Hermosa (Santa Cruz del Cortijo),185.216,8.062,335.964,67.089,109.907,140.061,67.157,323.704,113.493,49.579,225.147,57.16,199.734,0,90.987,82.707,182.298,105.246,222.58,72.645,129.628,73.213,41.027,196.38,116.553,96.293,120.347,65.278,36.326,230.576,52.006,155.956,223.665,143.053,264.088,58.446,49.493,148.91,79.537,165.46,174.307,29.652,87.163,122.094,208.719,13.023,118.882,16.055,54.03,18.01,137.182,117.554,24.809,76.465,167.004,77.708, 
Tonaya,124.934,83.491,253.514,38.914,171.759,201.913,129.009,241.254,26.02,111.431,155.768,119.012,91.867,90.987,0,54.514,94.807,161.515,164.182,104.328,74.817,32.645,84.788,108.889,172.822,42.756,176.616,121.993,80.087,91.512,83.078,212.225,154.51,199.322,112.155,114.715,105.762,61.419,112.135,216.661,86.816,96.572,143.432,178.363,168.029,103.461,31.391,79.137,75.272,84.872,49.691,173.823,69.444,132.734,211.955,133.977, 
Zapotitln de Vadillo,175.952,75.211,304.532,15.776,103.609,112.527,70.309,292.272,77.038,64.987,206.786,72.941,142.885,82.707,54.514,0,145.825,93.981,219.406,50.696,75.114,36.74,76.508,159.907,113.379,73.191,117.173,113.713,71.807,142.53,84.393,152.783,205.528,139.88,163.173,68.223,60.526,112.437,58.503,162.286,137.834,88.292,75.898,118.92,205.545,95.181,82.409,70.857,79.368,76.592,100.709,114.381,61.164,64.652,163.83,68.926, 
Lo Arado,45.911,174.802,174.49,130.225,207.146,192.597,231.966,162.23,72.917,253.555,76.744,261.136,113.727,182.298,94.807,145.825,0,202.29,84.931,166.939,114.802,123.728,175.871,14.941,182.475,136.798,182.707,274.353,171.17,113.213,174.161,225.507,75.259,212.604,32.904,242.415,251.398,83.121,158.132,137.41,13.103,187.655,225.624,177.771,88.778,194.544,71.356,170.22,166.355,175.955,49.794,187.105,160.527,151.881,132.704,226.561, 
Madrid,134.336,104.367,239.019,108.875,33.065,19.503,41.74,226.759,184.038,63.329,128.202,70.91,276.623,105.246,161.515,93.981,202.29,0,128.768,44.833,82.936,154.842,123.256,215.742,22.741,180.72,26.535,85.882,118.555,299.317,131.061,62.145,129.853,49.242,170.276,53.944,62.927,269.225,36.026,71.648,199.206,102.59,18.427,28.282,114.907,116.31,257.46,101.114,138.456,90.889,235.898,23.743,108.39,29.8,73.192,28.345, 
Barra de Navidad,87.528,221.701,121.66,199.6,134.254,119.705,159.074,109.4,142.292,180.663,4.267,188.244,183.102,222.58,164.182,219.406,84.931,128.768,0,170.371,109.528,187.907,238.238,93.816,108.986,200.977,109.218,200.864,233.537,177.392,246.043,152.018,5.89,139.115,48.35,168.926,177.909,147.3,161.564,63.921,77.281,217.572,152.135,104.282,15.288,231.292,135.535,216.096,253.438,205.871,113.973,113.616,223.372,155.313,59.215,153.072, 
Suchitln,121.041,71.766,280.589,65.59,54.533,63.451,24.838,268.329,126.852,27.718,169.772,35.672,244.022,72.645,104.328,50.696,166.939,44.833,170.371,0,68.675,86.55,92.493,181.015,64.303,149.957,68.097,76.052,87.792,192.34,100.298,103.707,171.415,90.804,211.838,30.95,23.253,162.247,9.427,113.21,164.479,71.827,26.822,69.844,156.469,85.547,132.219,70.351,107.693,60.126,150.519,65.305,77.627,15.576,114.754,19.85, 
Minatitln,68.904,128.749,219.746,66.992,92.611,114.972,66.122,207.486,97.341,87.711,108.929,95.292,212.973,129.628,74.817,75.114,114.802,82.936,109.528,68.675,0,68.759,145.348,128.885,104.912,105.21,105.144,115.077,140.647,212.46,153.153,147.944,103.179,135.041,104.393,76.036,85.019,182.368,59.874,59.423,112.349,124.682,64.868,100.208,88.233,138.402,102.714,123.206,160.548,112.981,149.041,109.542,130.482,53.623,54.593,58.875, 
San Gabriel,154.083,65.717,282.663,21.14,153.985,184.139,111.235,270.403,55.169,93.657,184.917,101.238,121.016,73.213,32.645,36.74,123.728,154.842,187.907,86.55,68.759,0,59.914,136.705,155.048,37.675,158.842,104.219,60.681,119.328,49.482,194.451,182.326,181.548,139.971,96.941,87.988,89.235,94.361,203.955,114.632,78.798,125.658,160.589,195.845,85.687,59.207,61.363,41.676,67.098,77.507,156.049,51.67,114.96,205.499,116.203, 
San Andrs Ixtln,197.708,33.531,348.456,60.908,122.399,152.553,79.649,336.196,107.312,62.071,237.639,69.652,164.817,41.027,84.788,76.508,175.871,123.256,238.238,92.493,145.348,59.914,0,189.817,132.175,60.088,135.969,81.929,3.614,195.974,12.28,171.578,239.287,158.675,193.083,74.067,65.114,195.105,95.159,181.082,167.744,56.508,102.785,137.716,224.341,52.029,112.319,27.705,17.824,44.808,130.619,133.176,17.96,92.087,182.626,93.33, 
Villa Purificacin,59.993,188.884,97.168,144.307,221.228,206.679,246.048,84.908,86.999,267.637,90.826,275.218,127.809,196.38,108.889,159.907,14.941,215.742,93.816,181.015,128.885,136.705,189.817,0,196.557,150.88,196.789,288.435,185.252,127.295,188.243,239.589,89.341,226.686,46.986,256.497,265.48,97.203,172.214,151.492,27.185,201.737,239.706,191.853,102.86,208.626,85.438,184.302,180.437,190.037,63.876,201.187,174.609,165.963,146.786,240.643, 
Colonia Bayardo,114.521,115.674,219.204,148.942,28.227,21.876,53.047,206.944,195.345,74.636,108.387,82.217,287.93,116.553,172.822,113.379,182.475,22.741,108.986,64.303,104.912,155.048,132.175,196.557,0,191.353,3.794,96.515,129.188,276.576,141.694,47.669,107.112,34.766,147.535,64.577,73.56,246.484,57.215,48.907,176.465,113.223,47.786,5.541,92.166,126.943,234.719,111.747,149.089,101.522,213.157,9.267,119.023,50.964,50.451,48.723, 
Tapalpa,167.153,88.797,295.733,57.591,179.863,210.017,137.113,283.473,68.239,119.535,197.987,127.116,74.99,96.293,42.756,73.191,136.798,180.72,200.977,149.957,105.21,37.675,60.088,150.88,191.353,0,191.768,137.728,59.838,104.927,48.64,227.377,196.73,214.474,154.375,129.866,120.913,104.058,150.958,236.881,129.036,112.307,158.584,193.515,210.249,112.27,73.611,87.946,44.835,100.607,91.911,188.975,76.673,147.886,238.425,149.129, 
