LOCALIDADES,Huitzililla,San Juan Tejupa,Tlayecac,San Lucas Colucan,Matzaco,Metepec,Xochitln,Tecomatln,Oacalco,Santa Teresa,Fraccionamiento Lomas de Cocoyoc,Tlapanal,Tilapa,San Antonio Alpanocan,Atenango del Ro,San Nicols Tolentino,Chinameca,Mayanaln,San Gabriel las Palmas,Huaquechula,Cacaloxchitl,Tzicatln,Tetecalita,Ayutla (San Felipe Ayutla),Taxco el Viejo,Atotonilco,Tetelilla,Unidad Habitacional Rinconada Acolapa,Ixtlilco el Grande,Tochimilco,Atlacahualoya,Huatecalco,Cuentepec,Villa Santiago,Zacualpan de Amilpas,San Andrs Tlalamac,Amilcingo,Tequesquitengo,Jaloxtoc,San Juan Raboso,Moyotepec,Unidad Habitacional Jos Mara Morelos y Pavn,Huazulco,Jumiltepec,Pea Flores (Palo Verde),Ticumn,San Juan Amecac,Acuitlapn,Tlancualpican,La Galarza,Escape de Lagunillas,Atlacholoaya,San Jos Vista Hermosa,Crucero Tezoyuca,Santa Catarina,Telixtac,Tezoyuca,Higuern,Mazatepec,Jantetelco,Calmeca (San Juan Calmeca),Huehuetln el Chico,Tepeojuma,Tilzapotla,Ocuituco,Xochihuehuetln,Tetecala,Tlacotepec,Tulcingo de Valle,Amayuca,Acamixtla,Amacuzac,Calera Chica,Los Arcos,Tehuitzingo,Pedro Amaro,Tlatenchi,Chietla,Temoac,Totolapan,Tlamacazapa,Tepecoacuilco de Trujano,Tehuixtla,Hueyapan (San Andrs Hueyapan),Ciudad Ayala,Copalillo,Oaxtepec,Jolalpan,Ecatzingo de Hidalgo,Chiconcuac,Buenavista de Cullar,Miacatln,Independencia,Atlatlahucan,Tlayacapan,Tenextepango,Jonacatepec,Alpuyeca,Fraccionamiento Lomas de Ahuatln,Coatetelco,Cocoyoc,Tetela del Volcn,Ciudad de Chiautla de Tapia,Tlaltizapn,Unidad Habitacional Jos Mara Morelos y Pavn,San Nicols Galeana,Anenecuilco,Atencingo,Tepalcingo,San Pedro Apatlaco,Juan Morales,La Joya,Tepoztln,Progreso,Santa Rosa Treinta,Yecapixtla,Ciudad de Huitzuco,Axochiapan,Tres de Mayo,Tlaquiltenango,Jojutla,Xochitepec,Xoxocotla,Puente de Ixtla,Zacatepec de Hidalgo,Yautepec de Zaragoza,Izcar de Matamoros,Emiliano Zapata,Taxco de Alarcn,Temixco,Iguala de la Independencia,Cuautla,Jiutepec,Cuernavaca, 
Huitzililla,0,60.36,8.179,72.719,66.511,36.153,30.272,138.812,36.351,140.278,35.164,57.285,53.864,42.979,127.68,62.738,19.643,148.929,67.045,63.327,85.878,40.16,51.929,63.778,124.583,11.967,21.892,51.74,28.271,62.115,43.82,40.215,109.187,57.604,26.573,48.57,23.587,57.879,3.679,65.497,20.492,54.341,22.802,38.751,27.365,43.691,45.226,101.289,45.396,81.881,46.114,53.713,57.339,57.558,52.257,27.982,58.033,54.574,70.314,20.489,41.657,51.77,76.819,73.791,31.813,179.286,74.945,30.487,161.311,18.41,113.779,70.945,59.91,35.034,106.046,52.825,52.636,64.266,24.733,38.603,111.479,141.996,64.973,42.904,21.086,114.652,30.162,58.352,48.879,59.692,99.263,73.029,51.32,32.893,36.849,14.402,15.476,61.457,69.512,66.35,27.497,38.992,65.587,37.52,95.773,51,23.425,66.557,17.69,21.926,19.206,49.734,50.233,54.434,45.333,25.457,123.436,33.957,84.792,45.782,49.164,90.292,52.786,63.712,47.598,38.752,60.931,61.654,110.843,85.455,127.419,20.392,59.888,69.034, 
San Juan Tejupa,60.36,0,53.163,48.551,42.342,35.617,46.757,114.643,78.878,230.649,77.691,21.832,37.376,28.157,226.141,44.89,79.907,243.064,158.944,10.495,20.537,71.364,140.481,45.929,215.23,50.202,53.188,94.267,65.213,6.385,59.037,100.479,151.714,100.131,35.044,56.223,35.99,163.864,57.265,41.328,73.638,114.605,35.871,43.982,69.892,99.176,16.253,191.936,64.828,38.935,57.411,139.964,151.703,136.755,94.784,57.059,135.434,114.838,155.615,37.124,32.834,73.794,31.297,172.275,42.496,155.117,160.246,30.551,137.142,41.887,204.426,163.994,102.437,77.561,81.877,113.089,112.9,47.92,38.123,66.66,201.85,227.201,163.457,26.199,69.181,149.148,72.689,92.848,47.515,137.605,189.634,155.703,93.847,60.95,79.376,67.742,44.502,142.125,112.039,151.651,70.024,33.367,87.612,97.784,138.3,111.264,67.314,50.211,55.915,63.918,61.733,92.261,92.76,96.961,105.597,50.009,221.897,64.299,127.319,106.046,109.428,132.819,147.652,156.018,107.862,81.279,47.44,104.181,201.49,127.982,217.79,62.919,102.415,111.561, 
Tlayecac,8.179,53.163,0,64.661,58.453,28.095,22.622,130.754,28.701,180.472,27.514,49.227,45.806,34.921,175.964,54.68,27.344,192.887,108.767,55.269,77.82,48.089,59.63,55.72,165.053,19.906,22.833,44.09,34.917,54.057,35.762,47.916,101.537,49.954,18.515,40.92,15.529,113.687,4.701,57.439,22.47,62.042,14.744,31.101,19.715,48.999,37.168,141.759,52.914,73.823,48.354,89.787,65.04,86.578,44.607,33.784,85.257,62.275,105.438,12.431,33.599,59.288,68.761,122.098,23.755,171.228,110.069,22.429,153.253,10.352,154.249,113.817,52.26,27.384,97.988,60.526,60.337,56.208,16.675,30.953,151.673,177.024,113.28,34.846,19.004,121.297,22.512,64.997,41.229,87.428,139.457,105.526,43.67,25.243,29.199,16.38,14.206,91.948,61.862,101.474,19.847,30.934,73.106,45.221,88.123,58.701,17.137,58.499,25.619,13.741,11.556,42.084,42.583,46.784,53.034,17.807,171.72,41.024,77.142,53.483,56.865,82.642,60.487,105.841,55.299,31.102,52.873,54.004,151.313,77.805,167.613,12.742,52.238,61.384, 
San Lucas Colucan,72.719,48.551,64.661,0,10.106,82.631,86.136,80.957,92.215,243.986,91.028,27.242,16.162,78.867,126.79,7.288,93.243,256.401,172.281,38.23,38.844,38.872,153.818,5.809,228.567,63.538,55.187,107.604,46.399,61.651,41.426,113.815,165.051,113.468,62.462,104.433,55.589,177.201,70.601,13.62,86.974,127.941,58.69,87.172,83.229,112.513,73.659,205.273,28.279,34.847,24.601,153.301,165.04,150.092,108.121,59.058,148.771,128.174,168.952,53.575,31.801,37.245,29.785,185.612,78.291,121.431,173.583,66.375,103.456,55.223,217.763,177.331,115.774,90.898,48.191,126.425,126.236,13.323,60.622,94.466,215.187,240.538,176.794,78.792,82.517,119.246,86.026,62.947,91.81,150.942,202.971,169.04,107.184,88.756,92.713,81.078,57.838,155.462,125.376,164.988,83.361,77.662,37.65,111.12,151.637,124.6,80.65,16.446,51.947,77.254,75.069,105.598,106.097,110.298,118.933,81.321,235.234,36.36,140.656,119.382,122.764,146.156,160.989,169.355,121.198,94.616,13.898,117.518,214.827,141.319,231.127,76.255,115.752,124.898, 
Matzaco,66.511,42.342,58.453,10.106,0,76.426,79.931,81.743,86.01,237.781,84.823,21.038,11.425,72.662,127.153,2.818,87.038,250.196,166.076,32.026,32.639,39.235,147.613,3.857,222.362,57.333,48.982,101.399,46.762,55.446,54.831,107.61,158.846,107.263,56.257,98.228,49.384,170.996,64.396,8.429,80.769,121.736,52.485,80.967,77.024,106.308,67.454,199.068,27.905,28.642,24.964,147.096,158.835,143.887,101.916,52.853,142.566,121.969,162.747,47.37,25.596,36.871,23.58,179.407,72.086,122.217,167.378,60.17,104.242,49.018,211.558,171.126,109.569,84.693,48.977,120.22,120.031,12.047,54.417,88.261,208.982,234.333,170.589,72.587,76.312,119.609,79.821,63.31,85.605,144.737,196.766,162.835,100.979,82.551,86.508,74.873,51.633,149.257,119.171,158.783,77.156,71.457,50.689,104.915,145.432,118.395,74.445,17.764,63.046,71.049,68.864,99.393,99.892,104.093,112.728,75.116,229.029,36.723,134.451,113.177,116.559,139.951,154.784,163.15,114.993,88.411,7.693,111.313,208.622,135.114,224.922,70.05,109.547,118.693, 
Metepec,36.153,35.617,28.095,82.631,76.426,0,11.36,145.407,40.745,192.516,39.557,63.88,60.459,10.504,188.008,69.333,55.698,204.931,120.811,40.537,51.29,62.742,102.348,70.373,177.097,34.981,37.908,56.095,49.992,29.578,50.415,72.419,113.581,61.998,17.395,20.826,23.691,125.731,37.769,72.092,42.442,86.545,22.877,8.585,31.72,61.004,17.453,153.803,67.567,88.476,63.007,101.831,113.57,98.622,56.651,48.437,97.301,85.564,117.482,26.569,48.252,73.941,83.414,134.142,7.099,185.881,122.113,14.298,167.906,25.081,166.293,125.861,64.265,39.389,112.641,83.815,84.84,70.861,18.875,31.263,163.717,189.068,125.324,12.504,37.985,201.162,34.555,80.072,17.424,99.472,151.501,117.57,55.675,25.553,39.696,41.233,29.281,103.992,73.906,113.518,31.891,3.276,87.759,69.724,100.167,83.204,36.118,73.152,40.694,33.919,30.535,54.089,54.627,58.789,77.537,14.613,183.764,55.677,89.186,77.986,81.368,94.686,109.519,117.885,79.802,43.107,67.526,66.009,163.357,89.849,179.657,26.038,64.243,73.428, 
Xochitln,30.272,46.757,22.622,86.136,79.931,11.36,0,159.302,31.367,183.138,30.179,77.775,74.354,23.68,178.63,83.228,46.32,195.553,111.433,83.817,106.369,76.637,92.97,84.268,167.719,48.455,51.382,46.717,63.466,42.754,64.31,63.041,104.203,52.62,29.146,11.43,44.077,116.353,33.843,85.988,33.064,77.167,43.292,6.81,22.342,51.626,30.629,144.425,81.462,102.372,76.902,92.453,104.192,89.244,47.273,62.332,87.923,76.186,108.104,40.979,62.148,87.836,97.31,124.764,15.995,199.776,112.735,33.535,181.801,38.9,156.915,116.483,54.887,30.011,126.536,74.437,75.462,84.756,27.159,21.885,154.339,179.69,115.946,25.68,28.607,191.784,25.177,93.546,16.434,90.094,142.123,108.192,46.297,16.175,30.318,31.855,42.755,94.614,64.528,104.14,22.513,16.118,101.654,60.346,90.789,73.826,26.74,87.047,54.168,24.541,21.157,44.711,45.249,49.411,68.159,4.693,174.386,69.572,79.808,68.608,71.99,85.308,100.141,108.507,70.424,33.729,81.422,56.631,153.979,80.471,170.279,18.922,54.865,64.05, 
Tecomatln,138.812,114.643,130.754,80.957,81.743,145.407,159.302,0,158.301,310.072,157.114,93.329,89.433,144.953,149.127,84.301,159.329,322.487,238.367,104.317,104.93,118.802,219.904,79.995,294.653,129.624,121.273,173.69,134.981,127.737,127.122,179.901,231.137,179.554,128.548,170.519,121.675,243.287,136.687,73.387,153.06,194.027,124.776,153.258,149.315,178.599,139.745,271.359,111.948,100.933,104.531,219.387,231.126,216.178,174.207,125.144,214.857,194.26,235.038,119.661,97.887,90.28,95.871,251.698,144.377,40.474,239.669,132.461,22.498,121.309,283.849,243.417,181.86,156.984,32.766,192.511,192.322,95.04,126.708,160.552,281.273,306.624,242.88,144.878,148.603,141.583,152.112,142.877,157.896,217.028,269.057,235.126,173.27,154.842,158.799,147.164,123.924,221.548,191.462,231.074,149.447,143.748,75.492,177.206,217.723,190.686,146.736,97.331,135.337,143.34,141.155,171.684,172.183,176.384,185.019,147.407,301.32,116.29,206.742,185.468,188.85,212.242,227.075,235.441,187.284,160.702,79.984,183.604,280.913,207.405,297.213,142.341,181.838,190.984, 
Oacalco,36.351,78.878,28.701,92.215,86.01,40.745,31.367,158.301,0,155.888,13.719,76.257,72.836,50.972,151.38,81.71,44.83,168.303,84.183,82.299,104.851,75.119,40.478,82.75,140.469,46.936,49.863,20.263,61.947,70.046,62.792,36.588,76.953,25.369,45.545,42.669,42.559,89.103,32.325,84.47,31.574,50.714,41.774,38.094,12.431,25.173,64.198,117.175,79.944,100.854,75.384,65.203,53.712,36.24,20.022,60.814,35.804,49.733,80.854,39.461,60.63,86.318,95.792,97.514,37.226,198.258,85.485,49.459,180.283,37.382,129.665,89.233,28.434,5.676,125.018,47.984,49.009,83.238,43.705,22.413,127.089,152.44,88.696,52.972,27.117,164.534,10.108,92.027,52.223,62.844,114.873,80.942,19.843,18.319,14.157,30.365,41.236,67.364,37.278,76.89,10.51,43.744,100.136,33.893,63.539,47.373,25.25,85.529,52.649,23.051,19.639,18.257,17.998,22.957,41.706,26.84,147.136,68.054,52.558,42.155,45.537,58.058,72.891,81.257,43.971,7.275,79.904,30.178,126.729,53.221,143.029,17.404,28.411,36.8, 
Santa Teresa,140.278,230.649,180.472,243.986,237.781,192.516,183.138,310.072,155.888,0,165.114,226.66,223.239,201.375,71.208,232.113,130.384,12.157,72.816,232.702,255.254,173.575,106.467,233.153,38.823,157.37,200.266,122.244,161.686,220.449,213.195,107.158,110.056,123.573,195.948,193.072,192.962,91.335,182.728,234.873,129.662,95.992,192.177,188.497,145.911,119.113,214.601,73.681,178.811,251.257,179.529,107.11,83.858,102.741,127.894,161.397,101.42,103.196,89.305,189.864,211.033,185.185,246.195,99.746,187.629,322.54,86.744,199.862,330.686,187.785,62.529,67.239,108.623,139.155,275.421,101.447,95.87,233.641,194.108,173.504,66.974,10.711,90.928,203.375,134.531,84.361,160.112,136.296,202.626,102.697,43.445,93.781,122.891,169.409,165.248,135.607,191.639,90.273,117.129,94.128,144.998,194.147,152.119,109.299,104.286,91.18,133.662,235.932,151.104,173.454,170.042,123.583,142.349,119.939,99.038,177.243,34.132,167.372,105.759,101.784,98.056,100.227,91.595,75.972,92.003,134.13,230.307,109.092,53.135,105.34,19.436,167.807,118.125,112.753, 
