LOCALIDADES,Coxcatln,Chalma,Papatlatla,Tezapotla,San Martn Chalchicuautla,Tancanhuitz,Colonia las Flores,Tehuetln,Tampamoln Corona,Nuevo Tampan,Tampate,Chapulhuacanito,Tambaca,Chililico,Chalchocoyo,Coacuilco,Ahuatitla,Agua Buena,Huautla,Matlapa,Huitzitzilingo,Ixcatepec,Chapulhuacn,Calnali,Santa Teresa,Ozuluama de Mascareas,Molango,Tamasopo,Jacala,Potrero del Llano,Chicontepec de Tejeda,Citlaltpec,Tamaln,Tamiahua,Tepetzintla,Tlanchinol,Chinampa de Gorostiza,Jaltocn,San Vicente Tancuayalab,Xilitla,Orizatln,Axtla de Terrazas,El Higo,Tanquin de Escobedo,Platn Snchez,Jalpan de Serra,Tempoal de Snchez,Tamun,Naranjos,Cerro Azul,Tamazunchale,Tantoyuca,Huejutla de Reyes,Pnuco,Ciudad Valles, 
Coxcatln,0,115.656,142.245,68.511,60.555,14.883,204.99,113.604,16.244,107.252,25.193,65.103,104.859,100.49,41.486,87.24,72.83,125.988,129.663,32.98,71.398,134.302,92.702,164.082,140.736,165.218,151.836,120.667,144.388,168.756,155.545,153.854,163.476,239.007,152.123,118.727,171.751,90.001,52.95,39.6,77.543,16.205,69.057,35.509,105.057,121.742,75.258,77.235,208.016,179.562,49.655,100.002,103.62,117.537,66.461, 
Chalma,115.656,0,55.972,80.279,41.037,124.451,107.039,27.355,97.61,161.628,130.604,63.937,206.932,13.878,82.7,54.422,48.996,228.061,43.39,81.764,47.564,64.791,104.47,77.809,54.463,153.05,96.99,222.74,159.914,99.244,82.434,84.343,93.965,142.464,82.612,63.882,102.24,29.989,95.624,114.816,37.214,98.873,74.023,112.558,12.406,196.958,42.114,134.821,109.306,110.05,65.649,31.324,11.539,105.369,165.173, 
Papatlatla,142.245,55.972,0,108.308,88.434,152.48,123.786,50.257,151.521,215.539,158.633,91.966,238.299,43.895,110.729,77.323,77.025,259.428,35.455,109.793,75.593,81.538,132.499,22.073,11.633,165.586,56.299,254.107,187.943,116.004,74.499,101.09,110.712,159.211,99.372,65.388,118.987,58.017,149.535,142.845,65.243,126.902,127.934,166.469,66.316,224.987,96.025,188.732,126.053,126.81,93.678,85.235,44.621,159.28,199.902, 
Tezapotla,68.511,80.279,108.308,0,41.376,78.754,186.75,79.674,76.103,166.966,84.907,31.173,164.573,66.561,37.003,53.31,38.901,185.702,95.733,36.067,37.469,144.502,23.224,130.152,106.806,208.859,117.906,180.381,87.05,178.955,134.777,164.054,173.676,222.175,162.323,84.797,181.951,56.071,96.591,69.119,43.614,53.176,112.698,79.606,92.116,151.261,121.825,136.949,189.017,189.761,19.952,111.035,69.69,161.178,126.176, 
San Martn Chalchicuautla,60.555,41.037,88.434,41.376,0,72.257,138.926,59.9,55.968,120.115,78.41,32.668,158.076,44.927,30.387,54.804,40.395,179.205,75.935,29.57,38.963,96.678,65.566,110.354,87.008,167.03,119.4,173.884,121.011,131.131,114.979,116.23,125.852,174.351,114.499,86.291,134.127,57.566,54.762,62.622,45.108,46.679,70.869,37.777,38.636,144.764,44.253,93.308,141.193,141.937,26.746,63.211,43.983,119.349,119.679, 
Tancanhuitz,14.883,124.451,152.48,78.754,72.257,0,208.68,123.852,19.934,94.934,12.874,75.351,92.541,110.738,51.734,97.488,83.078,113.67,139.911,43.228,81.646,137.992,102.95,174.33,150.984,168.908,162.084,108.349,154.636,172.446,178.955,157.544,167.166,242.697,155.813,128.975,175.441,100.249,56.64,39.92,87.791,33.906,72.747,39.199,108.747,122.062,78.948,64.917,211.706,183.252,59.903,103.692,113.868,121.227,54.143, 
Colonia las Flores,204.99,107.039,123.786,186.75,138.926,208.68,0,131.566,159.616,201.297,189.832,168.148,267.665,118.089,186.911,158.633,153.207,288.794,91.833,185.975,151.775,43.675,208.681,145.932,122.586,46.252,201.201,283.473,264.125,38.577,107.293,22.354,14.153,36.157,52.255,168.093,6.131,134.2,156.357,219.027,141.425,174.524,136.029,173.291,97.56,301.169,104.119,195.554,2.873,25.356,169.86,76.05,115.75,130.212,225.906, 
Tehuetln,113.604,27.355,50.257,79.674,59.9,123.852,131.566,0,122.938,186.956,130.707,64.04,210.373,15.277,82.803,27.067,49.099,231.502,37.624,81.867,47.667,90.119,104.573,72.043,48.697,178.378,69.634,226.181,160.017,124.572,76.668,109.671,119.293,167.792,107.94,36.526,127.568,29.4,120.952,114.919,37.317,98.976,99.351,137.886,37.733,197.061,67.442,160.149,134.634,135.378,65.752,56.652,16.038,130.697,171.976, 
Tampamoln Corona,16.244,97.61,151.521,76.103,55.968,19.934,159.616,122.938,0,102.187,30.314,70.715,109.98,106.102,47.098,92.852,78.442,131.109,135.275,38.592,77.01,118.186,98.314,169.694,146.348,149.102,157.448,125.788,150,152.64,139.429,137.738,147.36,222.891,136.007,124.339,155.635,95.613,36.834,45.212,83.155,21.617,52.941,19.393,88.941,127.354,59.142,75.38,191.9,163.446,55.267,83.886,109.232,101.421,71.582, 
Nuevo Tampan,107.252,161.628,215.539,166.966,120.115,94.934,201.297,186.956,102.187,0,110.863,158.538,103.191,168.012,129.345,180.675,166.265,124.32,197.524,128.528,164.833,176.728,186.137,231.943,208.597,166.287,251.124,118.999,237.822,211.182,197.971,196.28,205.902,243.265,194.549,218.016,210.857,184.123,65.916,145.063,170.978,123.636,82.473,82.648,147.483,227.205,116.785,31.079,212.274,221.988,143.09,142.428,165.673,71.932,61.431, 
