LOCALIDADES,Tampico Alto,Carboneras (La Carbonera),Guayalejo,El Limn,Antiguo Morelos,Pujal Coy,Barretal,Tamos,Llera de Canales,Graciano Snchez,Primero de Mayo (Los Mangos),Ocampo,Santander Jimnez,Nueva Villa de Padilla,Cuauhtmoc,Jaumave,Abasolo,Hidalgo,Estacin Santa Engracia,Ponciano Arriaga,Xicotncatl,Cd. Cuauhtmoc,Moralillo,El Naranjo,Soto la Marina,Gonzlez,Estacin Manuel (rsulo Galvn),Aldama,Anhuac,Benito Jurez,Ebano,Altamira,Ciudad Mante,Miramar,Ciudad Madero,Tampico,Ciudad Victoria, 
Tampico Alto,0,427.374,113.303,184.785,196.759,98.187,300.398,35.564,203.962,132.872,15.957,271.357,313.006,302.931,76.064,308.89,291.673,15.915,303.683,118.9,175.015,9.693,25.051,228.681,244.331,110.794,94.804,130.933,19.317,17.827,81.757,39.9,172.418,32.407,23.339,21.496,260.273, 
Carboneras (La Carbonera),427.374,0,383.566,353.065,392.603,416.84,210.49,424.733,290.678,372.101,422.366,424.704,133.719,185.965,360.638,297.659,155.435,421.415,236.186,409.221,352.631,421.641,416.023,424.525,183.968,350.023,334.887,298.875,431.571,423.328,400.41,391.534,366.081,398.464,414.721,408.851,230.927, 
Guayalejo,113.303,383.566,0,104.424,87.693,49.473,252.338,78.912,155.902,53.886,103.665,162.291,268.427,254.871,53.289,260.83,247.094,102.714,255.623,25.661,126.955,102.63,87.495,119.615,199.752,63.875,49.183,86.354,99.286,100.818,33.043,84.799,92.057,91.728,107.986,98.65,212.213, 
El Limn,184.785,353.065,104.424,0,39.537,140.848,165.208,180.982,63.668,90.084,178.615,44.945,218.887,167.741,116.887,173.7,238.485,177.664,168.493,108.372,19.998,177.89,172.272,71.459,221.642,74.54,89.944,126.672,187.82,179.577,154.579,147.783,13.015,154.713,170.97,165.1,125.083, 
Antiguo Morelos,196.759,392.603,87.693,39.537,0,136.81,204.794,193.005,103.254,102.107,190.638,74.962,258.473,207.327,128.91,191.767,278.071,189.687,208.079,91.482,59.286,189.913,184.295,32.286,252.093,86.563,101.967,138.695,199.843,191.6,148.537,159.806,28.592,166.736,182.993,177.123,164.669, 
Pujal Coy,98.187,416.84,49.473,140.848,136.81,0,285.65,63.778,189.214,117.647,88.531,211.412,301.739,288.183,86.601,294.142,280.406,87.58,288.935,25.758,160.267,87.496,72.361,168.737,233.064,97.187,82.495,119.666,84.152,85.684,16.771,98.975,128.584,91.481,86.209,83.516,245.525, 
Barretal,300.398,210.49,252.338,165.208,204.794,285.65,0,276.737,102.894,194.796,274.369,235.597,75.809,25.368,212.641,108.552,95.406,273.418,28.181,273.654,164.847,273.644,268.027,236.741,141.265,169.042,184.446,208.86,283.575,275.331,249.081,243.537,178.297,250.467,266.724,260.854,40.033, 
Tamos,35.564,424.733,78.912,180.982,193.005,63.778,276.737,0,200.412,129.323,25.907,267.807,309.456,299.381,72.514,305.34,288.123,24.956,300.133,84.49,171.465,24.872,9.737,225.131,240.781,107.244,91.255,127.383,21.528,23.06,47.347,36.351,168.868,28.857,23.585,20.892,256.723, 
Llera de Canales,203.962,290.678,155.902,63.668,103.254,189.214,102.894,200.412,0,119.339,198.912,96.145,156.636,105.49,137.184,111.449,176.234,197.961,106.242,171.955,63.149,198.187,192.57,135.042,159.391,93.585,108.989,133.403,208.118,199.874,173.624,168.08,76.598,175.01,191.267,185.397,62.832, 
Graciano Snchez,132.872,372.101,53.886,90.084,102.107,117.647,194.796,129.323,119.339,0,126.82,176.767,256.95,217.43,65.092,223.389,235.617,125.869,218.182,57.946,89.514,126.095,120.477,134.091,188.275,28.53,37.706,74.877,136.025,127.782,101.167,95.988,77.828,102.918,119.175,113.305,174.772, 
Primero de Mayo (Los Mangos),15.957,422.366,103.665,178.615,190.638,88.531,274.369,25.907,198.912,126.82,0,263.93,305.579,295.504,68.637,301.463,284.246,2.377,296.256,111.451,167.588,7.855,17.624,221.254,236.904,103.367,87.377,123.506,11.868,5.612,74.308,32.473,164.991,24.98,15.912,14.069,252.846, 
Ocampo,271.357,424.704,162.291,44.945,74.962,211.412,235.597,267.807,96.145,176.767,263.93,0,290.604,239.458,161.832,127.39,310.202,222.609,233.388,168.799,64.943,222.835,217.217,47.614,293.368,119.485,134.889,171.617,232.765,224.522,225.854,192.728,57.96,199.658,215.915,210.045,196.373, 
Santander Jimnez,313.006,133.719,268.427,218.887,258.473,301.739,75.809,309.456,156.636,256.95,305.579,290.604,0,54.007,245.482,165.701,21.658,306.259,104.228,294.065,220.673,306.485,300.867,292.567,68.812,234.867,219.731,183.719,316.415,308.172,285.254,276.378,234.123,283.308,299.565,293.695,98.969, 
Nueva Villa de Padilla,302.931,185.965,254.871,167.741,207.327,288.183,25.368,299.381,105.49,217.43,295.504,239.458,54.007,0,236.193,112.426,71.233,296.97,53.899,276.205,167.398,297.196,291.579,239.292,118.387,192.594,207.998,233.294,307.127,298.883,272.633,267.089,180.848,274.019,290.276,284.406,45.694, 
Cuauhtmoc,76.064,360.638,53.289,116.887,128.91,86.601,212.641,72.514,137.184,65.092,68.637,161.832,245.482,236.193,0,243.578,226.361,61.391,238.371,78.931,109.703,61.617,55.999,163.369,179.019,45.482,29.492,65.621,71.547,63.304,70.12,31.51,107.106,38.439,54.697,48.827,194.961, 
Jaumave,308.89,297.659,260.83,173.7,191.767,294.142,108.552,305.34,111.449,223.389,301.463,127.39,165.701,112.426,243.578,0,183.16,302.783,106.346,282.017,173.211,303.009,297.392,164.43,166.326,198.407,213.811,238.225,312.94,304.696,278.446,272.902,186.66,279.832,296.089,290.219,69.331, 
Abasolo,291.673,155.435,247.094,238.485,278.071,280.406,95.406,288.123,176.234,235.617,284.246,310.202,21.658,71.233,226.361,183.16,0,284.915,123.825,272.721,240.27,285.141,279.523,312.164,47.468,213.523,198.387,162.375,295.071,286.828,263.91,255.034,253.72,261.964,278.221,272.351,118.566, 
Hidalgo,15.915,421.415,102.714,177.664,189.687,87.58,273.418,24.956,197.961,125.869,2.377,222.609,306.259,296.97,61.391,302.783,284.915,0,295.307,110.502,166.639,7.742,16.675,220.305,235.955,102.418,86.428,122.557,10.919,4.663,73.359,31.524,164.042,24.031,14.963,13.12,251.897, 
Estacin Santa Engracia,303.683,236.186,255.623,168.493,208.079,288.935,28.181,300.133,106.242,218.182,296.256,233.388,104.228,53.899,238.371,106.346,123.825,295.307,0,277.054,168.247,277.044,271.427,240.141,144.665,172.442,187.846,212.26,286.975,278.731,252.481,246.937,181.697,253.867,270.124,264.254,43.433, 
Ponciano Arriaga,118.9,409.221,25.661,108.372,91.482,25.758,273.654,84.49,171.955,57.946,111.451,168.799,294.065,276.205,78.931,282.017,272.721,110.502,277.054,0,128.173,120.837,105.702,123.665,225.397,89.52,74.828,111.999,117.493,119.025,50.112,110.444,96.107,124.822,119.55,116.857,233.556, 
Xicotncatl,175.015,352.631,126.955,19.998,59.286,160.267,164.847,171.465,63.149,89.514,167.588,64.943,220.673,167.398,109.703,173.211,240.27,166.639,168.247,128.173,0,168.237,162.62,91.159,222.059,63.635,79.039,103.453,178.168,169.924,143.674,138.13,32.715,145.06,161.317,155.447,125.5, 
Cd. Cuauhtmoc,9.693,421.641,102.63,177.89,189.913,87.496,273.644,24.872,198.187,126.095,7.855,222.835,306.485,297.196,61.617,303.009,285.141,7.742,277.044,120.837,168.237,0,19.939,220.564,236.214,102.677,86.687,122.816,5.035,3.545,67.475,31.783,164.301,24.29,15.222,13.379,252.156, 
Moralillo,25.051,416.023,87.495,172.272,184.295,72.361,268.027,9.737,192.57,120.477,17.624,217.217,300.867,291.579,55.999,297.392,279.523,16.675,271.427,105.702,162.62,19.939,0,216.43,232.08,98.543,82.554,118.682,16.154,17.686,55.509,27.65,160.167,20.156,14.884,12.191,248.022, 
El Naranjo,228.681,424.525,119.615,71.459,32.286,168.737,236.741,225.131,135.042,134.091,221.254,47.614,292.567,239.292,163.369,164.43,312.164,220.305,240.141,123.665,91.159,220.564,216.43,0,284.014,118.484,133.888,170.616,231.764,223.521,180.458,191.727,60.513,198.657,214.914,209.044,196.59, 
Soto la Marina,244.331,183.968,199.752,221.642,252.093,233.064,141.265,240.781,159.391,188.275,236.904,293.368,68.812,118.387,179.019,166.326,47.468,235.955,144.665,225.397,222.059,236.214,232.08,284.014,0,166.189,151.053,115.041,247.737,239.494,216.576,207.7,227.813,214.63,230.887,225.017,111.203, 
