LOCALIDADES,El Salvador,San Lucas Evangelista,Santa Cruz del Astillero,La Manzanilla de la Paz,La Cofrada de la Luz,Santiago Totolimixpan (Colonia la Guadalupana),Estipac,Paseo Puente Viejo,El Plan (El Cerrito),El Cabezn (El Limn),El Salitre,Buenavista,Santa Fe,Lomas de Tejeda,Villa Emiliano Zapata (Ejido Modelo),Amacueca,Juanacatln,La Laja,Chantepec (El Chante),El Crucero de Santa Mara,Zapotln del Rey,San Marcos,Zapotitn de Hidalgo,La Capilla del Refugio,San Luis Soyatln,Jardines de San Sebastin,San Isidro Mazatepec,Cuisillos,San Francisco de la Soledad (San Francisco),San Esteban (San Miguel Tateposco),Hostotipaquillo,Teuchitln,La Unin del Cuatro (San Jos del Valle),Teocuitatln de Corona,Chiquilistln,Nextipac,Fraccionamiento Campestre las Palomas,Hacienda los Fresnos,Fraccionamiento la Alameda,Cuquo,Paseo del Prado,Tenamaxtln,Concepcin de Buenos Aires,Palomar,La Punta,San Antonio Tlayacapan,Mezcala,Atoyac,San Pedro Itzicn,Cajititln,San Juanito de Escobedo,Atemajac de Brizuela,La Venta del Astillero,Puente Grande,Galaxia la Noria,Colinas del Roble,Ixtlahuacn de los Membrillos,Ixtlahuacn del Ro,El Refugio,Zapote del Valle (Zapote de Santa Cruz),Atequiza,San Juan Cosal,Bellavista,Atotonilquillo,Los Ruiseores,San Miguel Cuyutln,Villa Corona,Los Olivos,San Martn Hidalgo,Fraccionamiento Rancho Alegre,El Capuln,La Alameda,Galaxia Bonito Jalisco,Juanacatln,Tecolotln,Valle Dorado Inn,Acatln de Jurez,Ajijic,Amatitn,Fraccionamiento Villas de la Hacienda,Santa Cruz de las Flores,El Arenal,Lomas de San Agustn,Acatic,La Tijera,Centro de Readaptacin Social,Etzatln,Poncitln,Fraccionamiento Real del Valle (El Paraso),Cocula,Tizapn el Alto,Ahualulco de Mercado,San Jos del Castillo,Magdalena,San Jos el Verde (El Verde),El Quince (San Jos el Quince),Zacoalco de Torres,Jocotepec,Lomas del Sur,Santa Anita,Chapala,El Salto,Las Pintas,Las Pintitas,Santa Cruz del Valle,San Sebastin el Grande,Tequila,Coyula,Tlajomulco de Ziga,San Agustn,Zapotlanejo,Tala,Ameca,Tesistn (San Francisco Tesistn),Hacienda Santa Fe,Tepatitln de Morelos,Tonal,Tlaquepaque,Zapopan,Guadalajara, 
El Salvador,0,119.119,53.62,186.825,107.142,152.74,120.039,109.759,120.039,100.439,97.671,106.071,123.778,107.488,188.002,168.486,178.086,117.259,139.359,118.549,143.455,107.143,127.18,119.47,151.895,100.434,91.517,78.248,111.558,94.936,91.461,82.712,99.398,163.164,171.709,69.958,83.135,99.127,112.444,158.154,94.326,169.52,193.934,90.663,109.759,136.683,147.394,163.045,154.372,119.67,94.498,164.275,65.931,114.402,110.938,102.136,126.96,131.866,70.692,108.591,127.826,144.312,103.342,130.072,63.418,115.687,125.694,118.7,106.855,115.459,109.946,110.804,116.31,117.766,155.389,101.134,117.925,140.49,38.354,99.018,101.628,48.225,97.608,145.286,91.076,112.314,93.643,149.781,97.325,115.019,181.422,94.792,109.038,68.604,102.29,104.078,140.236,134.225,101.83,94.79,133.799,116.226,100.312,100.612,98.747,98.097,50.945,106.324,109.417,94.948,119.398,69.235,106.66,76.693,103.457,159.035,101.885,93.923,83.681,90.626, 
San Lucas Evangelista,119.119,0,66.27,103.185,53.959,50.383,55.752,46.103,36.399,83.592,73.069,22.432,60.121,11.099,104.362,84.846,94.446,53.602,50.964,65.366,58.732,111.056,43.54,27.069,68.255,19.665,32.022,53.548,47.902,63.224,128.512,70.495,21.196,79.524,118.526,58.365,64.999,18.167,29.311,119.483,24.917,116.337,110.294,33.213,46.103,34.342,45.054,79.405,52.032,12.26,94.838,80.635,55.443,50.746,10.117,17.316,24.619,93.196,58.475,22.079,25.486,45.611,39.939,27.732,72.428,3.646,42.054,22.233,75.454,26.005,19.416,27.671,33.177,36.939,102.206,20.013,34.285,38.149,81.328,19.821,19.503,73.728,25.699,95.117,30.876,48.658,97.505,47.441,21.821,61.836,97.782,82.575,29.909,105.656,38.78,40.568,56.596,50.585,15.952,27.756,31.459,35.018,26.768,33.857,24.116,21.431,93.919,56.706,11.099,24.469,60.41,54.184,87.406,62.15,15.007,108.866,51.715,28.831,44.065,48.712, 
Santa Cruz del Astillero,53.62,66.27,0,133.329,58.811,99.244,71.708,56.263,66.543,52.108,49.34,52.575,70.282,53.992,134.506,114.99,124.59,63.763,85.863,70.218,89.959,74.942,73.684,65.974,98.399,46.938,43.186,29.917,58.062,41.44,67.368,34.381,45.902,109.668,123.378,16.462,29.639,45.631,58.948,104.658,40.83,121.189,140.438,37.167,56.263,83.187,93.898,109.549,100.876,66.174,58.724,110.779,12.435,60.906,57.442,48.64,73.464,78.37,22.361,55.095,74.33,90.816,55.011,76.576,15.087,62.191,72.198,65.204,58.524,61.963,56.45,57.308,62.814,64.27,107.058,47.638,64.429,86.994,16.276,45.522,48.132,8.676,44.112,91.79,37.58,58.818,61.391,96.285,43.829,66.688,127.926,46.461,55.542,44.512,48.794,50.582,86.74,80.729,48.334,41.294,80.303,62.73,46.816,47.116,45.251,44.601,28.867,52.828,55.921,41.452,65.902,20.904,58.329,23.197,49.961,105.539,48.389,40.427,30.185,37.13, 
La Manzanilla de la Paz,186.825,103.185,133.329,0,108.861,140.708,110.654,134.981,91.301,138.494,127.971,88.996,148.999,104.721,46.82,74.891,109.765,142.48,68.556,120.268,148.225,187.27,69.118,112.384,41.748,106.137,108.236,129.762,136.78,138.73,204.017,146.709,112.331,40.273,173.428,133.87,140.504,107.735,118.19,194.989,110.779,171.239,14.158,108.719,134.981,85.851,110.815,56.521,117.792,114.96,171.052,135.537,130.948,139.624,101.526,107.816,98.972,168.702,134.689,120.661,114.862,73.509,94.841,117.107,147.933,104.34,96.956,107.548,130.356,114.884,117.696,116.55,122.056,125.818,157.108,114.193,89.187,81.311,156.833,109.937,93.225,149.233,101.205,177.376,106.382,137.536,173.719,138.47,120.822,116.738,40.24,151.349,118.788,181.161,127.824,129.612,71.649,63.422,102.424,103.262,90.319,123.897,125.845,126.146,122.244,105.297,169.424,138.414,98.069,99.975,151.488,130.398,150.716,137.655,114.094,191.125,133.975,120.79,119.571,121.191, 
La Cofrada de la Luz,107.142,53.959,58.811,108.861,0,102.172,14.381,90.128,20.39,31.137,20.615,33.197,104.146,48.922,102.809,73.295,81.707,97.627,54.166,12.911,119.746,73.063,41.987,72.909,66.702,50.338,32.09,34.95,91.927,82.931,120.56,52.595,56.532,77.371,66.071,67.083,84.705,51.936,82.178,139.19,54.98,63.882,108.741,52.92,90.128,71.461,96.425,71.562,103.402,59.161,56.844,67.896,63.056,94.771,45.727,52.017,76.408,112.903,40.575,68.98,77.275,59.119,19.974,79.521,55.267,48.541,13.019,72.14,22.999,72.906,79.68,80.538,86.044,89.806,49.751,58.394,21.512,66.921,69.467,54.138,37.426,58.633,45.406,121.577,50.583,92.683,59.511,99.23,65.023,9.381,96.229,43.993,78.773,97.704,72.025,73.813,45.938,49.032,46.625,47.463,75.929,87.885,70.046,70.347,66.445,49.498,82.058,82.615,42.27,44.176,95.689,42.859,43.359,73.818,58.295,135.326,78.176,64.991,63.772,65.392, 
Santiago Totolimixpan (Colonia la Guadalupana),152.74,50.383,99.244,140.708,102.172,0,107.712,61.344,88.359,143.557,140.789,74.392,33.762,63.514,109.412,136.806,146.406,51.591,74.086,117.326,9.631,166.39,86.809,38.449,100.313,75.487,83.982,121.366,60.243,84.536,162.619,125.829,60.115,131.484,170.486,92.473,88.451,63.742,49.118,140.796,69.379,168.297,160.297,76.356,61.344,57.464,20.46,131.365,13.316,50.063,150.172,132.595,89.55,56.445,62.077,65.289,47.741,114.508,113.809,51.59,25.549,68.733,91.899,23.513,106.536,55.605,94.014,38.476,127.414,45.813,48.624,47.478,52.984,43.166,154.166,59.107,86.245,61.271,115.435,62.979,71.463,107.836,77.659,73.778,76.768,61.892,152.839,2.831,60.74,113.796,116.027,137.909,49.716,139.763,58.587,60.375,108.556,78.743,67.912,74.013,54.581,54.825,62.384,53.665,62.275,75.274,128.027,58.706,63.059,80.641,47.891,112.353,149.778,88.748,60.838,87.527,55.606,60.705,73.906,66.357, 
Estipac,120.039,55.752,71.708,110.654,14.381,107.712,0,91.924,22.186,44.048,33.525,34.993,105.942,50.718,104.605,55.295,63.139,99.423,55.962,25.822,121.542,85.973,43.783,74.705,68.498,52.134,33.886,47.86,93.723,84.727,133.47,65.505,58.328,58.182,78.983,79.867,86.501,53.732,83.974,140.986,56.776,76.794,110.537,54.716,91.924,73.257,98.221,53.561,105.198,60.957,69.754,49.329,76.945,96.567,47.523,53.813,78.204,114.699,53.485,70.776,79.071,60.915,21.77,81.317,68.177,50.337,14.814,73.936,35.91,74.702,81.476,82.334,87.84,91.602,62.662,60.19,23.308,68.717,82.377,55.934,39.222,71.543,47.202,123.373,52.379,94.479,72.421,101.026,66.819,15.336,98.025,56.903,80.569,110.614,73.821,75.609,27.938,50.828,48.421,49.259,77.725,89.681,71.842,72.143,68.241,51.294,94.968,84.411,44.066,45.972,97.485,55.769,56.27,83.652,60.091,137.122,79.972,66.787,65.568,67.188, 
Paseo Puente Viejo,109.759,46.103,56.263,134.981,90.128,61.344,91.924,0,70.665,97.958,95.19,56.698,17.94,48.888,138.628,119.112,128.712,11.421,69.071,99.632,52.685,120.791,77.806,26.935,102.521,40.421,65.362,75.767,5.72,41.146,117.02,80.23,34.487,113.79,152.792,46.874,45.061,38.114,18.28,97.406,34.313,150.603,144.56,41.29,0,52.449,63.161,113.671,70.139,35.437,104.573,114.901,43.951,8.564,48.641,39.661,42.727,71.118,68.21,24.358,43.593,63.718,74.205,45.839,60.937,45.73,76.32,34.467,109.72,31.225,25.713,20.148,14.229,11.928,136.472,31.875,68.551,56.256,69.836,37.351,52.255,62.237,39.983,48.454,33.961,6.476,107.24,65.548,32.414,96.102,132.048,92.31,15.884,94.164,15.507,14.119,90.862,73.728,41.817,38.947,49.566,10.388,27.318,18.599,27.209,40.208,82.428,15.316,53.201,45.575,18.228,66.754,104.179,45.358,33.606,62.203,10.008,25.639,28.307,19.697, 
El Plan (El Cerrito),120.039,36.399,66.543,91.301,20.39,88.359,22.186,70.665,0,50.432,39.91,14.149,85.098,29.874,83.761,52.871,61.283,78.579,35.118,32.206,100.698,92.358,22.939,53.861,47.654,31.29,18.896,40.422,72.879,63.883,129.17,57.369,37.484,55.759,85.367,59.023,65.657,32.888,63.13,120.142,35.932,83.178,89.693,33.872,71.08,52.413,77.377,51.138,84.354,40.113,76.139,47.472,56.101,75.723,26.679,32.969,57.36,93.855,45.349,49.932,58.227,40.071,6.78,60.473,57.117,29.493,8.895,53.092,42.294,53.858,60.632,61.49,66.996,70.758,69.046,39.346,1.089,47.873,81.986,35.09,18.378,74.386,26.358,102.529,31.535,73.635,78.806,80.182,45.975,28.676,77.181,63.288,59.725,106.314,52.977,54.765,25.514,29.984,27.577,28.415,56.881,68.837,50.998,51.299,47.397,30.45,94.577,63.567,23.222,25.128,76.641,41.058,62.654,62.808,39.247,116.278,59.128,45.943,44.724,46.344, 
El Cabezn (El Limn),100.439,83.592,52.108,138.494,31.137,143.557,44.048,97.958,50.432,0,15.289,62.842,114.208,78.567,132.454,102.94,78.867,107.689,83.811,18.354,133.885,71.8,71.632,109.9,96.347,79.983,50.489,28.254,101.988,85.366,113.864,45.899,89.828,107.016,70.678,60.388,73.565,81.581,102.874,148.584,84.756,68.49,138.386,81.093,100.189,101.106,126.07,101.207,133.047,88.806,55.582,65.056,56.361,104.832,75.372,81.662,117.39,122.296,33.879,99.021,118.256,88.764,49.619,120.502,48.571,78.186,42.664,109.13,8.086,105.889,100.376,101.234,106.74,108.196,54.358,91.564,51.157,96.566,62.771,89.448,67.071,51.937,75.051,135.716,80.228,102.744,58.249,140.211,87.755,24.24,125.874,36.386,99.468,91.008,92.72,94.508,75.583,78.677,76.27,77.108,105.574,106.656,90.742,91.042,89.177,79.143,75.362,96.754,71.915,73.821,109.828,36.163,17.973,67.123,93.887,149.465,92.315,84.353,74.111,81.056, 
