LOCALIDADES,Chichimequillas,Jaral de Berrios,Rizos de la Joya (Rizos del Saucillo),San Nicols de los Gonzlez,Los Rodrguez,Puentecillas,Valencianita,San Juan Pan de Arriba,Loza de los Padres,Cuchicuato,San Juan de Otates,Comanjilla,El Carrizal Grande,Caada de Bustos,Bajo de Bonillas,Rancho Nuevo de la Cruz,lvaro Obregn (Santa Ana del Conde),La Sauceda (Santa Fe de Guadalupe),Colonias Nuevo Mxico,Fraccionamiento Cristeros,Laguna de Guadalupe,Paso de Cuarenta (San Miguel de Cuarenta),San Jos de Llanos,Coecillo,Aldama,Franco,Lo de Jurez,San Cristbal,San Juan de Abajo,La Calera,Matancillas (San Isidro Matancillas),Plan de Ayala (Santa Rosa),Villas de Irapuato,San Diego de Alejandra,Villa de Arriaga,La Aldea,San Bartolo de Berrios,Duarte,Ocampo,Santa Teresa,San Diego de la Unin,Unin de San Antonio,Arandas,Yerbabuena,Ojuelos de Jalisco,San Julin,Cuermaro,Ciudad Manuel Doblado,Medina,La Ermita,Romita,San Felipe,Marfil,Centro Familiar la Soledad,Pnjamo,Pursima de Bustos,Dolores Hidalgo Cuna de la Independencia Nacional,San Francisco del Rincn,Guanajuato,Silao,Lagos de Moreno,Irapuato,Len de los Aldama, 
Chichimequillas,0,99.76,61.714,26.571,21.082,34.552,42.98,137.741,29.162,62.212,24.327,10.562,49.694,31.966,17.489,69.891,31.448,43.52,16.298,88.534,132.662,118.379,32.777,9.906,32.686,12.146,38.623,65.139,38.732,34.788,135.127,47.982,54.328,80.13,175.119,18.463,87.238,17.736,100.476,35.875,132.267,117.158,46.711,30.742,126.812,100.878,68.046,80.261,42.213,59.569,23.862,64.734,29.558,55.611,101.531,64.85,89.78,61.82,35.439,11.414,87.945,50.372,39.766, 
Jaral de Berrios,99.76,0,156.433,116.061,112.075,125.545,133.974,122.663,112.06,153.205,113.817,102.729,140.688,122.96,112.512,160.884,126.167,134.513,111.017,155.425,77.948,118.699,123.771,107.285,123.679,107.169,129.617,156.132,133.451,125.781,93.612,142.701,145.322,174.849,67.204,111.851,14.258,107.226,72.827,115.441,116.517,171.329,137.705,121.735,86.545,195.597,161.434,173.649,136.932,154.288,117.25,38.036,120.551,150.33,192.525,159.569,85.228,156.539,119.82,103.708,142.937,141.366,134.485, 
Rizos de la Joya (Rizos del Saucillo),61.714,156.433,0,21.903,58.708,72.178,80.606,175.367,34.804,99.838,24.097,46.024,87.32,69.592,48.134,107.517,41.742,81.146,43.551,43.892,131.414,63.583,70.403,50.486,70.312,49.809,76.249,102.765,21.506,72.414,114.581,16.325,91.954,40.895,120.323,56.153,136.835,27.971,84.572,73.501,169.893,37.065,84.337,68.368,106.266,61.643,70.929,59.155,20.708,4.132,61.552,114.331,67.184,2.138,139.157,25.615,127.406,22.585,73.065,49.104,38.716,87.998,12.163, 
San Nicols de los Gonzlez,26.571,116.061,21.903,0,41.602,55.072,63.5,158.261,9.403,82.731,5.044,16.218,70.214,52.486,31.028,90.41,24.635,64.04,26.445,73.239,115.387,75.256,53.297,33.38,53.205,32.703,59.143,85.658,11.445,55.308,117.853,19.224,74.848,52.481,131.996,39.047,101.236,8.918,80.336,56.395,152.787,101.863,67.231,51.262,109.538,73.229,70.806,68.119,7.5,23.806,44.446,78.732,50.078,27.061,122.051,37.201,110.3,34.171,55.959,31.998,50.388,70.892,12.038, 
Los Rodrguez,21.082,112.075,58.708,41.602,0,19.029,27.106,122.218,31.572,46.337,38.731,26.908,33.82,16.204,20.203,54.016,33.858,27.997,18.708,90.944,143.199,120.789,16.903,14.976,16.811,14.86,22.749,49.264,41.142,18.913,145.664,50.392,38.454,82.54,177.529,18.102,97.775,36.036,111.013,8.745,116.744,119.568,30.837,15.219,137.349,103.288,77.665,79.9,44.623,61.979,23.501,75.271,14.035,58.021,85.657,67.26,74.257,64.23,19.916,10.746,90.355,34.498,42.176, 
Puentecillas,34.552,125.545,72.178,55.072,19.029,0,34.241,115.479,44.129,53.472,51.288,39.465,40.955,6.223,32.761,61.151,46.415,13.436,31.266,103.501,155.756,133.346,13.536,27.534,23.946,27.418,29.884,56.399,53.699,26.048,158.221,62.949,45.589,95.097,190.086,30.476,110.332,48.593,123.57,8.563,110.005,132.125,37.972,3.699,149.906,115.845,84.8,92.274,57.181,74.536,35.875,87.828,7.296,70.578,92.792,79.817,67.518,76.787,13.177,23.12,102.912,41.633,54.733, 
Valencianita,42.98,133.974,80.606,63.5,27.106,34.241,0,144.834,53.131,30.141,60.29,48.467,5.626,22.024,41.762,37.82,55.417,33.044,40.267,112.503,164.758,142.348,15.364,36.535,10.919,36.419,8.924,33.068,62.701,13.696,167.223,71.951,22.445,104.099,199.088,39.661,119.334,57.595,132.572,30.858,139.36,141.127,14.828,37.466,158.908,124.847,63.3,105.072,66.182,83.538,38.799,96.83,37.957,79.58,71.292,88.819,96.873,85.789,41.474,32.305,111.914,13.095,63.735, 
San Juan Pan de Arriba,137.741,122.663,175.367,158.261,122.218,115.479,144.834,0,145.682,162.006,152.841,141.018,149.489,120.485,134.314,169.685,147.968,123.294,132.819,205.054,179.582,228.441,126.765,129.087,132.48,128.971,138.418,164.933,155.252,134.582,196.779,164.502,154.123,196.65,167.465,132.029,118.073,150.146,133.309,113.014,6.277,233.678,146.506,110.516,189.712,217.398,220.249,193.827,158.734,176.089,137.428,97.567,108.547,172.131,228.241,181.37,45.336,178.34,103.015,124.673,204.465,177.145,156.286, 
Loza de los Padres,29.162,112.06,34.804,9.403,31.572,44.129,53.131,145.682,0,72.175,7.159,12.217,59.657,41.93,20.471,79.854,14.075,53.483,15.889,66.126,125.88,95.971,42.741,22.823,42.649,22.146,48.587,75.102,16.324,44.751,146.969,25.574,64.292,57.722,152.711,28.49,97.235,4.917,90.829,45.838,142.23,94.75,56.675,40.705,138.654,78.47,72.22,75.982,19.805,37.161,33.889,74.731,39.521,33.203,111.495,42.442,99.743,39.412,45.402,21.441,65.537,60.336,17.358, 
Cuchicuato,62.212,153.205,99.838,82.731,46.337,53.472,30.141,162.006,72.175,0,79.134,67.311,31.382,40.868,46.689,7.714,74.261,51.888,59.111,131.347,183.602,161.192,34.208,55.379,29.763,55.263,28.469,2.962,81.545,32.54,186.067,90.795,10.731,93.105,217.932,40.533,138.178,76.439,151.416,49.702,158.204,159.971,18.19,56.31,177.752,113.443,30.037,60.058,85.026,102.382,42.462,115.674,56.801,98.424,51.263,107.663,115.717,104.633,60.318,51.149,130.758,15.023,82.579, 
