LOCALIDADES,Aramberri,Fraccionamiento Misin de San Javier,Portal de las Salinas,Entronque Laredo-Salinas Victoria,La Ascencin,Valle de Vaqueras,Ciudad de Villaldama,Fraccionamiento Cosmpolis Octavo Sector,Marn,El Control,Simeprodeso (Colectivo Nuevo),El Realito,Ciudad Satlite del Norte,General Francisco Villa,Bustamante,Anhuac,Hacienda San Pedro,Ramrez,Colinas del Aeropuerto,General Bravo,Las Escobas,Alianza Real,Nueva Ciudad Guerrero,General Cepeda,Mina,Hidalgo,Los Guerra,Mier,Las Torres,Villas de Alcal,Pesquera,Loma la Paz,Monte Kristal,Hualahuises,Valle de Lincoln,Hctor Caballero,Real del Sol,Emiliano Zapata,Ciudad General Tern,Galeana,Ciudad Cerralvo,Concepcin del Oro,Ciudad Camargo,Misin San Pablo,Arteaga,Salinas Victoria,China,Ex-Hacienda Santa Rosa,Carmen,Prados de Santa Rosa,Santa Rosa,General Zuazua,Nuevo Progreso,Ciudad Gustavo Daz Ordaz,Cinega de Flores,Hidalgo,Villas del Poniente,Parque Industrial Ciudad Mitras,Ciudad Miguel Alemn,Arboledas de San Roque,Ciudad de Allende,San Fernando,Ciudad Sabinas Hidalgo,Fraccionamiento Real Palmas,Santiago,Montemorelos,Valle Hermoso,Jardines de la Silla (Jardines),Linares,Ramos Arizpe,Cadereyta Jimnez,Garca,Ciudad Ro Bravo,San Pedro Garza Garca,Ciudad Benito Jurez,Ciudad Santa Catarina,Ciudad General Escobedo,San Nicols de los Garza,Heroica Matamoros,Ciudad Apodaca,Reynosa,Guadalupe,Saltillo,Monterrey, 
Aramberri,0,317.715,346.975,334.743,42.075,307.954,404.163,331.581,360.617,521.246,328.049,471.844,334.451,383.15,415.118,480.564,342.598,525.304,351.724,369.914,315.997,318.816,435.424,288.346,353.386,243.746,426.998,416.586,339.939,339.927,353.471,316.199,308.131,170.86,308.406,295.121,340.853,332.787,236.198,112.393,355.241,293.752,453.817,318.642,239.535,340.237,311.276,335.568,334.961,335.827,333.693,346.607,497.977,459.053,344.309,343.559,309.125,319.871,430.375,295.428,241.586,354.34,414.598,343.005,271.217,220.54,465.781,306.447,172.796,265.836,281.743,307.171,484.638,313.041,291.442,300.474,320.174,306.022,497.749,315.108,460.588,306.691,253.225,294.153, 
Fraccionamiento Misin de San Javier,317.715,0,40.205,27.974,278.007,19.293,100.791,17.826,28.072,270.913,33.799,297.825,31.546,332.195,111.746,278.762,35.828,274.971,19.179,119.581,14.175,42.247,161.675,176.721,59.136,226.352,153.248,142.836,45.689,33.157,20.925,6.915,19.47,137.443,48.753,20.008,34.083,31.864,88.777,221.022,81.491,236.896,180.067,4.652,121.236,36.656,114.241,12.133,40.711,13.322,13.249,21.583,247.644,208.72,37.539,49.309,51.141,36.601,156.625,24.505,78.548,283.021,107.828,36.235,59.939,100.956,291.712,17.786,149.972,105.117,33.839,60.044,234.305,33.15,15.606,41.937,28.029,17.692,299.676,8.266,210.255,14.194,117.088,25.601, 
Portal de las Salinas,346.975,40.205,0,21.338,309.653,64.118,83.282,23.698,27.796,301.378,30.506,328.29,22.52,362.66,94.237,309.227,14.284,305.436,32.571,150.046,56.882,39.987,165.821,174.461,56.876,245.752,157.395,146.983,25.959,11.613,45.798,45.192,64.295,156.843,46.493,60.632,6.58,23.367,119.242,263.649,85.637,234.636,184.214,41.297,118.976,20.499,144.706,27.685,30.168,27.944,25.81,18.293,278.109,239.185,4.504,47.049,48.882,40.395,160.772,60.939,97.948,313.486,63.548,14.691,79.339,120.356,322.177,60.655,169.372,102.857,64.304,57.784,264.77,45.997,56.261,68.2,31.823,33.941,330.141,35.364,240.72,47.441,114.828,44.924, 
Entronque Laredo-Salinas Victoria,334.743,27.974,21.338,0,292.667,47.132,82.902,6.712,35.958,284.392,14.553,311.304,13.657,345.674,93.857,292.241,17.94,288.45,27.065,133.06,39.896,23.001,169.561,157.475,39.89,228.765,161.135,150.723,26.443,15.269,28.812,28.206,47.309,139.856,29.507,43.646,16.195,16.755,102.256,246.663,89.378,217.65,187.954,24.311,101.99,18.767,127.72,10.699,21.465,10.958,8.824,21.949,261.123,222.199,19.651,30.063,31.896,23.409,164.512,43.953,80.961,296.5,89.94,18.347,62.352,103.369,305.191,43.669,152.385,85.871,47.318,40.798,247.784,29.011,39.275,51.214,14.837,16.955,313.155,18.378,223.734,30.455,97.842,27.937, 
La Ascencin,42.075,278.007,309.653,292.667,0,267.909,364.118,291.536,320.572,481.201,288.004,431.799,294.406,343.105,375.073,440.519,302.553,485.259,311.679,329.869,275.952,278.771,395.379,248.301,313.341,203.701,386.953,376.541,299.894,299.882,313.426,276.154,268.086,130.815,268.361,255.076,300.808,292.742,196.153,72.348,315.196,296.534,413.772,278.597,199.49,300.192,271.231,295.523,294.916,295.782,293.648,306.562,457.932,419.008,304.264,303.514,269.08,279.826,390.33,255.383,201.541,314.295,374.553,302.96,231.172,180.495,425.736,266.402,132.751,225.791,241.698,267.126,444.593,272.996,251.397,260.429,280.129,265.977,457.704,275.063,420.543,266.646,213.18,254.108, 
Valle de Vaqueras,307.954,19.293,64.118,47.132,267.909,0,123.212,48.489,44.431,265.227,56.22,292.139,53.967,326.509,134.167,273.076,58.249,269.285,35.538,113.895,9.668,64.668,178.034,165.759,81.557,215.912,169.608,159.196,68.11,55.578,37.285,17.416,1.404,127.003,71.174,4.633,56.504,54.285,83.091,210.582,97.851,225.934,196.427,19.728,110.274,59.077,108.555,28.136,63.132,29.325,29.252,41.915,241.958,203.034,59.96,71.73,39.289,65.931,172.985,3.609,68.108,277.335,130.249,58.656,35.992,90.516,286.026,4.89,139.532,94.155,28.154,56.035,228.619,28.651,7.393,37.438,56.614,27.802,293.99,24.269,204.569,11.278,106.126,20.008, 
Ciudad de Villaldama,404.163,100.791,83.282,82.902,364.118,123.212,0,87.05,97.86,366.702,80.118,393.614,70.027,427.984,10.412,374.551,84.348,370.76,109.375,215.37,122.206,97.328,132.292,231.802,92.619,304.685,161.4,150.575,66.729,81.677,111.122,110.516,129.619,215.776,103.834,125.956,79.566,72.979,184.566,320.99,155.701,291.977,188.22,106.621,176.317,63.799,210.03,91.037,70.938,91.296,89.162,88.357,343.433,304.509,83.023,82.793,106.222,96.731,164.777,126.263,156.881,378.81,27.767,84.755,138.272,179.289,387.501,125.979,228.305,160.198,129.628,115.125,330.094,104.686,121.585,125.541,88.159,92.754,395.465,100.688,306.044,112.765,172.169,103.857, 
Fraccionamiento Cosmpolis Octavo Sector,331.581,17.826,23.698,6.712,291.536,48.489,87.05,0,36.744,285.177,16.819,312.089,14.315,346.459,94.515,293.026,18.597,289.235,27.851,133.845,40.682,20.255,170.347,159.741,42.156,228.396,161.921,151.509,22.665,15.926,29.598,28.991,48.094,139.487,31.773,44.431,16.852,15.9,103.041,248.929,90.164,219.916,188.74,25.097,104.256,19.425,128.505,6.56,23.731,6.819,4.685,22.606,261.908,222.984,20.308,32.329,28.151,22.554,165.298,44.738,80.592,297.285,90.597,19.004,61.983,103,305.976,44.455,152.016,88.137,48.103,43.064,248.569,28.642,40.06,53.48,13.981,16.585,313.94,11.511,224.519,31.241,100.108,27.568, 
Marn,360.617,28.072,27.796,35.958,320.572,44.431,97.86,36.744,0,290.151,43.723,317.063,41.47,351.433,109.59,298,16.252,294.209,16.279,138.819,41.076,52.171,138.941,186.645,69.06,243.598,130.515,120.103,41.312,18.263,12.854,30.558,46.533,154.689,58.676,49.405,21.491,41.788,108.015,238.268,58.757,246.82,157.334,29.816,131.16,35.852,133.479,27.715,50.635,28.904,28.831,10.044,266.882,188.048,24.948,59.233,61.065,53.434,133.892,49.712,95.794,302.259,91.162,16.091,77.185,118.202,310.95,44.849,167.218,115.041,53.077,69.967,253.543,50.396,45.034,59.183,44.117,33.309,318.914,23.884,229.493,35.96,127.012,42.847, 
El Control,521.246,270.913,301.378,284.392,481.201,265.227,366.702,285.177,290.151,0,293.394,43.749,291.142,120.192,371.342,24.687,295.424,3.437,280.206,157.914,269.604,301.842,193.971,436.316,318.731,341.185,164.978,174.795,305.284,292.753,281.953,262.31,266.833,342.392,308.348,263.17,293.679,291.46,257.074,425.971,236.108,496.491,135.258,267.188,380.831,296.252,170.313,277.8,300.306,278.989,278.916,284.081,27.752,107.708,297.135,308.904,310.737,303.105,161.153,263.477,282.524,141.858,367.424,295.831,273.68,274.259,37.636,273.377,354.921,364.712,243.091,319.639,39.106,287.979,258.762,296.766,293.788,278.814,41.766,273.968,63.267,269.785,376.683,280.43, 
