LOCALIDADES,Las Esperanzas,San Carlos,Ocampo,Cloete,Nadadores,Colonia Venustiano Carranza,Lampazos de Naranjo,Villa Unin,Morelos,El Campanario y Oradel,Minas de Barrotern,Cuatro Cinegas de Carranza,Zaragoza,Anhuac,Pala,San Buenaventura,Allende,Nava,Castaos,Ciudad Melchor Mzquiz,Nueva Rosita,Sabinas,Frontera,Ciudad Acua,Piedras Negras,Monclova,Nuevo Laredo, 
Las Esperanzas,0,180.667,235.169,48.642,132.837,155.369,236.014,122.028,110.712,294.221,14.074,185.494,120.703,185.352,20.232,127.606,103.28,119.026,127.271,28.971,42.956,51.561,116.408,221.331,158.134,113.187,295.766, 
San Carlos,180.667,0,382.23,138.043,279.898,72.019,315.866,98.06,71.18,237.826,181.571,332.555,60.248,270.621,161.901,274.667,78.836,83.433,274.333,170.641,136.911,145.264,263.469,41.486,61.761,260.249,239.371, 
Ocampo,235.169,382.23,0,246.772,103.05,357.812,264.6,324.471,313.155,513.444,221.794,51.518,323.146,309.968,254.798,110.31,305.723,321.469,144.542,263.537,250.631,238.796,124.853,423.774,360.577,128.732,509.813, 
Cloete,48.642,138.043,246.772,0,144.291,112.462,164.318,79.121,67.805,251.314,45.964,196.948,77.796,148.611,29.408,139.06,60.373,76.119,138.725,38.148,5.281,9.657,127.862,178.424,115.227,124.641,252.859, 
Nadadores,132.837,279.898,103.05,144.291,0,255.466,162.254,222.125,210.809,411.098,119.448,53.361,220.8,207.622,152.452,7.963,203.377,219.123,42.196,161.191,148.285,136.45,22.507,321.428,258.231,26.386,407.467, 
Colonia Venustiano Carranza,155.369,72.019,357.812,112.462,255.466,0,255.935,68.028,44.893,177.895,150.912,301.896,54.41,210.69,131.242,244.008,48.804,32.981,243.674,139.982,106.252,114.605,232.81,106.142,11.677,229.59,179.44, 
Lampazos de Naranjo,236.014,315.866,264.6,164.318,162.254,255.935,0,251.784,230.134,107.507,222.366,214.685,240.125,46.908,191.737,156.797,222.702,238.448,151.188,200.477,167.61,154.214,145.599,349.885,257.221,135.739,116.715, 
Villa Unin,122.028,98.06,324.471,79.121,222.125,68.028,251.784,0,28.103,173.12,123.942,274.926,38.094,205.915,104.272,217.038,20.772,37.307,216.704,113.012,79.282,87.635,205.84,138.722,76.415,202.62,174.665, 
Morelos,110.712,71.18,313.155,67.805,210.809,44.893,230.134,28.103,0,200.289,111.607,262.591,11.206,233.084,91.937,204.703,8.872,13.897,204.369,100.677,66.947,75.3,193.505,111.835,54.881,190.285,201.834, 
El Campanario y Oradel,294.221,237.826,513.444,251.314,411.098,177.895,107.507,173.12,200.289,0,296.465,320.749,210.617,61.731,276.795,262.861,193.295,207.366,368.775,285.535,251.805,260.158,390.469,271.551,178.887,382.868,12.69, 
Minas de Barrotern,14.074,181.571,221.794,45.964,119.448,150.912,222.366,123.942,111.607,296.465,0,171.953,122.37,171.811,33.524,114.065,104.947,120.693,113.73,42.263,49.855,38.02,102.867,222.998,159.801,99.646,297.433, 
Cuatro Cinegas de Carranza,185.494,332.555,51.518,196.948,53.361,301.896,214.685,274.926,262.591,320.749,171.953,0,273.58,260.402,205.232,60.743,256.157,271.903,94.976,213.971,201.065,189.23,75.287,374.208,311.011,79.166,460.247, 
Zaragoza,120.703,60.248,323.146,77.796,220.8,54.41,240.125,38.094,11.206,210.617,122.37,273.58,0,242.801,101.654,214.42,18.589,23.186,214.086,110.394,76.664,85.017,203.222,101.897,64.17,200.002,211.551, 
Anhuac,185.352,270.621,309.968,148.611,207.622,210.69,46.908,205.915,233.084,61.731,171.811,260.402,242.801,0,176.481,202.196,225.761,239.832,196.587,185.221,152.354,138.958,190.998,304.017,211.353,181.138,70.847, 
Pala,20.232,161.901,254.798,29.408,152.452,131.242,191.737,104.272,91.937,276.795,33.524,205.232,101.654,176.481,0,147.025,84.953,100.699,146.69,9.822,24.629,37.536,135.827,203.004,139.807,132.606,277.439, 
San Buenaventura,127.606,274.667,110.31,139.06,7.963,244.008,156.797,217.038,204.703,262.861,114.065,60.743,214.42,202.196,147.025,0,198.283,214.029,37.102,156.097,143.191,131.356,17.413,316.334,253.137,21.292,402.373, 
Allende,103.28,78.836,305.723,60.373,203.377,48.804,222.702,20.772,8.872,193.295,104.947,256.157,18.589,225.761,84.953,198.283,0,18.11,197.957,94.265,60.535,68.888,187.093,119.525,57.218,183.873,194.607, 
Nava,119.026,83.433,321.469,76.119,219.123,32.981,238.448,37.307,13.897,207.366,120.693,271.903,23.186,239.832,100.699,214.029,18.11,0,213.798,110.106,76.376,84.729,202.934,125.162,42.081,199.714,206.499, 
Castaos,127.271,274.333,144.542,138.725,42.196,243.674,151.188,216.704,204.369,368.775,113.73,94.976,214.086,196.587,146.69,37.102,197.957,213.798,0,157.714,144.808,132.973,24.183,317.951,254.754,16.582,365.529, 
Ciudad Melchor Mzquiz,28.971,170.641,263.537,38.148,161.191,139.982,200.477,113.012,100.677,285.535,42.263,213.971,110.394,185.221,9.822,156.097,94.265,110.106,157.714,0,33.371,46.278,144.569,211.746,148.549,141.348,286.181, 
Nueva Rosita,42.956,136.911,250.631,5.281,148.285,106.252,167.61,79.282,66.947,251.805,49.855,201.065,76.664,152.354,24.629,143.191,60.535,76.376,144.808,33.371,0,13.446,131.651,178.914,115.717,128.431,253.349, 
Sabinas,51.561,145.264,238.796,9.657,136.45,114.605,154.214,87.635,75.3,260.158,38.02,189.23,85.017,138.958,37.536,131.356,68.888,84.729,132.973,46.278,13.446,0,121.552,186.417,123.22,118.331,260.852, 
Frontera,116.408,263.469,124.853,127.862,22.507,232.81,145.599,205.84,193.505,390.469,102.867,75.287,203.222,190.998,135.827,17.413,187.093,202.934,24.183,144.569,131.651,121.552,0,304.9,241.703,5.548,386.698, 
Ciudad Acua,221.331,41.486,423.774,178.424,321.428,106.142,349.885,138.722,111.835,271.551,222.998,374.208,101.897,304.017,203.004,316.334,119.525,125.162,317.951,211.746,178.914,186.417,304.9,0,92.391,298.15,270.001, 
Piedras Negras,158.134,61.761,360.577,115.227,258.231,11.677,257.221,76.415,54.881,178.887,159.801,311.011,64.17,211.353,139.807,253.137,57.218,42.081,254.754,148.549,115.717,123.22,241.703,92.391,0,237.375,180.178, 
Monclova,113.187,260.249,128.732,124.641,26.386,229.59,135.739,202.62,190.285,382.868,99.646,79.166,200.002,181.138,132.606,21.292,183.873,199.714,16.582,141.348,128.431,118.331,5.548,298.15,237.375,0,379.483, 
Nuevo Laredo,295.766,239.371,509.813,252.859,407.467,179.44,116.715,174.665,201.834,12.69,297.433,460.247,211.551,70.847,277.439,402.373,194.607,206.499,365.529,286.181,253.349,260.852,386.698,270.001,180.178,379.483,0, 
