LOCALIDADES,Santa Elena Paliseca,El Huixm,San Bartolo Tutotepec,Santiago Tepeyahualco,San Juan Tilcuautla,Almoloya,Rinconada de los ngeles,Manuel vila Camacho,El Pedregal de San Jos,Xolotla,Huehuetla,Ixtlahuaca Barrio,Santa Mara Nativitas,El Saucillo,Rincones de la Hacienda,La Colonia,Santa Mara Asuncin,Cuacuila,Metztitln,Epazoyucan,San Pablito,Jagey de Tllez (Estacin Tllez),Unidades Habitacionales,Santiago Tlapacoya,PRI Chacn,Ciudad de Pahuatln de Valle,Santa Mara Aticpac,Forjadores de Pachuca,El Saucillo (Fraccionamiento),Los Reyes,San Felipe Teotitln,Acaxochitln,Singuilucan,Santa Ana Tzacuala,Almoloya,Tepepa (Santiago Tepepa),Colinas de Plata,Jaltepec,Los Tuzos,Privadas Santa Matilde,Huayacocotla,Unidad Minera 11 de Julio,Santa Ana Hueytlalpan,Pachuquilla,Parque Urbano Napateco,Javier Rojo Gmez,Campestre Villas del lamo,Jaltepec,Zempoala,Atotonilco el Grande,Tlanalapa,Acayuca,Emiliano Zapata,San Agustn Tlaxiaca,Mineral del Monte,Tepeapulco,Santiago Tulantepec,La Providencia Siglo XXI,Cuautepec de Hinojosa,Ciudad de Chignahuapan,Zacualtipn,Apan,Fray Bernardino de Sahagn (Ciudad Sahagn),Huauchinango,Tulancingo,Pachuca de Soto, 
Santa Elena Paliseca,0,91.503,87.391,64.218,75.175,9.628,76.724,63.239,27.154,46.985,124.546,38.95,8.184,82.997,25.442,83.213,25.444,39.054,117.665,51.961,60.703,81.511,26.204,75.741,61.621,50.428,70.761,82.68,60.778,30.136,76.353,25.783,39.997,31.275,54.902,23.298,62.732,58.778,81.843,85.263,96.538,61.536,35.727,57.251,27.764,24.085,61.139,25.759,61.964,63.477,52.846,103.601,64.967,83.346,69.109,45.357,16.198,60.119,11.074,33.571,127.034,56.064,50.638,36.055,19.699,64.998, 
El Huixm,91.503,0,128.082,40.758,12.993,67.289,19.312,21.15,53.368,100.364,189.317,129.781,67.682,14.675,59.53,8.746,74.222,113.158,104.636,33.37,114.082,18.409,52.418,4.673,15.143,103.807,41.897,10.231,16.485,87.205,61.731,81.598,55.007,84.654,73.73,88.554,16.229,68.013,10.948,13.157,127.591,19.434,76.418,19.725,65.881,55.635,20.541,59.847,33.588,50.447,45.007,6.98,85.381,13.009,27.02,52.473,60.641,20.153,65.02,126.935,114.004,67.132,53.658,103.32,59.127,11.602, 
San Bartolo Tutotepec,87.391,128.082,0,115.672,114.453,81.577,128.178,97.696,78.039,50.943,33.635,116.275,81.97,134.451,72.639,134.667,58.263,99.652,108.556,103.414,36.443,132.965,77.089,115.019,100.899,46.564,122.215,134.134,112.231,71.247,127.807,65.639,91.451,68.695,138.455,72.595,102.01,134.284,133.297,136.717,71.028,97.649,52.372,108.704,57.592,74.97,99.11,72.956,113.418,81.983,120.435,155.055,151.652,122.624,88.349,117.198,74.929,111.572,79.308,113.429,100.283,131.857,129.086,89.814,67.837,104.277, 
Santiago Tepeyahualco,64.218,40.758,115.672,0,44.46,54.449,24.984,38.714,40.527,87.515,176.468,116.932,54.842,31.258,46.681,31.474,61.373,100.309,122.201,27.364,101.233,29.772,39.577,45.026,32.708,90.958,14.947,30.941,30.249,74.356,7.921,68.749,24.145,71.805,37.874,75.705,33.794,24.65,30.104,33.524,124.38,36.998,63.569,32.376,53.04,42.794,38.105,46.998,10.225,68.012,9.151,40.406,30.839,52.631,44.585,16.617,47.801,30.95,52.18,114.086,131.569,31.276,17.802,90.471,46.287,34.284, 
San Juan Tilcuautla,75.175,12.993,114.453,44.46,0,66.75,22.724,20.611,52.829,99.825,188.778,129.242,67.143,14.938,58.991,16.966,73.683,112.619,104.098,32.831,113.543,26.629,51.879,8.976,14.605,103.268,45.172,18.451,17.205,86.666,49.452,81.059,58.283,84.115,77.005,88.015,15.691,62.79,19.168,21.377,127.053,18.895,75.879,19.186,65.342,55.096,20.002,59.308,36.863,49.909,48.282,25.025,80.158,16.582,26.482,55.748,60.102,19.614,64.481,126.396,113.466,70.407,56.933,102.781,58.588,13.127, 
Almoloya,9.628,67.289,81.577,54.449,66.75,0,68.395,54.91,18.825,51.343,140.732,48.209,5.104,74.668,17.113,74.884,25.202,47.576,109.336,43.632,65.061,73.182,16.635,67.412,53.292,54.786,62.432,74.351,52.449,28.674,68.024,24.941,31.668,35.633,53.173,24.844,54.403,74.501,73.514,76.934,88.209,53.207,27.398,48.922,19.435,15.756,52.81,17.43,53.635,55.148,51.118,95.272,63.239,75.017,60.78,43.629,7.414,51.79,2.269,42.83,118.705,54.336,48.91,44.577,11.37,56.669, 
Rinconada de los ngeles,76.724,19.312,128.178,24.984,22.724,68.395,0,16.373,39.405,86.401,175.354,115.818,53.719,8.917,45.567,9.133,60.259,99.195,99.86,9.119,100.119,15.939,38.455,22.686,10.367,89.844,25.45,8.6,7.908,73.242,29.731,67.635,38.561,70.691,57.284,74.591,11.453,43.069,7.763,11.183,122.815,14.657,62.455,8.062,51.918,41.672,15.764,45.884,17.142,45.671,28.561,18.065,60.437,30.291,22.244,36.027,46.678,4.49,51.057,112.972,109.228,50.686,37.211,89.357,45.164,11.944, 
Manuel vila Camacho,63.239,21.15,97.696,38.714,20.611,54.91,16.373,0,42.362,89.358,127.689,118.775,56.676,8.455,48.524,15.312,63.216,102.152,84.299,22.364,103.076,27.559,41.412,22.064,7.944,92.801,41.364,16.126,9.807,76.199,45.644,70.592,34.49,73.648,73.197,77.548,9.055,58.982,15.289,23.218,107.254,4.694,65.412,8.719,54.875,44.629,3.658,48.841,33.055,30.11,44.474,26.647,76.35,29.669,6.683,51.94,49.635,9.148,54.014,115.929,93.667,66.599,53.125,92.314,48.121,11.322, 
El Pedregal de San Jos,27.154,53.368,78.039,40.527,52.829,18.825,39.405,42.362,0,46.672,136.061,76.525,15.288,62.153,10.178,62.369,20.531,59.903,102.401,31.117,60.39,60.667,1.754,54.897,40.777,50.115,49.917,61.836,39.934,33.514,55.509,27.906,19.153,30.962,66.157,34.862,41.888,61.986,60.999,64.419,83.538,40.692,22.727,36.407,13.486,3.241,40.295,10.495,41.12,48.213,48.137,82.757,79.354,62.502,48.265,44.9,8.247,39.275,12.626,73.679,111.77,59.559,56.788,50.064,6.733,44.154, 
Xolotla,46.985,100.364,50.943,87.515,99.825,51.343,86.401,89.358,46.672,0,56.626,73.02,42.138,106.636,44.824,106.852,27.227,36.251,137.047,75.599,14.654,105.15,49.274,99.379,85.259,4.379,94.4,106.319,84.416,25.804,99.992,20.816,63.636,15.919,110.64,29.056,86.37,106.469,105.482,108.902,82.911,85.174,32.506,80.889,37.678,47.155,84.777,45.141,85.603,82.859,92.62,127.24,123.837,106.984,92.747,89.383,47.114,83.757,51.493,70.174,112.165,104.042,101.271,37.412,40.022,88.636, 
