LOCALIDADES,San Pedro Atoyac,Alcozauca de Guerrero,Huajintepec,Santo Domingo Armenta,Cochoapa el Grande,San Antonio Tepetlapa,Santo Domingo Tonal,Igualapa,Cuanacaxtitln,Yoloxchitl,San Nicols,Acatepec,Juchitn,Huixtepec,San Martn Peras,Cuautepec,Metlatnoc,Pueblo Hidalgo,San Andrs Huaxpaltepec,Xochistlahuaca,Azoy,San Juan Cacahuatepec,Cochoapa,Tlacoachistlahuaca,Santa Catarina Mechoacn,San Pedro Jicayn,Santa Mara Huazolotitln,Santa Mara Zacatepec,Zacoalpan,San Pedro Amuzgos,San Juan Colorado,Pinotepa de Don Luis,Marquelia,Copala,San Luis Acatln,Santiago Juxtlahuaca,Santiago Jamiltepec,Cuajinicuilapa,Putla Villa de Guerrero,Heroica Ciudad de Tlaxiaco,Ometepec,Santiago Pinotepa Nacional, 
San Pedro Atoyac,0,275.15,60.752,69.723,199.573,40.976,242.336,112.82,142.94,149.554,89.945,118.544,113.101,73.888,227.397,178.163,197.93,198.704,49.21,117.041,127.466,49.419,117.148,111.723,71.918,10.506,52.914,84.097,105.037,61.29,10.876,14.389,134.906,152.635,162.475,188.988,62.669,69.766,132.868,198.938,110.325,31.066, 
Alcozauca de Guerrero,275.15,0,237.552,308.173,74.993,253.628,90.856,190.361,178.66,172.134,277.048,178.546,223.791,189.173,51.343,205.738,65.292,157.138,288.928,164.374,194.269,226.456,171.448,151.481,311.636,275.528,292.632,191.333,164.061,214.28,287.958,281.907,201.907,221.157,167.055,87.101,302.387,266.944,143.315,177.126,178.03,270.784, 
Huajintepec,60.752,237.552,0,95.005,138.931,39.192,204.7,49.641,96.84,103.454,63.138,39.408,67.001,13.246,189.761,132.064,137.288,152.605,74.492,56.399,81.366,11.998,32.852,51.081,97.2,61.092,78.196,46.461,44.395,23.655,73.522,67.471,88.806,106.535,116.376,151.352,87.951,42.96,95.233,161.303,37.31,56.348, 
Santo Domingo Armenta,69.723,308.173,95.005,0,173.401,70.087,271.447,61.956,92.076,98.69,29.964,67.68,62.237,82.78,256.508,127.299,171.758,147.84,63.829,90.869,76.602,78.53,66.284,85.551,86.537,54.181,67.533,113.208,78.865,90.401,66.611,60.56,84.042,101.77,111.611,218.099,77.288,18.902,161.979,228.049,59.461,45.685, 
Cochoapa el Grande,199.573,74.993,138.931,173.401,0,177.703,134.72,126.562,129.131,122.605,164.552,114.747,143.922,125.374,68.367,208.985,9.852,107.609,223.329,100.575,158.287,150.509,107.649,87.682,246.038,213.681,227.034,159.706,100.262,162.166,226.111,220.06,165.727,183.456,117.526,87.063,236.789,154.447,111.688,177.088,114.231,205.186, 
San Antonio Tepetlapa,40.976,253.628,39.192,70.087,177.703,0,220.775,118.325,148.445,155.059,95.45,78.489,118.606,52.327,205.836,183.668,176.369,204.209,54.715,95.48,132.971,27.859,71.933,90.162,77.423,41.315,58.419,62.536,83.476,39.73,53.745,47.694,140.411,158.14,167.98,167.427,68.174,75.271,111.308,177.378,76.391,36.571, 
Santo Domingo Tonal,242.336,90.856,204.7,271.447,134.72,220.775,0,254.727,301.926,250.377,297.307,244.494,272.087,218.332,87.463,337.15,126.136,235.381,256.572,200.287,286.452,194.1,237.938,212.189,279.28,243.172,260.276,158.977,249.481,181.924,255.602,249.551,293.892,311.621,245.298,54.744,270.031,277.128,110.959,166.038,242.396,238.428, 
Igualapa,112.82,190.361,49.641,61.956,126.562,118.325,254.727,0,62.652,69.266,53.443,13.702,32.813,36.31,151.847,97.876,125.288,118.417,112.22,44.399,47.178,61.445,19.814,39.081,134.929,102.572,115.925,95.908,32.395,73.102,115.002,108.951,54.618,72.347,82.188,200.799,125.68,43.338,144.68,210.75,12.991,94.077, 
Cuanacaxtitln,142.94,178.66,96.84,92.076,129.131,148.445,301.926,62.652,0,6.614,83.411,68.378,31.501,83.478,212.933,96.796,138.843,47.224,142.188,91.567,15.623,108.613,66.982,86.249,164.897,132.541,145.893,143.076,79.563,120.27,144.971,138.92,53.539,71.267,12.41,247.967,155.648,73.306,191.848,257.918,60.159,124.045, 
Yoloxchitl,149.554,172.134,103.454,98.69,122.605,155.059,250.377,69.266,6.614,0,90.011,74.978,38.101,90.078,206.408,44.615,132.318,40.699,148.788,98.167,22.223,115.213,73.582,92.849,171.497,139.141,152.493,149.676,86.163,126.87,151.571,145.52,40.113,59.363,5.885,254.567,162.248,79.906,198.448,264.518,66.759,130.645, 
