LOCALIDADES,Cala Sur,San Isidro,Amixtln,Tlacotepec (San Mateo),Zoatecpan,Coahuixco,Xaltepec,El Mirador,Ahueyahualco,Chicahuaxtla,San Juan Tahitic,Xonocuautla,Chapopote Nez,Espinal,Xochitln de Vicente Surez,Juan Marcos (San Jos Buenavista),Ocotln de Betancourt,Colonias Pedernales,Oyameles,Ayotoxco de Guerrero,Plan de Arroyos,Tzinacapan,La Libertad,General Lzaro Crdenas del Ro,Xoloateno,Nautla,San Francisco,Mecapalapa,Coahuitln,Jicolapa,Los Molinos (San Jos),Zozocolco de Hidalgo,Comaltepec,Las Colonias de Hidalgo,Arroyo del Maz Uno,Las Lomas,Ixtepec,Villa Aldama,Chicontla,Colonia Libertad,Entabladero,Chiconcuautla,Atzingo (La Cumbre),San Jos Acateno,San Francisco,San Andrs Payuca,Caxhuacan,Tepango de Rodrguez,Sosa,Huitzilan,Xaltepuxtla,Estero del dolo,Felipe Carrillo Puerto,La Palmilla,Metlaltoyuca,San Sebastin,Zacate Colorado,El Chote,Coxquihui,San Antonio Limn (Totalco),San Miguel Tenextatiloyan,Tacopan,Cazones de Herrera,Zongozotla,Tatoxcac,Castillo de Teayo,Ciudad de Tetela de Ocampo,Xalacapan,Teteles de Avila Castillo,San Juan Acateno,Yaonhuac,Tecolutla,Puntilla Aldama,Xaltipan,Mecatln,Atoluca,Hueytamalco,Agua Dulce,Ciudad de Cuetzalan,Hueyapan,Venustiano Carranza,Atempan,San Rafael,Tenango de las Flores,Totolapa,Nuevo Necaxa,San Juan Xiutetelco,Zacapoaxtla,Coyutla,Santiago de la Pea,Villa vila Camacho (La Ceiba),Ciudad de Tlatlauquitepec,Zaragoza,Chignautla,Plan de Ayala,Villa Lzaro Crdenas (La Uno),Filomeno Mata,Jalacingo,Gutirrez Zamora,Tihuatln,Alto Lucero,Independencia,Altotonga,lamo,Zacatln,Coatzintla,Tlapacoyan,Perote,Xicotepec de Jurez,Papantla de Olarte,Teziutln,Martnez de la Torre,Txpam de Rodrguez Cano,Poza Rica de Hidalgo, 
Cala Sur,0,12.65,112.797,118.885,57.228,7.945,260.185,23.356,45.906,267.335,51.241,17.346,190.362,77.001,67.614,51.154,26.984,71.79,26.722,52.209,70.661,76.51,36.818,138.547,13.606,112.63,25.119,191.918,108.452,213.604,65.584,77.126,40.408,255.161,137.117,40.507,90.992,56.162,282.596,52.97,95.764,270.319,214.447,64.072,225.536,64.379,94.739,96.91,10.91,68.39,257.688,183.711,85.769,58.918,197.378,21.253,140.295,110.462,78.827,69.759,40.182,1.445,160.53,77.225,40.172,168.557,80.187,44.007,7.256,21.875,10.068,150.032,94.406,26.058,109.455,20.051,42.994,107.634,74.289,11.068,157.555,4.696,96.694,253.297,137.238,250.814,25.985,40.874,96.019,184.085,289.567,17.486,30.787,10.853,134.887,124.109,110.393,28.623,138.865,156.044,191.415,70.532,41.938,186.729,210.651,126.316,49.35,58.006,262.658,115.826,16.901,71.514,189.148,135.068, 
San Isidro,12.65,0,122.045,128.133,66.476,4.466,269.433,32.604,32.258,276.583,60.489,22.901,188.145,74.56,76.862,37.506,36.231,59.462,32.166,49.768,58.333,85.195,46.066,136.33,5.601,100.302,10.531,189.701,107.866,222.852,51.936,76.54,49.656,264.409,134.9,49.755,100.24,42.514,145.001,39.322,95.178,279.567,223.695,61.855,223.319,73.627,94.153,106.158,2.46,77.638,266.936,181.494,73.441,46.59,195.161,11.712,138.078,108.245,78.241,49.003,49.43,11.169,158.313,86.473,49.42,166.34,89.434,53.255,16.504,11.247,19.316,137.704,82.078,9.009,108.869,9.423,30.666,105.417,84.331,20.316,155.338,13.944,84.366,262.545,135.021,260.062,12.337,50.122,95.433,181.868,229.491,26.733,40.035,3.211,132.67,157.361,109.807,14.975,126.537,153.827,189.198,58.204,28.29,184.512,219.899,124.099,37.022,36.05,207.45,113.609,4.556,59.186,186.931,132.851, 
Amixtln,112.797,122.045,0,17.475,63.425,115.994,108.739,89.931,153.955,115.889,77.464,97.125,219.571,96.008,55.389,236.635,88.169,157.614,101.913,90.291,156.485,81.135,93.674,188.016,121.655,283.322,133.168,153.085,100.213,40.946,228.049,62.522,75.098,103.715,199.537,82.886,41.167,223.293,131.15,229.529,87.525,54.167,38.423,132.612,186.703,121.235,53.263,15.888,118.958,44.413,106.242,212.92,171.593,144.742,226.587,129.302,116.423,111.975,70.588,223.114,97.038,111.003,214.245,48.384,76.838,197.766,49.661,68.498,105.404,129.924,106.167,249.543,180.23,134.107,101.216,128.1,120.043,119.25,78.915,109.291,162.478,108.145,182.518,101.851,190.903,99.368,134.034,72.178,87.78,213.183,138.121,94.22,90.922,118.902,191.485,159.783,102.154,136.672,238.377,185.253,220.513,156.356,149.987,215.938,34.45,123.222,133.668,219.392,111.212,118.723,124.95,157.338,218.246,196.601, 
Tlacotepec (San Mateo),118.885,128.133,17.475,0,69.513,122.082,111.901,96.019,236.039,119.051,83.552,103.213,222.733,102.096,61.477,241.416,94.257,163.702,108.001,96.379,162.573,87.223,99.762,191.178,127.743,286.484,139.256,156.247,106.301,36.161,232.83,68.61,81.186,106.877,202.699,88.974,47.255,228.074,134.312,234.31,93.613,49.382,33.638,138.7,189.865,191.417,59.351,21.976,125.046,50.501,109.404,216.082,177.681,150.83,229.749,135.39,186.145,118.063,76.676,227.895,103.126,117.091,217.407,54.472,82.926,200.928,53.156,74.586,111.492,136.012,112.255,252.705,288.067,140.195,107.304,134.188,126.131,125.338,85.003,115.379,165.64,114.233,296.178,105.013,194.065,102.53,140.122,78.266,93.868,216.345,141.283,100.308,97.01,124.99,194.647,162.945,108.242,142.76,241.539,188.415,223.675,162.444,241.436,219.1,37.006,195.9,139.756,224.173,114.374,217.427,131.038,163.426,221.408,199.763, 
Zoatecpan,57.228,66.476,63.425,69.513,0,60.366,154.933,34.303,98.327,162.083,21.836,41.497,170.835,80.549,11.631,103.575,32.541,122.982,46.285,55.659,121.853,22.91,38.046,119.02,66.027,169.085,77.54,172.391,91.249,104.659,92.045,40.3,19.47,149.909,124.493,27.258,41.62,99.105,128.384,105.391,78.561,165.067,105.501,97.98,173.957,65.607,45.443,47.538,63.33,19.018,152.436,164.184,136.961,110.11,177.851,73.674,107.459,95.319,61.624,97.187,41.41,55.375,145.361,27.853,21.21,149.03,44.953,12.87,49.776,74.296,50.539,151.001,145.598,78.479,92.252,72.472,85.411,103.66,20.69,53.663,124.719,52.517,147.886,148.045,117.711,145.562,78.406,16.55,78.816,164.558,145.128,38.592,35.294,63.274,115.36,106.906,93.19,81.044,139.835,136.517,171.888,121.724,94.359,167.202,101.705,114.258,99.036,85.434,156.996,110.593,69.322,122.706,169.621,119.898, 
Coahuixco,7.945,4.466,115.994,122.082,60.366,0,263.588,26.758,38.021,270.738,54.643,20.749,182.477,77.303,71.016,43.269,30.386,63.905,25.223,52.511,62.776,79.912,40.221,130.662,5.721,104.745,17.234,184.033,110.609,217.007,57.699,79.283,43.81,258.564,129.232,43.909,94.394,48.277,147.744,45.085,97.921,273.722,217.85,56.187,217.651,67.782,96.896,100.312,3.024,71.792,261.091,175.826,77.884,51.033,189.493,13.368,132.41,102.577,80.984,62,43.585,5.324,152.645,80.627,43.574,160.672,83.589,47.409,10.659,13.99,13.47,142.147,86.521,18.173,111.612,12.166,35.109,99.749,77.691,14.47,149.67,8.099,88.809,256.7,129.353,254.217,18.1,44.276,98.176,176.2,223.823,20.888,34.19,2.968,127.002,151.693,112.55,20.738,130.98,148.159,183.53,62.647,34.053,178.844,214.054,118.431,41.465,50.247,266.061,107.941,9.016,63.629,181.263,127.183, 
Xaltepec,260.185,269.433,108.739,111.901,154.933,263.588,0,238.652,249.082,17.334,166.731,237.826,140.128,135.338,157.174,254.459,235.46,191.837,227.973,143.292,233.942,156.211,228.776,108.573,270.953,203.879,261.758,73.642,124.108,72.649,245.873,122.717,164.365,6.298,109.73,159.298,135.265,241.117,34.571,247.353,118.756,24.363,78.916,175.038,107.26,204.46,139.502,109.986,268.256,138.511,5.691,133.477,183.37,201.171,147.144,210.026,92.697,119.729,115.734,240.938,225.294,260.301,134.802,142.482,166.105,118.323,111.301,157.765,254.702,207.409,255.465,170.1,205.462,260.042,125.111,219.706,196.677,126.844,155.347,258.589,76.538,257.443,213.573,7.242,111.46,9.637,269.118,161.445,111.675,133.74,46.573,243.517,231.623,268.2,100.597,69.496,56.411,266.997,158.934,105.81,141.07,190.579,254.479,136.495,75.122,102.451,210.757,237.216,19.664,122.799,223.615,189.368,138.803,105.135, 
El Mirador,23.356,32.604,89.931,96.019,34.303,26.758,238.652,0,64.6,243.979,28.461,7.083,209.056,85.869,44.834,69.848,3.628,90.484,20.379,61.077,89.355,53.73,13.462,157.241,32.3,131.324,43.813,281.175,122.069,190.248,63.039,73.365,17.628,231.805,155.811,17.727,68.212,74.856,259.24,71.664,109.381,246.963,191.091,82.766,314.793,41.023,78.508,74.13,29.603,45.61,234.332,202.405,104.463,77.612,216.072,39.947,138.279,129.156,92.444,68.181,16.826,21.648,179.224,54.445,17.392,187.251,56.831,21.227,16.049,40.569,16.812,168.726,113.1,44.752,123.072,38.745,61.688,126.328,51.509,19.936,155.539,18.79,115.388,229.941,155.932,227.458,44.679,18.094,109.636,202.779,266.211,4.865,7.431,29.547,153.581,137.726,124.01,47.317,157.559,174.738,210.109,89.226,60.632,205.423,187.295,145.01,68.044,56.428,239.302,134.52,35.595,90.208,207.842,153.762, 
Ahueyahualco,45.906,32.258,153.955,236.039,98.327,38.021,249.082,64.6,0,254.893,93.375,52.375,198.357,94.735,109.748,15.079,69.118,63.294,66.471,69.943,47.595,105.37,78.953,146.542,36.726,104.134,15.446,199.913,128.041,201.162,20.051,96.715,82.542,242.719,145.112,82.641,127.16,10.629,270.154,10.182,115.353,257.877,202.005,64.771,233.531,59.892,114.328,139.044,28.52,110.524,245.246,191.706,77.273,50.422,205.373,37.818,148.29,118.457,98.416,31.732,82.317,44.056,168.525,119.359,82.306,176.552,115.209,86.141,49.391,37.353,52.202,141.536,85.91,17.202,129.044,29.45,40.878,115.629,104.506,53.202,165.55,46.831,88.198,240.855,145.233,238.372,15.439,83.008,115.608,192.08,277.125,59.62,56.812,35.969,142.882,167.573,129.982,18.288,130.369,164.039,199.41,62.036,5.771,194.724,198.209,134.311,40.038,19.671,250.216,123.821,30.919,63.018,197.143,143.063, 
Chicahuaxtla,267.335,276.583,115.889,119.051,162.083,270.738,17.334,243.979,254.893,0,173.88,244.975,147.277,142.487,164.323,261.608,242.609,198.986,235.122,150.441,241.091,163.36,235.925,115.722,278.102,211.028,268.907,80.791,65.488,79.798,253.022,129.866,171.514,12.172,116.879,166.447,142.414,248.266,35.01,254.502,125.905,26.972,86.065,182.187,114.409,211.609,146.651,117.135,275.405,145.66,12.004,140.626,190.519,208.32,154.293,217.175,99.846,126.878,122.883,248.087,232.443,267.45,141.951,149.631,173.254,125.472,118.45,164.914,261.851,214.558,262.614,177.249,212.611,267.191,61.312,226.855,203.826,133.993,162.496,265.738,83.687,264.592,220.722,14.391,118.609,16.786,276.267,168.594,118.824,140.889,53.722,250.666,238.772,275.349,107.746,76.645,56.85,274.146,166.083,112.959,148.219,197.728,261.628,143.644,82.271,109.6,217.906,244.365,26.813,129.948,230.764,196.517,145.952,112.284, 
