LOCALIDADES,Escolsticas,Lagunillas,El Vegil,Esperanza,Victoria,La Venta de Ajuchitlancito,Alfajayucan,San Pedro de los Pozos (Mineral de Pozos),Guadalupe Septin,Puerto de Aguirre,El Tejocote,Colonia San Luis Rey,Bordo Blanco,San Antonio de la Cal,Fuentes de Balvanera,Los Rodrguez,Tolimn,Amexhe,El Castillo,El Palmar (Santa Mara del Palmar),Fuentezuelas,Obrajuelo,Tierra Blanca,Jess Mara,Galindo (San Jos Galindo),El Blanco,San Miguelito,Epigmenio Gonzlez (El Ahorcado),Ajuchitlancito,El Capuln,Tlaxcalilla,Colinas de Santa Cruz Segunda Seccin,El Cazadero,Visth,Atongo,La Gotera,Los Olvera,Santa Rosa Xajay,San Fandila,San Pablo Tolimn,San Juan del Llanito,San Bartolom Aguas Calientes,San Isidro Miranda,Montenegro,La Solana,Arcila,Santa Cruz,Bernal,Coroneo,Pie de Gallo,Buenavista,Chichimequillas,La Griega,La Fuente,La D,Colonia los ngeles,General Lzaro Crdenas (El Colorado),Tlacote el Bajo,El Salitre,La Piedad (San Miguel Colorado),Paso de Mata,San Clemente,Doctor Mora,Ajuchitln,La Llave,San Nicols,La Valla,Villa Progreso,Saldarriaga,Amazcala,La Estancia,La Lira,La Pradera,Misin de Chichimecas,El Sauz (Sauz Alto,Coln,Amealco de Bonfil,La Negreta,Santa Mara Magdalena,Pedro Escobedo,La Caada,San Pedro Mrtir,Juriquilla,Cadereyta de Montes,Ezequiel Montes,San Jos el Alto,Venceremos,San Jos de los Olvera,Santa Rosa Juregui,San Jos Iturbide,Tequisquiapan,San Luis de la Paz,San Miguel de Allende,El Pueblito,San Juan del Ro,Santiago de Quertaro, 
Escolsticas,0,17.16,23.69,45.967,133.257,10.38,48.936,118.234,18.659,67.542,52.815,100.234,48.584,67.408,57.838,113.333,89.488,58.632,48.099,89.223,37.375,58.992,59.331,29.758,17.113,30.546,66.969,21.662,8.049,96.524,61.532,48.014,49.384,33.886,66.552,74.103,37.394,49.076,11.607,82.459,56.123,60.423,39.917,60.581,62.788,13.061,58.431,63.243,42.048,71.105,65.852,54.673,35.903,28.661,7.092,50.444,23.834,57.147,50.639,22.902,45.218,21.081,108.118,55.234,31.748,46.176,28.33,73.774,31.261,41.115,20.818,9.743,46.408,133.036,15.78,64.507,40.184,39.676,44.551,15.065,44.472,47.638,57.748,77.597,67.243,44.859,43.346,41.825,58.076,87.219,55.082,129.916,101.206,43.764,37.111,41.845, 
Lagunillas,17.16,0,10.447,47.528,120.977,17.668,49.962,105.954,29.922,52.22,54.376,87.96,63.762,68.968,36.976,100.99,91.048,42.988,32.455,90.783,58.538,43.348,51.547,30.784,30.545,44.85,51.326,25.127,15.337,84.244,76.71,34.147,64.562,49.064,54.418,61.822,24.152,64.254,15.852,84.019,35.261,39.562,24.735,44.938,47.145,26.493,59.19,64.803,44.174,52.633,53.578,55.432,36.929,39.924,20.524,29.583,24.859,41.503,34.995,23.928,60.396,32.344,95.838,56.794,46.926,61.354,39.593,75.334,33.397,42.141,34.25,18.592,32.541,120.756,24.629,66.067,42.31,26.434,28.908,26.329,30.605,33.771,42.104,79.157,68.803,30.992,22.751,28.113,42.433,74.939,70.26,117.636,88.932,25.843,52.289,27.978, 
El Vegil,23.69,10.447,0,59.832,121.246,32.379,63.157,106.223,54.553,52.489,66.68,88.229,88.393,81.272,29.179,101.259,103.352,36.455,25.641,103.087,70.842,36.816,51.816,43.979,39.112,57.154,51.595,47.507,30.048,84.513,101.341,34.686,89.193,73.696,65.972,62.091,16.355,88.885,33.606,96.323,27.464,31.765,28.216,45.207,47.414,35.06,57.851,77.107,35.443,52.902,53.847,56.379,50.124,64.555,29.091,21.786,37.163,34.689,35.264,37.123,85.027,56.975,96.107,69.098,71.558,85.985,64.224,87.638,36.878,55.336,42.817,31.742,36.022,121.025,54.23,78.371,43.623,18.637,29.177,50.96,34.086,34.31,42.373,91.461,81.107,34.473,18.35,20.316,42.702,75.208,94.891,117.905,89.201,18.046,76.92,28.683, 
Esperanza,45.967,47.528,59.832,0,128.725,34.151,27.802,113.702,16.719,63.01,20.683,95.702,33.7,44.259,60.536,108.801,66.339,61.33,50.797,66.074,23.108,61.69,54.799,26.015,49.806,4.852,69.668,16.839,37.87,91.992,83.463,50.712,71.315,32.909,30.771,69.571,49.374,42.217,29.226,59.31,58.821,63.121,42.615,63.28,65.487,47.582,35.48,40.094,105.993,66.573,61.32,50.141,22.801,17.015,29.269,53.142,23.667,59.845,53.337,25.798,67.149,17.544,103.586,32.084,29.488,34.798,23.571,50.625,26.898,28.013,45.869,23.088,49.106,128.504,36.352,28.726,81.147,50.391,47.249,21.251,47.17,50.336,60.446,54.448,44.094,47.557,46.044,44.523,60.775,82.687,32.943,125.384,96.674,46.462,59.042,44.543, 
Victoria,133.257,120.977,121.246,128.725,0,122.177,109.8,45.979,124.7,76.326,136.848,87.837,158.541,86.295,118.154,63.865,63.06,119.001,108.468,115.843,141.01,119.362,88.158,119.478,137.832,127.322,84.924,117.654,125.896,40.317,171.488,97.217,159.34,143.843,108.747,67.909,106.992,159.033,117.252,70.792,116.439,120.739,108.508,81.549,86.548,135.608,100.626,89.17,146.846,79.367,73.587,96.868,107.911,134.702,129.883,110.76,110.492,93.599,94.755,112.622,155.175,127.122,25.449,139.266,141.705,156.133,134.371,110.031,111.3,102.892,133.894,122.111,100.908,36.328,124.378,93.916,169.173,108.009,102.186,121.107,105.28,98.629,86.254,104.217,104.094,96.576,103.891,102.142,80.331,46.551,165.039,39.254,88.809,104.08,147.068,95.414, 
La Venta de Ajuchitlancito,10.38,17.668,32.379,34.151,122.177,0,44.268,107.854,12.254,57.162,42.435,89.854,46.094,57.028,54.689,102.953,79.108,55.483,44.95,78.843,31.555,55.843,48.951,26.806,17.727,20.166,63.82,11.282,3.719,86.144,59.042,44.865,46.894,31.396,56.172,63.723,43.527,46.586,4.31,72.079,52.974,57.274,36.768,57.432,59.639,13.675,48.051,52.863,69.076,60.725,55.472,44.293,31.235,22.256,7.706,47.295,17.819,53.998,47.49,19.95,42.728,14.676,97.738,44.854,29.258,43.686,21.925,63.394,28.309,36.447,21.447,5.774,43.259,122.656,11.931,54.127,44.23,44.544,41.402,8.661,41.323,44.489,54.599,67.217,56.863,41.71,40.197,38.676,54.927,76.839,52.592,119.536,90.826,40.615,34.621,38.696, 
Alfajayucan,48.936,49.962,63.157,27.802,109.8,44.268,0,87.508,44.557,30.159,44.094,69.514,78.397,58.687,68.418,82.544,56.007,69.212,58.679,80.502,48.267,69.572,22.925,21.04,57.688,34.579,38.357,35.447,45.752,65.798,91.345,45.043,79.197,63.7,3.411,39.399,57.256,78.889,37.108,61.986,66.703,71.003,50.497,29.356,33.55,55.464,14.588,54.522,113.875,39.721,35.132,18.266,13.264,42.174,49.739,61.024,31.549,50.8,45.83,26.289,75.031,46.979,77.392,31.97,61.562,75.989,48.73,65.053,21.923,9.008,53.751,41.967,33.477,102.31,44.234,24.091,89.029,58.273,55.131,40.964,41.501,44.667,39.402,68.876,58.522,41.888,53.926,52.405,33.012,56.493,58.103,99.19,70.486,54.344,66.924,38.874, 
San Pedro de los Pozos (Mineral de Pozos),118.234,105.954,106.223,113.702,45.979,107.854,87.508,0,109.039,60.665,121.187,60.858,142.88,135.779,102.493,36.886,157.859,103.34,92.807,157.594,125.349,103.701,72.497,103.817,122.171,111.661,69.263,101.993,110.235,32.843,155.827,81.556,143.679,128.182,93.086,52.248,91.331,143.372,101.591,150.83,100.778,105.078,92.848,65.888,70.888,119.947,84.965,131.614,131.185,63.706,57.926,81.207,92.25,119.041,114.222,95.099,94.831,77.938,79.094,96.961,139.514,111.461,31.448,123.605,126.044,140.472,118.71,142.145,95.639,87.231,118.233,106.45,85.248,10.539,108.717,132.878,153.512,92.348,86.525,105.446,89.619,82.968,70.593,145.968,135.614,80.916,88.23,86.481,64.67,28.499,149.378,11.437,61.83,88.419,131.407,79.753, 
Guadalupe Septin,18.659,29.922,54.553,16.719,124.7,12.254,44.557,109.039,0,57.776,18.497,90.468,43.062,57.642,55.302,103.567,79.722,56.096,45.563,79.457,20.922,56.456,49.565,27.42,22.353,12.441,64.434,11.896,15.562,86.758,56.01,45.478,43.862,19.89,56.786,64.337,44.14,43.554,16.153,72.693,53.587,57.887,37.381,58.046,60.253,20.129,48.665,53.477,78.54,61.339,56.086,44.907,31.849,10.53,12.755,47.908,18.433,54.611,48.103,20.564,39.696,4.507,98.352,45.468,16.469,40.654,11.756,51.879,28.923,37.061,18.416,9.366,43.872,123.27,8.23,54.741,53.694,45.157,42.015,4.737,41.936,45.102,55.212,67.831,44.711,42.323,40.81,39.289,55.541,77.453,30.757,120.15,91.44,41.228,31.589,39.309, 
Puerto de Aguirre,67.542,52.22,52.489,63.01,76.326,57.162,30.159,60.665,57.776,0,68.053,40.253,89.746,82.645,50.503,53.283,104.725,51.35,40.817,104.46,72.215,51.711,9.314,50.684,69.037,58.527,17.273,48.859,57.101,36.537,102.693,29.566,90.545,75.048,29.106,14.115,39.341,90.238,48.457,97.696,48.788,53.088,40.858,7.029,12.494,66.813,20.985,78.48,79.195,11.124,5.871,12.152,28.27,65.907,61.088,43.109,41.698,25.948,27.104,43.828,86.38,58.327,48.131,70.471,72.91,87.338,65.576,89.011,43.649,23.251,65.099,53.316,33.258,73.049,55.583,79.744,100.378,40.358,34.535,52.312,37.629,30.978,18.603,92.834,82.48,28.45,36.24,34.491,12.68,27.232,96.244,69.929,41.225,36.429,78.273,27.763, 
