LOCALIDADES,Santa Mara Chimalapa,Santiago Laollaga,Tierra y Libertad,Morro de Mazatn,Reforma de Pineda,Colonia Progreso,Colonia Jurez,San Pedro Huilotepec,San Dionisio del Mar,Chicapa de Castro,Santiago Niltepec,Poblado 10,Emiliano Zapata,Cabeza de Toro,lvaro Obregn,Santa Mara Mixtequilla,Palomares,Magdalena Tequisistln,San Pedro Comitancillo,San Juan Guichicovi,San Francisco del Mar,La Ventosa,San Francisco Ixhuatn,Santo Domingo Petapa,San Mateo del Mar,Santo Domingo Ingenio,Paredn,Asuncin Ixtaltepec,Santo Domingo Zanatepec,San Pedro Tapanatepec,Santa Mara Xadani,El Espinal,Santa Mara Jalapa del Marqus,Chahuites,San Blas Atempa,Unin Hidalgo,Matas Romero Avendao,Arriaga,Ciudad Ixtepec,Santo Domingo Tehuantepec,Heroica Ciudad de Juchitn de Zaragoza,Salina Cruz, 
Santa Mara Chimalapa,0,103.044,243.117,156.757,140.545,75.464,143.465,127.782,117.162,99.712,107.622,175.963,191.196,248.584,109.081,116.509,110.217,160.954,100.945,107.466,150.681,72.79,146.901,83.083,148.436,90.214,241.607,88.3,136.387,159.381,98.336,87.058,144.353,170.207,113.397,94.107,77.639,205.079,96.33,115.395,88.793,130.107, 
Santiago Laollaga,103.044,0,207,77.721,104.428,73.392,78.831,64.271,81.045,63.595,71.505,173.891,155.079,212.467,66.672,35.335,108.145,82.126,17.944,105.394,114.564,36.947,110.784,81.011,83.802,54.097,205.49,23.372,100.27,123.264,41.475,26.118,65.525,134.09,47.999,57.99,75.567,168.962,14.941,45.381,34.802,60.092, 
Tierra y Libertad,243.117,207,0,243.993,112.355,198.962,230.702,215.019,164.477,162.628,122.916,299.46,47.745,65.093,196.317,206.707,233.714,248.19,188.181,230.963,122.49,159.705,118.71,206.581,235.673,141.272,58.116,175.536,91.964,67.988,185.572,174.294,231.589,62.191,200.634,157.023,201.137,23.537,186.528,202.631,176.029,217.343, 
Morro de Mazatn,156.757,77.721,243.993,0,155.673,127.977,50.153,35.593,112.476,95.026,122.75,228.475,206.324,263.712,46.87,49.413,162.73,80.301,72.469,159.979,165.809,84.386,162.029,135.596,55.124,105.342,256.735,77.076,151.515,174.509,76.775,73.415,63.699,185.335,44.397,91.262,130.152,220.207,72.855,41.789,70.103,28.212, 
Reforma de Pineda,140.545,104.428,112.355,155.673,0,111.394,143.134,127.451,43.122,75.059,35.348,211.892,75.322,132.71,108.749,119.139,146.146,160.622,100.613,143.395,10.24,72.137,6.46,119.013,148.105,53.704,125.733,87.968,20.514,43.508,98.004,86.726,144.021,54.333,113.066,69.454,113.569,89.205,98.96,115.063,88.461,129.775, 
Colonia Progreso,75.464,73.392,198.962,127.977,111.394,0,114.905,99.222,88.601,71.151,79.061,114.175,162.635,220.023,80.52,87.948,48.429,132.393,72.384,45.678,122.12,44.229,118.34,7.97,119.876,61.653,213.046,59.739,107.826,130.82,69.775,58.497,115.792,141.646,84.837,65.546,15.851,176.518,67.769,86.834,60.232,101.546, 
Colonia Jurez,143.465,78.831,230.702,50.153,143.134,114.905,0,15.962,104.356,86.906,114.63,220.355,198.204,255.592,27.239,41.293,154.61,80.154,64.349,151.859,157.689,76.266,153.909,127.476,5.239,97.222,248.615,68.956,143.395,166.389,43.217,65.295,63.552,177.215,30.766,83.142,122.032,212.087,72.943,33.669,61.983,23.108, 
San Pedro Huilotepec,127.782,64.271,215.019,35.593,127.451,99.222,15.962,0,83.74,66.29,94.014,199.739,177.588,234.976,11.17,26.768,133.994,65.629,43.733,131.243,137.073,55.65,133.293,106.86,20.933,76.606,227.999,48.34,122.779,145.773,27.148,44.679,49.027,156.599,15.083,62.526,101.416,191.471,58.418,19.144,41.367,8.583, 
San Dionisio del Mar,117.162,81.045,164.477,112.476,43.122,88.601,104.356,83.74,0,17.634,43.687,189.613,127.261,184.649,65.086,74.542,123.867,116.96,65.086,121.116,35.19,49.858,37.084,96.734,104.442,42.106,177.672,52.709,72.452,95.446,53.07,48.039,100.359,106.272,69.403,23.18,91.29,141.144,59.104,71.401,42.655,86.113, 
Chicapa de Castro,99.712,63.595,162.628,95.026,75.059,71.151,86.906,66.29,17.634,0,42.064,172.163,125.638,183.026,47.636,57.092,106.417,99.51,47.636,103.666,50.298,32.408,52.192,79.284,86.992,24.656,176.049,35.259,70.83,93.824,35.62,30.589,82.909,104.649,51.953,5.73,73.84,139.521,41.654,53.951,25.205,68.663, 
Santiago Niltepec,107.622,71.505,122.916,122.75,35.348,79.061,114.63,94.014,43.687,42.064,0,178.916,85.946,143.334,75.773,86.163,113.17,127.646,67.637,110.419,45.431,39.161,41.651,86.037,115.129,20.728,136.357,54.992,31.137,54.131,65.028,53.75,111.045,64.957,80.09,36.478,80.593,99.829,65.984,82.087,55.485,96.799, 
Poblado 10,175.963,173.891,299.46,228.475,211.892,114.175,220.355,199.739,189.613,172.163,178.916,0,263.127,320.515,181.012,188.44,86.062,232.885,172.876,95.265,222.612,144.721,218.832,121.711,220.368,162.145,313.538,160.231,208.318,231.312,170.267,158.989,216.284,242.138,185.329,166.038,100.604,277.01,168.261,187.326,160.724,202.038, 
Emiliano Zapata,191.196,155.079,47.745,206.324,75.322,162.635,198.204,177.588,127.261,125.638,85.946,263.127,0,67.178,158.992,169.382,196.389,210.865,150.856,193.638,85.165,122.38,81.385,169.256,198.348,103.947,60.201,138.211,54.639,30.663,148.247,136.969,194.264,24.866,163.309,119.698,163.812,23.673,149.203,165.306,138.704,180.018, 
Cabeza de Toro,248.584,212.467,65.093,263.712,132.71,220.023,255.592,234.976,184.649,183.026,143.334,320.515,67.178,0,216.848,227.238,254.245,268.721,208.712,251.494,143.021,180.236,139.241,227.112,256.204,161.803,21.866,196.067,112.495,88.519,206.103,194.825,252.12,82.722,221.165,177.554,221.668,44.99,207.059,223.162,196.56,237.874, 
lvaro Obregn,109.081,66.672,196.317,46.87,108.749,80.52,27.239,11.17,65.086,47.636,75.773,181.012,158.992,216.848,0,25.243,115.081,67.505,39.871,112.33,118.16,36.737,114.38,87.947,32.315,57.693,209.086,29.427,103.866,126.86,16.19,25.766,50.904,137.686,17.768,43.613,82.503,172.558,37.078,21.946,22.454,19.965, 
Santa Mara Mixtequilla,116.509,35.335,206.707,49.413,119.139,87.948,41.293,26.768,74.542,57.092,86.163,188.44,169.382,227.238,25.243,0,124.391,49.23,25.925,121.64,130.81,46.918,127.03,97.257,50.906,70.343,221.736,39.926,116.516,139.51,39.307,35.947,32.629,150.336,7.604,53.794,91.813,185.208,31.495,12.485,32.635,27.196, 
Palomares,110.217,108.145,233.714,162.73,146.146,48.429,154.61,133.994,123.867,106.417,113.17,86.062,196.389,254.245,115.081,124.391,0,167.172,107.162,29.551,156.899,79.007,153.119,55.998,154.654,96.432,247.825,94.517,142.605,165.599,104.553,93.275,150.571,176.425,119.615,100.325,34.89,211.297,102.547,121.613,95.011,136.325, 
Magdalena Tequisistln,160.954,82.126,248.19,80.301,160.622,132.393,80.154,65.629,116.96,99.51,127.646,232.885,210.865,268.721,67.505,49.23,167.172,0,77.351,164.862,170.692,89.269,166.912,140.479,85.082,110.225,261.618,81.958,156.398,179.392,81.657,78.297,17.345,190.218,49.279,96.144,135.035,225.09,77.183,46.661,74.985,61.372, 
San Pedro Comitancillo,100.945,17.944,188.181,72.469,100.613,72.384,64.349,43.733,65.086,47.636,67.637,172.876,150.856,208.712,39.871,25.925,107.162,77.351,0,104.436,110.266,28.843,106.486,80.053,71.16,49.799,201.192,13.46,95.972,118.966,29.337,15.11,67.076,129.792,36.121,43.823,74.609,164.664,18.181,38.118,22.664,52.83, 
San Juan Guichicovi,107.466,105.394,230.963,159.979,143.395,45.678,151.859,131.243,121.116,103.666,110.419,95.265,193.638,251.494,112.33,121.64,29.551,164.862,104.436,0,154.148,76.256,150.368,53.247,151.903,93.681,245.074,91.766,139.854,162.848,101.802,90.524,147.819,173.674,116.864,97.574,32.139,208.546,99.796,118.861,92.26,133.573, 
San Francisco del Mar,150.681,114.564,122.49,165.809,10.24,122.12,157.689,137.073,35.19,50.298,45.431,222.612,85.165,143.021,118.16,130.81,156.899,170.692,110.266,154.148,0,82.288,4.216,129.164,158.256,63.855,135.884,98.119,30.665,53.659,108.155,96.877,154.172,64.484,123.217,46.848,123.72,99.356,109.111,125.214,67.108,139.926, 
La Ventosa,72.79,36.947,159.705,84.386,72.137,44.229,76.266,55.65,49.858,32.408,39.161,144.721,122.38,180.236,36.737,46.918,79.007,89.269,28.843,76.256,82.288,0,78.407,51.874,76.387,21.72,173.113,16.25,67.893,90.887,26.286,15.008,72.303,101.713,41.348,25.613,46.43,136.585,24.165,43.345,16.743,58.057, 
