LOCALIDADES,Laguna de Santa Rita,San Marcos (San Marcos Carmona),Palomas,Vanegas,Laguna de San Vicente,Villa Hidalgo,Rancho Nuevo,El Rosario,Villa Jurez,Villa de la Paz,Ahualulco del Sonido 13,Escalerillas,Moctezuma,Tierra Nueva,Venado,Rayn,La Pila,San Ciro de Acosta,Villa de Arista,Villa de Zaragoza,Ciudad Tula,Doctor Arroyo,Villa de Reyes,Ciudad del Maz,Cedral,Charcas,Santa Mara del Ro,Cerritos,Crdenas,Ciudad Fernndez,Rioverde,Matehuala,Soledad de Graciano Snchez,San Luis Potos, 
Laguna de Santa Rita,0,32.576,193.952,247.403,27.285,50.142,19.966,55.007,115.408,201.889,56.156,70.638,116.635,69.881,135.442,158.036,13.512,155.316,86.569,20.695,190.024,210.345,42.907,204.338,218.859,158.822,42.831,105.826,175.21,117.434,120.45,192.65,15.913,14.775, 
San Marcos (San Marcos Carmona),32.576,0,200.924,216.873,48.568,57.114,14.76,76.29,122.38,208.861,31.642,52.983,79.469,91.164,100.795,183.87,34.795,181.15,66.345,46.529,196.996,217.317,64.19,211.31,225.831,124.175,64.114,112.798,201.043,143.268,146.283,199.622,21.109,16.202, 
Palomas,193.952,200.924,0,240.728,215.145,147.503,186.142,242.867,75.399,195.214,228.25,247.68,188.992,257.741,207.799,98.844,202.491,116.364,158.925,205.408,84.863,176.612,230.767,33.834,212.184,231.179,230.691,75.138,88.117,83.96,78.627,185.975,191.885,196.77, 
Vanegas,247.403,216.873,240.728,0,266.789,199.147,237.786,294.511,229.286,54.671,186.358,270.589,137.648,309.385,116.873,319.674,254.135,323.98,165.505,257.052,251.251,98.226,282.411,318.215,29.458,94.993,282.335,219.704,336.847,291.576,286.243,49.861,243.529,248.414, 
Laguna de San Vicente,27.285,48.568,215.145,266.789,0,72.048,44.022,31.509,137.314,223.795,74.996,88.145,138.541,55.967,157.348,180.772,19.286,178.052,108.475,21.343,211.93,232.251,19.41,226.244,240.765,180.728,28.917,127.732,197.946,140.17,143.186,214.556,38.899,33.615, 
Villa Hidalgo,50.142,57.114,147.503,199.147,72.048,0,39.922,96.647,68.774,155.255,82.03,101.46,70.001,111.521,88.808,159.162,56.271,163.468,39.935,59.188,143.39,163.711,84.547,157.704,172.225,112.188,84.471,59.192,176.335,131.064,125.731,146.016,45.665,50.55, 
Rancho Nuevo,19.966,14.76,186.142,237.786,44.022,39.922,0,70.049,107.992,194.472,42.152,64.558,90.986,84.924,109.793,171.437,28.555,168.717,60.903,34.096,182.608,202.928,57.949,196.922,211.442,133.173,57.873,98.41,188.611,130.835,133.851,185.233,8.567,13.648, 
El Rosario,55.007,76.29,242.867,294.511,31.509,96.647,70.049,0,163.871,250.352,101.553,114.702,165.098,82.524,183.905,207.329,45.843,204.609,135.032,47.9,238.487,258.808,12.447,252.801,267.322,207.285,55.474,154.289,224.503,166.727,169.743,241.113,65.456,60.172, 
Villa Jurez,115.408,122.38,75.399,229.286,137.314,68.774,107.992,163.871,0,184.062,149.513,168.943,110.255,179.004,129.062,94.611,123.754,98.917,80.188,126.671,108.577,192.518,152.03,122.891,201.032,152.442,151.954,13.347,111.784,66.513,61.18,174.823,113.148,118.033, 
Villa de la Paz,201.889,208.861,195.214,54.671,223.795,155.255,194.472,250.352,184.062,0,191.236,254.571,142.526,264.632,121.751,274.92,209.382,279.226,165.816,212.299,206.498,58.488,237.658,273.461,18.902,99.871,237.582,174.95,292.093,246.822,241.489,8.192,198.776,203.661, 
Ahualulco del Sonido 13,56.156,31.642,228.25,186.358,74.996,82.03,42.152,101.553,149.513,191.236,0,84.918,49.006,117.135,70.331,208.621,60.766,205.901,56.461,71.281,224.118,230.773,90.16,238.432,215.681,93.712,90.084,139.92,225.795,168.02,171.035,182.629,44.071,48.137, 
Escalerillas,70.638,52.983,247.68,270.589,88.145,101.46,64.558,114.702,168.943,254.571,84.918,0,95.431,91.761,116.757,184.467,35.392,181.747,77.942,47.126,206.018,226.339,64.787,220.332,234.853,140.137,64.711,121.82,201.64,143.865,146.88,208.644,22.648,16.8, 
Moctezuma,116.635,79.469,188.992,137.648,138.541,70.001,90.986,165.098,110.255,142.526,49.006,95.431,0,180.062,21.684,200.553,124.812,204.859,30.734,127.729,184.781,182.126,153.088,199.095,167.034,45.065,153.012,100.583,217.726,172.455,167.122,133.982,97.559,96.538, 
Tierra Nueva,69.881,91.164,257.741,309.385,55.967,111.521,84.924,82.524,179.004,264.632,117.135,91.761,180.062,0,198.165,221.589,60.103,218.869,149.292,62.159,252.747,273.068,71.652,267.061,281.582,221.545,29.875,168.549,238.763,180.987,184.003,255.373,79.715,74.431, 
Venado,135.442,100.795,207.799,116.873,157.348,88.808,109.793,183.905,129.062,121.751,70.331,116.757,21.684,198.165,0,219.241,143.5,223.547,49.422,146.417,203.469,161.231,171.776,217.783,146.139,24.17,171.7,119.271,236.414,191.143,185.81,113.087,116.247,121.328, 
Rayn,158.036,183.87,98.844,319.674,180.772,159.162,171.437,207.329,94.611,274.92,208.621,184.467,200.553,221.589,219.241,0,170.92,79.731,174.478,155.44,202.867,286.807,199.196,75.288,295.321,246.732,199.12,114.277,20.878,47.326,41.993,269.112,171.227,175.033, 
La Pila,13.512,34.795,202.491,254.135,19.286,56.271,28.555,45.843,123.754,209.382,60.766,35.392,124.812,60.103,143.5,170.92,0,164.782,95.205,24.077,198.66,218.981,33.528,212.974,227.495,167.458,33.452,114.462,184.676,126.9,129.916,201.286,23.923,18.639, 
San Ciro de Acosta,155.316,181.15,116.364,323.98,178.052,163.468,168.717,204.609,98.917,279.226,205.901,181.747,204.859,218.869,223.547,79.731,164.782,0,174.897,148.89,203.287,287.227,192.646,147.363,295.741,247.151,192.57,114.697,92.953,40.776,38.193,269.532,164.676,168.483, 
