LOCALIDADES,Ixcateopan de Cuauhtmoc,Bejucos,Villa Nicols Bravo,Amuco de la Reforma,San Pedro Limn,Changata,San Lucas,San Jos Poliutla,Corral Falso,Palmar Chico,Santo Domingo-Zacatepec,Tiquicheo,Tanganhuato,Zirndaro de los Chvez,Tlalchapa,Cocula,San Miguel Totolapan,Vicente Riva Palacio,Cutzamala de Pinzn,Ajuchitln del Progreso,Coyuca de Cataln,Ciudad Apaxtla de Castrejn,Villa Luvianos,Tlapehuala,Arcelia,Huetamo de Nez,Teloloapan,Ciudad Altamirano,Tejupilco de Hidalgo, 
Ixcateopan de Cuauhtmoc,0,161.119,137.753,153.171,129.029,144.817,189.957,115.697,140.793,144.93,128.361,245.522,155.699,209.441,135.525,98.251,128.958,155.159,169.527,143.761,158.593,68.318,191.818,134.646,103.394,201.073,35.79,153.02,130.275, 
Bejucos,161.119,0,86.48,78.635,48.532,85.698,97.295,101.97,89.52,16.563,55.51,81.967,74.789,119.577,64.999,193.615,114.841,62.591,48.001,96.974,68.729,163.215,45.402,83.295,117.824,108.411,128.771,64.288,48.267, 
Villa Nicols Bravo,137.753,86.48,0,15.957,72.876,7.603,59.165,22.429,3.579,88.777,141.653,114.73,24.907,78.649,42.192,170.151,23.801,24.367,38.735,10.079,27.801,139.751,131.546,3.192,38.283,70.281,105.308,22.228,134.41, 
Amuco de la Reforma,153.171,78.635,15.957,0,88.294,9.516,51.519,37.847,12.718,94,134.007,107.084,25.836,61.234,40.935,185.569,39.427,16.721,31.089,25.705,10.385,155.169,123.9,18.61,53.701,62.635,120.726,16.375,126.764, 
San Pedro Limn,129.029,48.532,72.876,88.294,0,79.944,105.487,50.824,75.92,25.731,72.896,130.334,90.826,127.769,48.374,161.431,64.085,70.783,56.192,78.888,76.921,131.031,62.789,69.773,38.521,116.603,96.587,88.147,65.653, 
Changata,144.817,85.698,7.603,9.516,79.944,0,58.568,29.494,4.365,101.049,141.056,114.133,32.885,68.283,47.984,177.216,31.074,23.77,38.138,17.352,17.434,146.816,130.949,10.257,45.348,69.684,112.373,23.424,133.813, 
San Lucas,189.957,97.295,59.165,51.519,105.487,58.568,0,74.893,62.443,112.811,152.819,55.699,47.712,41.009,62.811,222.616,87.764,35.514,49.901,69.897,41.652,192.216,142.712,56.218,90.747,19.435,157.772,37.212,145.576, 
San Jos Poliutla,115.697,101.97,22.429,37.847,50.824,29.494,74.893,0,25.459,66.734,157.111,130.188,40.365,94.107,26.243,148.109,13.625,39.825,54.193,28.428,43.259,117.708,147.004,19.312,16.24,85.739,83.265,37.687,149.868, 
Corral Falso,140.793,89.52,3.579,12.718,75.92,4.365,62.443,25.459,0,91.818,144.694,117.771,27.948,71.877,45.233,173.192,27.05,27.408,41.776,13.328,21.028,142.792,134.587,6.233,41.324,73.322,108.349,25.269,137.451, 
Palmar Chico,144.93,16.563,88.777,94,25.731,101.049,112.811,66.734,91.818,0,60.292,97.442,90.264,135.052,49.223,177.332,79.986,78.066,63.475,94.789,84.204,146.932,50.185,85.674,54.422,123.886,112.488,79.763,53.049, 
Santo Domingo-Zacatepec,128.361,55.51,141.653,134.007,72.896,141.056,152.819,157.111,144.694,60.292,0,137.318,130.14,174.928,120.35,234.333,170.192,117.942,103.351,152.325,124.08,203.933,31.181,138.646,111.423,163.762,169.489,119.639,4.232, 
Tiquicheo,245.522,81.967,114.73,107.084,130.334,114.133,55.699,130.188,117.771,97.442,137.318,0,103.496,84.631,89.893,278.4,143.548,91.298,72.894,125.681,97.436,248,138.584,112.002,146.531,59.973,213.556,92.996,141.448, 
Tanganhuato,155.699,74.789,24.907,25.836,90.826,32.885,47.712,40.365,27.948,90.264,130.14,103.496,0,78.359,41.902,177.854,43.002,24.077,38.445,25.135,27.511,147.454,131.256,11.456,45.986,69.991,113.01,21.938,134.12, 
Zirndaro de los Chvez,209.441,119.577,78.649,61.234,127.769,68.283,41.009,94.107,71.877,135.052,174.928,84.631,78.359,0,81.879,241.684,106.832,57.665,72.033,84.488,50.986,211.284,164.844,75.286,109.815,24.773,176.84,57.319,167.708, 
Tlalchapa,135.525,64.999,42.192,40.935,48.374,47.984,62.811,26.243,45.233,49.223,120.35,89.893,41.902,81.879,0,167.928,39.09,27.742,17.08,42.993,31.176,137.527,107.535,29.392,36.059,73.656,103.084,25.604,110.399, 
Cocula,98.251,193.615,170.151,185.569,161.431,177.216,222.616,148.109,173.192,177.332,234.333,278.4,177.854,241.684,167.928,0,161.361,187.562,201.93,176.164,190.996,55.377,224.221,167.049,135.797,233.476,68.193,185.423,227.085, 
