LOCALIDADES,Ejido Sinaloa (Estacin Kasey),Vias del Sol,Ejido Hechicera,Francisco Zarco (Valle de Guadalupe),Rancho Verde,Michoacn de Ocampo,Los Valles,Poblado Paredones,Lomas del Valle,Real del Castillo Nuevo (Ojos Negros),Parajes del Valle,Nuevo Len,Benito Jurez (Ejido Tecolotes),Cereso del Hongo,Nueva Colonia Hind,Primo Tapia,Ejido Hermosillo,Delta (Estacin Delta),Vicente Guerrero (Algodones),Ingeniero Luis B. Snchez,Ciudad Coahuila (Kilmetro Cincuenta y Siete),Quinta del Cedro,Ampliacin Ejido Plan Libertador,Colonia Venustiano Carranza (La Carranza),Benito Garca (El Zorrillo),Lomas de Santa Anita,Maclovio Rojas,Ciudad Morelos (Cuervos),San Luis,El Sauzal de Rodrguez,El Nio,Villa del Prado,Progreso,Villa del Campo,Puebla,Las Delicias,Ciudad Guadalupe Victoria (Kilmetro Cuarenta y Tres),Villa del Prado 2da Seccin,Terrazas del Valle,Rodolfo Snchez Taboada (Maneadero),La Joya,Santa Isabel,Prticos de San Antonio,El Refugio,Tecate,Playas de Rosarito,San Luis Ro Colorado,Ensenada,Mexicali,Tijuana, 
Ejido Sinaloa (Estacin Kasey),0,31.041,12.938,222.365,261.775,22.651,198.912,34.277,173.807,309.396,166.386,23.303,26.716,115.731,157.402,228.029,35.84,30.068,58.808,59.766,60.736,201.17,203.764,46.401,286.376,151.103,173.168,41.726,200.911,252.05,172.484,202.964,38.999,165.809,9.664,196.519,41.17,205.575,182.877,277.755,199.091,33.363,198.241,186.366,150.227,222.013,54.495,263.158,25.169,187.527, 
Vias del Sol,31.041,0,42.249,196.255,235.665,36.611,172.802,63.589,147.697,190.128,140.276,52.615,56.028,89.621,131.292,201.919,65.152,59.38,88.12,86.48,87.45,175.06,177.654,69.154,260.266,124.993,147.058,71.038,174.801,225.94,146.374,176.854,6.387,139.699,23.345,170.409,70.482,179.465,156.767,251.645,172.981,2.32,172.131,160.256,124.117,195.903,83.807,237.048,10.874,161.417, 
Ejido Hechicera,12.938,42.249,0,233.899,273.309,34.185,210.446,21.81,185.341,320.93,177.92,24.975,14.249,127.265,168.936,239.563,23.373,31.74,46.341,56.416,57.386,212.704,215.298,49.702,297.91,162.637,184.702,29.259,212.445,263.584,184.018,214.498,50.533,177.343,21.198,208.053,39.008,217.109,194.411,289.289,210.625,44.897,209.775,197.9,161.761,233.547,42.028,274.692,36.703,199.061, 
Francisco Zarco (Valle de Guadalupe),222.365,196.255,233.899,0,40.992,226.677,109.08,258.474,102.894,94.167,95.473,247.5,250.913,114.271,66.3,64.525,260.037,254.265,283.005,276.546,277.516,96.911,94.15,259.22,65.594,77.27,102.255,265.923,111.079,31.268,101.571,113.132,193.66,94.896,229.405,106.688,265.367,101.184,110.069,56.973,98.533,198.808,98.075,113.558,77.462,86.939,278.692,42.376,208.409,114.719, 
Rancho Verde,261.775,235.665,273.309,40.992,0,266.058,113.388,297.855,117.739,52.202,127.991,286.881,290.294,153.652,105.682,68.834,299.418,293.646,322.386,315.927,316.897,101.219,98.458,298.601,34.958,116.652,114.607,305.304,115.387,14.716,120.682,117.44,233.041,127.414,268.786,110.996,304.748,105.492,118.434,26.337,102.841,238.189,102.383,112.724,116.843,91.247,318.073,12.661,247.79,111.343, 
Michoacn de Ocampo,22.651,36.611,34.185,226.677,266.058,0,200.969,55.184,175.864,298.238,168.443,15.056,47.623,117.788,159.459,230.086,56.747,21.422,79.715,51.12,52.09,203.227,205.821,37.755,288.433,153.16,175.225,62.633,202.968,254.107,174.541,205.021,39.707,167.866,13.429,198.576,32.524,207.632,184.934,279.812,201.148,39.013,200.298,188.423,152.284,224.07,75.402,265.215,25.876,189.584, 
Los Valles,198.912,172.802,210.446,109.08,113.388,200.969,0,229.711,26.864,145.773,36.956,218.737,222.15,85.509,55.54,31.396,231.274,225.502,254.242,247.783,248.753,35.352,12.635,230.457,117.2,49.24,23.572,237.16,4.549,82.874,29.647,4.053,164.897,36.379,200.642,3.602,236.604,6.664,27.559,108.579,10.696,170.045,17.409,21.689,47.226,25.38,249.929,93.982,179.646,19.287, 
Poblado Paredones,34.277,63.589,21.81,258.474,297.855,55.184,229.711,0,206.336,341.925,198.915,45.97,7.936,148.26,189.931,260.558,12.122,52.735,24.695,63.084,63.709,233.699,236.293,58.502,318.905,183.632,205.697,7.613,233.44,284.579,205.013,235.493,71.528,198.338,42.193,229.048,47.808,238.104,215.406,310.284,231.62,65.892,230.77,218.895,182.756,254.542,30.777,295.687,57.698,220.056, 
Lomas del Valle,173.807,147.697,185.341,102.894,117.739,175.864,26.864,206.336,0,163.998,9.546,197.626,201.039,64.398,34.429,49.621,210.163,204.391,233.131,226.672,227.642,37.874,33.138,209.346,135.425,28.129,2.263,216.049,22.503,101.099,4.026,24.556,143.786,11.235,179.531,18.111,215.493,27.167,3.094,126.804,25.346,148.934,34.945,6.175,26.114,43.605,228.818,112.207,158.535,24.231, 
Real del Castillo Nuevo (Ojos Negros),309.396,190.128,320.93,94.167,52.202,298.238,145.773,341.925,163.998,0,166.688,331.801,335.214,93.232,150.602,107.531,344.338,338.566,367.306,360.847,361.817,139.916,137.155,343.521,67.877,161.572,153.304,350.224,154.084,54.999,159.379,156.137,277.961,166.111,313.706,149.693,349.668,144.189,157.131,59.256,141.538,283.109,141.08,151.421,161.763,129.944,362.993,45.58,292.71,150.04, 
Parajes del Valle,166.386,140.276,177.92,95.473,127.991,168.443,36.956,198.915,9.546,166.688,0,189.909,193.322,56.681,26.712,60.803,202.446,196.674,225.414,218.955,219.925,49.056,44.32,201.629,155.686,20.412,14.874,208.332,33.685,121.36,6.909,35.738,136.069,1.761,171.814,29.293,207.776,38.349,17.612,147.065,36.528,141.217,46.127,17.357,18.397,54.787,221.101,132.468,150.818,35.413, 
Nuevo Len,23.303,52.615,24.975,247.5,286.881,15.056,218.737,45.97,197.626,331.801,189.909,0,38.383,132.373,174.044,244.671,47.507,7.211,70.475,36.91,37.88,217.812,220.406,23.544,303.018,167.745,189.81,53.393,217.553,268.692,189.126,219.606,54.292,182.451,28.014,213.161,18.314,222.217,199.519,294.397,215.733,53.598,214.883,203.008,166.869,238.655,66.162,279.8,40.461,204.169, 
Benito Jurez (Ejido Tecolotes),26.716,56.028,14.249,250.913,290.294,47.623,222.15,7.936,201.039,335.214,193.322,38.383,0,140.54,182.211,252.838,12.115,45.015,32.468,63.077,63.702,225.979,228.573,50.782,311.185,175.912,197.977,15.386,225.72,276.859,197.293,227.773,63.808,190.618,34.473,221.328,40.088,230.384,207.686,302.564,223.9,58.172,223.05,211.175,175.036,246.822,30.77,287.967,49.978,212.336, 
Cereso del Hongo,115.731,89.621,127.265,114.271,153.652,117.788,85.509,148.26,64.398,93.232,56.681,132.373,140.54,0,50.122,120.75,153.094,147.322,176.062,169.603,170.573,93.891,96.485,152.277,179.096,43.823,65.888,158.98,93.632,144.77,65.204,95.685,86.718,58.529,122.462,89.24,158.424,98.296,75.598,170.475,91.812,91.866,90.962,79.087,42.947,114.734,171.749,155.878,101.467,80.248, 
Nueva Colonia Hind,157.402,131.292,168.936,66.3,105.682,159.459,55.54,189.931,34.429,150.602,26.712,174.044,182.211,50.122,0,90.259,195.075,189.303,218.043,211.584,212.554,63.4,65.994,194.258,130.312,12.308,37.293,200.961,63.141,95.986,36.609,65.194,128.698,29.934,164.443,58.749,200.405,67.805,45.107,121.691,61.321,133.846,60.471,48.596,12.499,84.243,213.73,107.094,143.447,49.757, 
Primo Tapia,228.029,201.919,239.563,64.525,68.834,230.086,31.396,260.558,49.621,107.531,60.803,244.671,252.838,120.75,90.259,0,254.825,249.053,277.793,271.334,272.304,33.735,30.974,254.008,88.546,72.791,47.123,260.711,47.903,54.22,53.198,49.956,188.448,59.93,224.193,43.512,260.155,38.008,50.95,79.925,35.357,193.596,34.899,45.24,70.776,23.763,273.48,65.328,203.197,43.859, 
Ejido Hermosillo,35.84,65.152,23.373,260.037,299.418,56.747,231.274,12.122,210.163,344.338,202.446,47.507,12.115,153.094,195.075,254.825,0,61.349,37.922,54.132,54.757,242.314,244.908,51.394,327.52,192.247,214.312,18.44,242.055,293.194,213.628,244.108,80.143,206.953,50.808,237.663,40.7,246.719,224.021,318.899,240.235,74.507,239.385,227.51,191.371,263.157,21.825,304.302,66.313,228.671, 
Delta (Estacin Delta),30.068,59.38,31.74,254.265,293.646,21.422,225.502,52.735,204.391,338.566,196.674,7.211,45.015,147.322,189.303,249.053,61.349,0,77.24,30.172,31.142,224.175,226.769,16.807,309.381,174.108,196.173,60.158,223.916,275.055,195.489,225.969,60.655,188.814,34.377,219.524,11.576,228.58,205.882,300.76,222.096,59.961,221.246,209.371,173.232,245.018,72.927,286.163,46.824,210.532, 
