LOCALIDADES,Tepetzingo,Ignacio Allende,Temascaltepec de Gonzlez,San Diego la Huerta,Llano de la Y,San Jos Tejamanil,Unidad Habitacional Santa Teresa,Fraccionamiento Rinconada del Valle,Santa Mara Tlalmimilolpan,Paraje el Mirador,Santa Mara Aranzaz (Santa Mara),San Simn el Alto,Texcaltitln,San Pedro Huitzizilapan,Conjunto Habitacional Ecolgico SUTEYM,Tejalpa,San Martn Toltepec,San Antonio Bonixi,San Mateo Capulhuac,La Cinega,San Martn Coapaxtongo,Santa Mnica,San Diego Linares,Colonia Morelos (Ejido San Juan de las Huertas),San Mateo Coapexco,Fraccionamiento Real de San Pablo,Zacualpan,El Hielo,Ejido de Taborda,Villa de Almoloya de Jurez,Colonia los Cedros,Almoloya de Alquisiras,San Francisco,San Miguel Almoloyn,Barrio San Pedro (La Concepcin San Pedro),San Francisco Tepexoxuca,Tecaxic,San Miguel Tecomatln,Colonia Arroyo Vista Hermosa,Colonia Emiliano Zapata,San Lorenzo Cuauhtenco,San Diego los Padres Cuexcontitln Seccin 5 B,Santa Mara Mazatla,Zona Nmero Cuatro San Mateo Capulhuac,Temoaya,San Bartolo el Viejo,San Cristbal Texcalucan,Santa Ana Mayorazgo,San Francisco Putla,Santiago Analco,San Francisco Ayotuzco,Mina Mxico,Santa Mara Nativitas,San Juan Xochiaca,Tlachaloya Primera Seccin,Zacango,Sultepec de Pedro Ascencio de Alquisiras,San Francisco Xochicuautla,San Nicols Coatepec de las Bateas,San Luis Ayucan,San Lorenzo Coacalco (San Lorenzo),Jiquipilco el Viejo,Barrio Santa Cruz,San Diego Alcal,La Joya,La Trinidad,Colonia lvaro Obregn,Santiago Oxtotitln,Santiago Tepatlaxco,Santa Mara del Monte,San Agustn Mimbres,Mayorazgo de Len (Estacin Ro Mxico),Joquicingo de Len Guzmn,Zumpahuacn,Colonia Guadalupe Victoria,Santa Mara la Asuncin,Dos Ros,San Pedro Atlapulco,Jicaltepec Cuexcontitln,Molino Abajo,Ejido de San Francisco Chimalpa,Santa Mara Tetitla,San Juan Yautepec,San Mateo Mozoquilpan,San Lucas Tunco (San Lucas),San Cayetano Morelos,San Mateo Tlalchichilpan,El Pedregal de Guadalupe Hidalgo,El Salitre,Huitzilac,San Nicols Peralta,San Nicols Tlazala,San Mateo Texcalyacac,Techuchulco de Allende,Enthavi,San Jernimo Acazulco,San Jos el Cuartel,San Miguel Balderas,San Miguel Almaya,San Miguel Mimiapan,Santa Cruz Ayotuzco,San Bartolom Coatepec,San Pedro Abajo,Santa Cruz Otzacatipan,San Bartolo Oxtotitln,Jicaltepec Autopan,Pilcaya,San Mateo Atarasquillo,San Pedro Tlanixco,San Miguel Ameyalco,San Andrs Ocotln,Zaragoza de Guadalupe,San Miguel Totoltepec,San Pedro Zictepec,Santiaguito Cuaxustenco,Ejido de la Y Seccin Siete A Revolucin,San Lorenzo Oyamel,Tlachaloya Segunda Seccin,San Marcos Yachihuacaltepec,San Antonio Buenavista,Chapultepec,El Cporo,Tres Maras,Conjunto Urbano la Loma I,Santa Mara Nativitas,San Bartolom Atlatlahuca,La Constitucin Toltepec,Santa Mara Magdalena Ocotitln,La Cabecera,Santa Ana Jilotzingo,Fraccionamiento Colinas del Sol,Santa Ana Ixtlahuatzingo (Santa Ana),Santa Mara Jajalpa,San Nicols Tolentino,Coatepec Harinas,San Pedro Arriba,Zacamulpa,Barrio de Mxico,Santa Cruz Cuauhtenco,Tonatico,Guadalupe Yancuictlalpan (Gualupita),Ejido San Lorenzo Cuauhtenco,Malinalco,Santa Cruz Atizapn,San Miguel Totocuitlapilco,San Diego de los Padres Cuexcontitln,Ex-Rancho San Dimas,San Juan Tilapa,San Gaspar Tlahuelilpan,Santa Mara Rayn,El Cerrillo Vista Hermosa,Santiaguito Tlalcilalcalli,San Pedro Cholula,San Francisco Chimalpa,Calixtlahuaca,Almoloya del Ro,Villa Guerrero,San Felipe Tlalmimilolpan,Huixquilucan de Degollado,San Mateo Mexicaltzingo,Santiago Yancuitlalpan,Santiago Tilapa,Santa Mara Zolotepec,San Bartolom Tlaltelulco,Calimaya de Daz Gonzlez,Villa Cuauhtmoc,San Pedro Tlaltizapan,Cacalomacn,Magdalena Chichicaspa,San Juan de las Huertas,San Antonio la Isla,Santiago Tianguistenco de Galeana,San Pedro Tultepec,Santa Mara Atarasquillo,Tenancingo de Degollado,Xalatlaco,Santiago Tlacotepec,San Antonio Acahualco,San Francisco Tlalcilalcalpan,Ixtapan de la Sal,San Andrs Cuexcontitln,Xonacatln,Capulhuac de Mirafuentes,San Pedro Totoltepec,Tenango de Arista,San Mateo Otzacatipan,Lerma de Villada,San Lorenzo Acopilco,San Jorge Pueblo Nuevo,Jess del Monte,San Francisco Coaxusco,Ocoyoacac,San Jernimo Chicahualco,Metepec,San Jos Guadalupe Otzacatipan,San Pablo Autopan,San Miguel Zinacantepec,San Salvador Tizatlalli,San Mateo Atenco,Naucalpan de Jurez,Cuajimalpa de Morelos,Toluca de Lerdo, 
Tepetzingo,0,75.763,121.627,37.075,78.441,95.982,44.297,77.133,76.293,93.621,14.368,17.216,84.658,77.394,76.914,66.51,68.717,81.42,79.155,5.935,9.27,32.891,66.134,64.184,24.655,67.446,82.671,95.616,77.834,71.134,59.576,74.094,17.39,80.2,71.332,20.986,65.79,12.759,62.189,70.16,47.342,66.305,110.521,79.162,80.772,74.638,94.58,75.762,35.496,66.256,81.454,76.654,73.927,17.32,78.607,33.455,92.978,72.285,44.869,104.071,48.331,86.731,63.927,81.86,64.186,5.189,75.513,22.2,103.708,73.778,78.806,80.492,20.174,14.165,68.632,52.904,82.388,53.522,64.46,78.808,96.288,75.42,78.261,76.619,46.418,70.989,69.109,61.939,3.727,68.677,67.836,53.417,33.743,30.081,85.569,65.359,6.404,38.385,47.392,78.195,96.701,93.399,83.781,62.006,105.826,65.448,57.366,63.547,24.639,64.54,40.069,38.974,66.268,17.419,30.816,79.743,82.025,84.893,63.408,58.836,42.639,75.863,73.058,65.216,51.305,23.752,64.537,48.731,70.375,77.524,72.56,8.679,30.002,66.779,57.31,86.034,80.666,75.783,62.107,41.496,42.789,66.691,20.562,48.261,44.032,64.993,37.604,54.147,46.992,34.268,60.315,67.21,60.031,99.726,65.692,38.08,15.945,50.866,78.744,42.463,95.072,44.119,73.526,51.051,35.919,76.225,47.565,60.393,101.217,64.381,36.404,40.539,56.1,64.181,5.336,44.425,56.206,65.652,67.364,37.359,62.153,70.75,50.997,63.377,28.172,61.288,56.786,84.042,49.402,90.714,49.857,61.556,52.248,48.898,64.388,63.301,59.718,49.23,53.935,90.788,84.027,55.558, 
Ignacio Allende,75.763,0,106.972,52.013,45.799,18.99,36.945,44.491,31.275,8.659,67.394,56.34,100.832,44.752,60.364,51.855,57.352,64.529,46.513,79.078,70.371,56.482,47.736,51.95,77.831,48.596,134.132,18.624,60.943,54.584,26.591,125.555,74.008,65.484,54.782,47.069,49.24,85.902,29.204,37.518,47.172,37.827,45.594,46.52,48.13,58.088,9.924,43.12,50.435,21.49,5.692,59.763,57.377,77.884,61.716,86.631,112.321,26.519,30.923,39.144,33.131,54.089,42.779,49.218,50.342,72.275,25.914,75.376,38.781,57.228,46.164,63.601,47.609,95.62,35.647,26.012,6.626,14.286,48.349,46.166,31.361,42.778,6.204,43.977,28.876,54.098,52.559,22.97,78.531,79.638,23.696,28.638,34.115,37.675,52.927,14.808,79.547,53.324,24.521,45.553,11.482,9.628,51.139,40.857,88.935,49.913,108.827,18.487,58.146,16.389,39.799,53.912,33.276,59.28,48.645,47.101,49.383,52.251,40.364,43.988,36.219,59.313,75.037,48.666,45.024,53.876,31.552,42.451,53.825,44.882,58.166,73.011,38.911,33.787,108.771,53.392,6.9,59.233,47.452,92.957,26.731,50.141,66.968,37.761,35.245,37.432,45.161,43.334,28.183,43.683,27.33,50.66,23.04,37.765,42.382,31.668,72.803,40.434,2.982,39.477,10.565,23.983,40.884,44.77,50.857,43.583,37.065,45.738,13.068,49.726,43.962,31.61,22.82,20.041,76.611,25.197,43.728,51.808,50.814,88.82,41.004,38.108,27.804,30.385,48.204,34.318,23.801,19.115,38.93,25.787,33.65,21.4,28.973,32.283,36.822,42.153,44.87,29.817,26.482,25.861,19.1,33.868, 
Temascaltepec de Gonzlez,121.627,106.972,0,79.725,82.313,112.436,81.21,88.272,92.748,118.975,106.734,114.67,30.812,93.849,73.335,51.035,69.783,97.09,95.61,118.418,109.711,120.781,80.037,53.965,117.171,81.349,76.02,112.071,93.504,69.936,81.94,41.376,113.348,77.758,70.134,103.187,64.592,125.242,82.75,86.615,72.687,80.208,135.875,95.617,89.812,65.085,119.934,92.217,89.775,91.61,106.808,76.879,70.347,117.224,94.278,125.971,42.3,97.639,97.465,129.425,74.784,95.771,77.83,90.901,54.948,111.615,91.968,114.716,129.062,64.225,95.261,96.162,105.114,134.96,83.079,77.019,107.742,104.283,78.363,87.849,121.642,91.875,103.615,93.074,81.048,86.66,67.911,87.293,117.871,132.519,93.19,90.983,98.77,95.108,94.609,90.713,118.887,92.664,95.468,94.65,113.156,118.753,92.821,75.909,121.496,79.351,78.18,88.901,97.486,89.894,76.654,80.567,77.66,98.621,87.985,82.22,95.501,102.436,68.346,57.876,79.552,66.31,165.317,64.018,69.387,93.216,83.595,67.819,69.177,93.979,71.362,112.351,93.73,79.521,57.825,95.074,106.02,66.23,54.991,132.297,91.45,60.818,125.299,87.941,72.504,78.896,82.523,66.29,78.923,83.023,80.889,66.012,85.385,116.181,67.944,90.052,112.143,65.476,104.098,75.025,120.426,94.518,89.981,67.679,76.838,87.495,87.245,58.059,126.571,52.314,81.44,90.161,80.329,89.535,115.951,94.585,65.589,54.637,58.341,128.16,76.056,87.205,92.911,80.512,87.544,75.191,79.986,109.396,66.37,116.068,68.358,86.91,71.748,71.634,78.291,77.204,59.029,73.856,78.757,116.142,109.381,69.461, 
San Diego la Huerta,37.075,52.013,79.725,0,37.895,74.863,13.782,56.014,55.174,72.502,28.446,36.381,79.972,56.275,46.399,30.995,38.202,50.905,58.036,40.13,31.422,42.492,35.619,28.669,38.883,36.931,95.184,74.497,47.319,40.619,38.457,86.607,35.06,49.685,40.817,24.898,35.275,46.954,41.07,49.041,7.373,35.79,89.402,58.043,59.653,44.123,73.461,54.643,3.254,45.137,60.335,46.139,43.412,38.935,48.092,47.683,91.461,51.166,36.666,82.952,17.816,65.612,33.412,60.741,33.671,33.326,54.394,36.428,82.589,43.263,57.687,49.977,26.825,56.672,38.661,22.389,61.269,43.122,33.945,57.689,75.169,54.301,57.142,55.5,15.903,40.474,38.594,40.82,39.583,62.612,46.717,32.298,20.481,16.819,64.45,44.24,40.599,6.143,32.738,57.076,75.582,72.28,62.662,31.491,75.311,34.933,69.879,42.428,19.198,43.421,8.445,1.816,33.242,20.332,9.697,37.802,60.906,63.774,32.893,24.72,12.124,45.348,66.993,34.701,9.737,14.927,43.418,12.542,39.86,56.405,42.045,34.063,15.441,35.103,69.823,64.915,59.547,45.268,26.592,54.009,30.651,36.176,47.01,27.142,13.517,34.478,16.485,13.648,16.477,6.933,39.196,36.695,38.912,78.607,35.177,24.818,33.855,12.887,57.625,11.948,73.953,33.719,52.407,11.238,2.885,43.077,26.446,20.719,80.098,28.866,12.328,29.362,34.981,43.062,37.663,33.786,15.707,35.137,36.849,49.872,31.638,49.631,29.878,28.163,9.256,30.773,35.667,62.923,18.887,69.595,19.342,40.437,21.733,18.383,33.873,32.786,29.203,18.715,23.42,69.669,62.908,25.043, 
Llano de la Y,78.441,45.799,82.313,37.895,0,42.839,35.763,6.502,23.151,60.877,66.211,74.146,97.389,24.251,32.039,48.413,20.31,27.487,17.936,77.895,69.188,67.384,4.302,45.762,76.648,5.162,132.949,42.474,23.901,23.102,18.858,124.372,72.825,28.442,23.3,55.466,25.738,84.719,16.397,17.018,28.948,3.463,53.737,18.777,8.514,37.765,61.836,15.965,49.252,33.512,48.71,22.721,35.538,76.701,11.08,85.448,108.878,31.394,46.102,71.327,33.325,14.473,11.74,9.602,42.002,71.092,22.371,74.193,70.964,39.085,15.074,26.559,64.59,94.437,6.3,26.775,49.644,46.185,4.313,6.55,63.544,11.372,45.517,12.24,29.639,17.056,36.005,29.194,77.348,81.156,24.851,32.884,42.511,46.072,13.311,32.614,78.364,52.141,37.369,25.053,43.559,60.655,11.523,9.447,36.673,5.877,107.644,30.803,56.963,31.796,38.617,52.729,17.698,58.097,47.462,2.131,9.767,12.635,26.78,43.693,35.037,39.384,107.219,28.37,26.8,52.693,14.987,24.227,24.537,24.382,21.124,71.828,53.206,14.989,107.588,13.776,47.922,41.09,47.813,91.774,40.087,38.329,84.775,36.578,35.439,5.046,43.978,42.64,28.946,42.5,17.808,24.107,27.286,46.583,24.446,38.689,71.62,39.74,46,38.295,62.328,43.155,20.384,26.546,49.674,8.259,35.882,45.442,55.361,46.485,42.779,38.798,24.634,31.437,75.428,43.222,43.034,43.468,40.953,87.637,7.743,17.608,34.812,20.903,47.021,19.447,24.676,51.298,20.706,57.97,34.413,28.811,29.736,33.046,15.733,9.667,41.635,30.011,27.245,58.044,51.283,14.144, 
San Jos Tejamanil,95.982,18.99,112.436,74.863,42.839,0,60.147,32.753,21.396,15.427,90.595,98.53,114.099,20.098,66.176,65.122,54.447,61.624,34.775,102.279,93.572,91.768,44.831,79.899,101.032,45.691,157.333,1.239,58.038,57.239,39.961,148.756,97.209,62.579,57.437,79.85,59.875,109.103,37.5,27.802,60.44,37.672,31.297,34.782,45.225,71.902,15.039,27.136,73.636,32.461,17.348,56.858,69.675,101.085,58.811,109.832,125.588,24.172,70.486,24.847,57.709,51.184,49.979,40.783,76.139,95.476,27.871,98.577,24.484,73.222,34.426,60.696,88.974,118.821,35.492,51.159,15.57,43.774,40.444,37.731,17.025,31.04,20.874,32.239,54.023,51.193,70.142,53.578,101.732,88.271,30.351,57.268,66.895,70.456,50.022,44.296,102.748,76.525,54.009,20.455,10.538,19.258,48.234,38.716,86.03,42.216,132.028,36.334,81.347,37.272,63.001,77.113,38.801,82.481,71.846,38.713,34.666,43.815,60.917,57.255,59.421,73.521,83.67,61.934,58.292,77.077,36.09,55.719,58.674,28.898,55.261,96.212,77.59,36.092,131.972,39.417,21.57,75.227,60.719,116.158,64.471,72.466,109.159,60.962,56.835,37.277,68.362,56.602,53.33,66.884,38.911,58.244,51.67,3.928,58.583,63.073,96.004,53.702,18.208,62.679,20.931,53.471,19.74,58.038,74.058,31.845,60.266,59.005,12.706,80.622,67.163,63.182,49.018,35.002,99.812,54.685,56.996,77.605,75.09,112.021,39.141,26.37,59.196,42.006,71.405,40.55,42.511,29.299,52.198,22.03,49.545,53.195,54.12,57.43,36.836,43.832,75.772,54.395,51.629,22.104,26.666,45.636, 
Unidad Habitacional Santa Teresa,44.297,36.945,81.21,13.782,35.763,60.147,0,38.497,37.657,54.985,35.79,37.626,80.237,38.758,41.664,31.26,33.466,58.535,40.519,47.474,38.767,40.273,41.742,28.934,46.227,42.602,102.528,56.98,54.949,35.884,20.94,93.951,42.404,59.49,36.082,28.355,30.54,54.298,23.553,31.524,14.876,32.176,71.885,40.526,42.136,39.388,55.944,37.126,18.831,27.62,42.818,53.769,38.677,46.28,55.722,55.027,91.726,33.649,18.991,65.435,8.979,48.095,28.676,43.224,28.936,40.671,36.877,43.772,65.072,38.528,40.17,57.607,34.17,64.016,29.996,7.015,43.752,25.447,42.355,40.172,57.652,36.784,39.625,37.983,3.381,48.104,33.859,18.246,46.927,54.045,29.2,14.623,15.4,18.961,46.933,26.723,47.943,21.72,15.063,39.559,58.065,54.763,45.145,26.755,82.941,30.197,77.223,24.911,26.542,25.904,5.589,14.979,15.764,27.677,17.042,41.107,43.389,46.257,28.157,23.586,2.009,40.613,58.426,29.966,16.054,22.272,25.901,13.48,35.125,38.888,52.172,41.407,22.786,28.143,77.167,47.398,42.03,40.533,26.857,61.353,12.976,31.441,48.254,9.467,6.484,29.742,6.571,18.896,3.955,12.079,21.679,31.96,21.395,61.09,30.441,11.578,41.199,15.615,40.108,4.814,56.436,16.044,34.89,15.8,11.251,37.589,8.771,25.143,62.581,29.131,10.496,11.687,10.291,25.545,45.007,16.111,20.955,30.402,32.114,57.216,26.902,32.114,12.203,24.741,16.601,26.037,18.15,45.406,14.152,52.078,11.931,22.92,11.662,12.14,29.137,28.05,24.468,8.644,8.033,52.152,45.391,20.307, 
Fraccionamiento Rinconada del Valle,77.133,44.491,88.272,56.014,6.502,32.753,38.497,0,13.419,48.117,71.493,79.428,102.754,12.389,37.404,53.778,25.675,32.852,9.541,83.177,74.47,72.666,10.838,51.127,81.93,11.773,138.231,32.509,29.266,28.467,15.849,113.318,78.107,33.807,28.665,60.748,31.103,90.001,13.388,8.757,49.25,8.152,41.111,10.382,9.353,43.13,40.074,7.57,54.534,21.885,40.405,28.086,40.903,81.983,17.691,90.73,114.243,19.727,51.384,45.167,38.607,15.312,18.279,10.441,47.367,76.374,12.639,79.475,57.175,44.45,6.679,31.924,69.872,99.719,5.271,32.057,38.627,51.467,10.925,7.39,49.716,2.977,50.799,3.845,34.921,22.421,41.37,34.476,82.63,86.438,15.119,38.166,47.793,51.354,14.15,37.896,83.646,57.423,42.651,13.757,33.595,43.85,12.362,16.106,37.512,12.489,112.926,21.102,62.245,22.04,43.899,58.011,16.19,63.379,52.744,6.787,4.325,13.474,32.145,51.882,40.319,44.749,112.501,33.735,47.102,57.975,11.978,44.529,29.902,11.219,26.489,77.11,58.488,10.722,112.87,10.074,53.204,46.455,53.178,97.056,45.369,43.694,90.057,41.86,45.645,8.791,49.26,45.412,34.228,47.782,14.799,29.472,32.568,36.619,29.811,43.971,76.902,42.512,51.282,43.577,45.446,48.437,10.419,46.848,54.956,2.473,41.164,47.815,45.396,51.85,48.061,44.08,29.916,19.77,80.71,48.504,45.806,48.833,46.318,92.919,11.146,6.492,40.094,17.894,52.303,17.94,18.399,56.58,41.008,63.252,39.695,34.093,35.018,38.328,10.133,16.206,47,35.293,32.527,63.326,56.565,34.446, 
Santa Mara Tlalmimilolpan,76.293,31.275,92.748,55.174,23.151,21.396,37.657,13.419,0,36.638,71.938,79.873,95.442,3.031,47.519,46.465,35.79,42.967,15.454,83.622,74.915,73.111,26.174,61.242,82.375,27.034,138.676,21.03,39.381,38.582,21.304,130.099,78.552,43.922,38.78,61.193,41.218,90.446,18.843,7.436,41.783,19.015,41.596,15.461,20.374,53.245,28.595,10.916,54.979,14.856,19.912,38.201,51.018,82.428,40.154,91.175,106.931,6.437,51.829,46.059,32.39,26.333,31.322,21.462,57.482,76.819,4.194,79.92,45.696,54.565,15.106,42.039,70.317,100.164,16.835,25.27,27.148,40.69,21.787,18.41,38.237,11.72,22.832,12.918,28.134,32.536,51.485,24.206,83.075,86.883,8.09,27.896,48.238,51.799,25.171,27.626,84.091,57.868,32.381,12.912,22.116,32.371,23.383,20.059,48.533,23.559,113.371,14.073,62.69,15.011,44.344,58.456,20.144,63.824,53.189,20.056,15.345,24.494,42.26,38.598,40.764,54.864,101.724,43.277,39.635,58.42,17.433,37.062,40.017,12.241,36.604,77.555,58.933,17.435,113.315,20.096,23.528,56.57,42.062,97.501,45.814,53.809,90.502,42.305,34.504,18.62,49.705,37.945,27.441,48.227,20.254,39.587,22.298,25.14,39.926,44.416,77.347,35.045,19.664,44.022,33.967,48.882,6.518,39.381,55.401,12.524,41.609,40.348,33.917,61.965,48.506,44.525,30.361,12.741,81.155,48.949,38.339,58.948,56.433,93.364,20.484,7.171,29.824,23.349,52.748,21.893,23.854,45.803,33.541,43.242,32.908,23.823,28.231,31.541,18.179,25.175,57.115,29.076,25.74,43.316,45.788,26.979, 
Paraje el Mirador,93.621,8.659,118.975,72.502,60.877,15.427,54.985,48.117,36.638,0,85.251,74.479,118.689,35.197,78.221,69.712,75.209,82.386,49.874,96.935,88.228,74.621,65.593,69.807,95.688,66.453,151.989,15.815,78.8,72.441,44.448,143.412,91.865,83.341,72.639,65.208,67.097,103.759,47.061,42.902,65.029,52.771,25.489,49.881,65.987,75.945,1.265,42.236,68.292,39.347,6.499,77.62,75.234,95.741,79.573,104.488,130.178,22.261,49.062,19.039,50.988,71.946,60.636,67.075,68.199,90.132,42.97,93.233,18.676,75.085,49.525,81.458,83.63,113.477,50.591,43.869,4.533,32.425,66.206,64.023,11.257,46.139,9.179,47.338,46.733,71.955,70.416,40.827,96.388,76.922,41.553,46.495,52.254,55.814,70.784,32.947,97.404,71.181,42.66,35.555,9.179,3.363,68.996,53.816,106.792,67.77,126.684,36.344,76.003,34.246,57.656,71.769,51.133,77.137,66.502,53.812,49.765,70.108,58.221,61.845,54.076,77.17,72.321,66.523,62.881,71.733,49.409,60.308,71.682,43.998,76.023,90.868,57.05,51.644,126.628,54.516,9.875,77.09,65.309,110.814,44.87,67.998,85.107,55.618,53.102,52.376,63.018,61.191,46.04,61.54,45.187,68.517,40.897,12.747,60.239,49.807,90.66,58.291,6.513,57.334,6.156,42.122,34.839,62.627,68.714,46.944,54.922,63.595,4.409,67.583,61.819,57.838,40.677,37.898,94.468,43.336,61.585,69.665,68.671,106.677,54.241,41.469,45.943,48.242,66.061,52.175,41.658,17.95,56.787,9.68,51.507,39.257,46.83,50.14,51.936,60.01,62.727,47.674,44.339,10.755,15.317,51.725, 
