LOCALIDADES,Mariano Matamoros,El Lucero (Arcinas),Transporte,Laguna del Rey (Qumicas del Rey),Hidalgo,Pastor Rouaix,El Huarache (El Guarache),Guanacev,Luchana,Carlos Real (San Carlos),Villa las Nieves,Len Guzmn,La Popular,Viesca,Nazas,Ceballos,El Cambio,La Concha,Hrcules,La Partida,La Loma,Hidalgo,Valle de Ignacio Allende,San Francisco del Oro,San Felipe,Rodeo,Santa Catarina de Tepehuanes,Mapim,Santa Mara del Oro,Ciudad Jurez,Nazareno,Concordia (La Rosita),Santa Brbara,Bermejillo,Tlahualilo de Zaragoza,San Antonio del Coyote,Santiago Papasquiaro,Francisco I. Madero (Chvez),Parras de la Fuente,Jos Mariano Jimnez,Santa Rosala de Camargo,San Pedro,Matamoros,Lerdo,Hidalgo del Parral,Gmez Palacio,Torren, 
Mariano Matamoros,0,320.541,327.768,279.979,351.599,326.304,343.905,265.413,358.409,346.503,51.813,350.649,334.903,419.102,285.002,218.559,355.87,349.692,349.235,355.462,360.699,376.88,53.613,49.985,350.177,228.476,259.605,245.74,150.331,352.99,360.537,365.86,51.553,269.03,332.249,364.294,311.098,347.561,505.256,100.708,165.405,378.698,365.265,340.383,29.323,334.923,350.222, 
El Lucero (Arcinas),320.541,0,41.489,173.215,19.52,33.502,48.344,357.996,31.286,56.608,243.924,64.145,29.952,109.922,165.275,123.036,36.387,36.953,474.072,43.463,74.195,67.699,277.397,328.899,26.723,225.32,352.188,49.116,242.914,63.095,64.976,42.504,330.467,26.84,31.343,34.014,419.528,24.205,177.662,220.383,289.66,55.342,57.113,50.489,306.065,40.076,49.626, 
Transporte,327.768,41.489,0,209.758,46.349,8.344,19.548,364.027,56.367,22.147,249.955,26.293,10.547,94.745,127.423,130.431,31.513,25.335,481.466,31.105,36.343,52.523,284.791,336.293,25.82,183.414,358.219,55.147,248.945,28.634,36.18,60.744,337.861,32.969,61.214,39.937,381.676,42.311,180.899,227.777,297.054,73.582,40.908,16.027,313.459,10.566,25.865, 
Laguna del Rey (Qumicas del Rey),279.979,173.215,209.758,0,164.14,202.704,209.173,533.755,161.697,212.878,419.683,228.348,196.293,239.888,329.478,137.792,187.638,188.203,164.878,194.713,238.398,213,235.582,287.084,184.346,385.469,527.947,224.875,418.673,220.728,225.805,163.652,288.652,202.599,121.774,179.495,583.731,171.1,300.319,178.568,247.845,177.999,202.414,211.123,264.25,200.71,200.838, 
Hidalgo,351.599,19.52,46.349,164.14,0,39.294,45.763,391.015,12.932,49.468,276.943,64.938,32.883,97.762,166.068,157.419,24.228,24.793,329.185,31.303,74.988,55.539,311.779,363.281,20.936,222.059,385.207,82.135,275.933,57.318,62.395,25.989,364.849,59.957,48.382,21.854,420.321,7.69,161.147,254.765,324.042,38.827,44.953,47.713,340.447,37.3,37.428, 
Pastor Rouaix,326.304,33.502,8.344,202.704,39.294,0,24.257,362.533,43.214,26.855,248.461,31.001,6.066,99.454,132.131,128.937,36.222,30.044,479.972,35.814,41.051,57.232,283.297,334.799,18.766,188.122,356.725,53.653,247.451,33.342,40.889,50.665,336.367,31.475,64.438,34.818,386.384,32.366,185.608,226.283,295.56,63.503,45.617,20.735,311.965,15.275,30.574, 
El Huarache (El Guarache),343.905,48.344,19.548,209.173,45.763,24.257,0,380.191,49.973,4.073,266.119,20.59,21.64,82.001,121.93,146.595,27.081,18.941,497.63,26.673,30.639,39.778,300.955,352.457,24.994,177.921,374.383,71.311,265.109,11.923,17,54.35,354.025,49.133,80.684,33.543,376.183,38.474,168.155,243.941,313.218,67.188,28.163,8.616,329.623,10.242,11.621, 
Guanacev,265.413,357.996,364.027,533.755,391.015,362.533,380.191,0,394.723,382.817,214.928,386.963,371.217,455.416,348.589,278.54,392.184,386.006,614.478,391.776,397.013,413.194,318.856,315.228,386.491,292.062,87.216,309.326,116.356,389.304,396.851,402.174,316.796,332.616,369.847,400.608,138.709,383.875,541.57,365.951,430.648,415.012,401.579,376.697,294.566,371.237,386.536, 
Luchana,358.409,31.286,56.367,161.697,12.932,43.214,49.973,394.723,0,55.989,302.803,74.988,41.814,87.255,176.118,183.279,30.749,31.314,326.744,37.824,85.038,52.365,337.639,389.141,29.867,232.109,411.067,107.995,301.793,63.839,68.916,12.528,390.709,85.817,60.149,18.86,430.371,13.226,147.686,280.625,349.902,25.366,41.779,57.763,366.307,47.29,43.949, 
Carlos Real (San Carlos),346.503,56.608,22.147,212.878,49.468,26.855,4.073,382.817,55.989,0,266.54,16.881,27.763,85.068,118.221,147.016,27.099,22.008,498.051,26.696,26.93,42.845,301.376,352.878,31.133,174.212,374.804,71.732,265.53,8.214,20.067,57.417,354.446,49.554,86.822,36.61,372.474,41.541,171.222,244.362,313.639,70.255,31.23,6.466,330.044,15.879,14.688, 
