LOCALIDADES,La Gloria,Vargas,Ixhuacn de los Reyes,Pacho Nuevo,Tolome,Medelln,Juchique de Ferrer,Chichiquila,Ayahualulco,Lomas de Ro Medio Cuatro,Ro Medio [Granja],Acatln,Jalcomulco,Fraccionamiento las Fuentes,Yecuatla,Mozomboa,Mesa de Guadalupe,Los Robles,La Gloria,Chiconquiaco,Palma Sola,Miahuatln,Oasis,Tlalixcoyan,Las Amapolas Dos,Fraccionamiento el Campanario,Fraccionamiento Costa Dorada,La Concepcin,Mahuixtln,Totutla,Jilotepec,Delfino Victoria (Santa Fe),Jamapa,Los Altos,Rafael Lucio,Actopan,San Antonio Tenextepec,Villa Emiliano Zapata (El Carrizal),La Estanzuela,Tlaltetela,Cosautln de Carvajal,Ignacio de la Llave,Los Torrentes,Alto Lucero,Las Bajadas,Boca del Monte,Rafael J. Garca,Pacho Viejo,El Castillo,Paso del Toro,Ursulo Galvn,Manlio Fabio Altamirano,Emilio Carranza,Antn Lizardo,Fraccionamiento Arboledas San Ramn,Guadalupe Victoria,Cabezas,Colinas de Santa Fe,Lomas Verdes,Coacoatzintla,San Marcos de Len (San Marcos),Paso de Ovejas,Tuzamapan,Vega de Alatorre,Rinconada,Jacarandas,Colonia Santa Brbara,Piedras Negras,Naolinco de Victoria,Zempoala,Las Vigas de Ramrez,Boca del Ro,Teocelo,El Tejar,Soledad de Doblado,Fraccionamiento Geovillas los Pinos,Fraccionamiento Puente Moreno,Las Amapolas,Xico,Jos Cardel,Banderilla,Valente Daz,Misantla,Huatusco de Chicuellar,Coatepec,Veracruz,Xalapa-Enrquez,Veracruz, 
La Gloria,0,161.579,25.872,83.278,144.121,187.293,143.121,55.189,21.398,167.93,165.552,93.895,110.36,82.401,129.287,144.188,109.225,196.427,146.722,100.957,188.936,93.151,165.726,217.801,176.834,165.122,165.956,74.87,90.043,76.039,67.944,164.195,185.255,11.425,63.608,112.165,12.63,113.79,84.711,88.75,42.141,239.271,166.351,112.214,177.414,93.393,25.894,88.859,77.496,190.284,145.646,171.231,221.407,205.205,186.497,73.628,138.917,161.58,81.09,74.682,45.157,138.359,93.456,155.338,116.893,80.707,79.355,230.476,85.546,149.675,42.46,188.614,48.896,184.496,182.895,164.813,186.143,175.076,41.126,139.779,65.533,171.385,136.872,76.505,85.041,183.341,72.38,175.559, 
Vargas,161.579,0,130.463,86.287,17.758,31.229,115.315,106.722,173.538,20.315,17.937,129.301,74.67,87.779,137.957,45.309,84.98,40.363,28.863,136.363,71.077,128.557,19.953,61.737,20.769,17.507,18.341,110.276,98.416,86.49,103.35,5.845,29.191,161.049,104.852,71.594,151.331,57.873,87.3,110.199,126.59,83.207,18.736,99.319,21.349,91.023,135.987,91.868,91.52,34.22,26.03,22.104,103.548,49.14,30.432,94.385,21.795,13.965,86.467,110.088,104.657,23.368,96.045,111.893,44.937,83.296,84.733,74.412,120.952,31.816,125.76,32.549,111.943,28.432,33.768,17.198,30.078,19.011,108.55,19.27,100.939,15.32,144.142,96.682,98.249,27.276,88.26,25.442, 
Ixhuacn de los Reyes,25.872,130.463,0,42.923,112.594,155.766,157.84,45.221,4.836,136.403,134.025,108.614,59.841,44.615,144.006,112.661,79.233,164.9,115.195,115.676,157.409,107.87,134.199,186.274,145.307,133.595,134.429,89.589,37.069,66.071,82.663,132.668,153.728,20.341,78.327,82.173,27.349,82.263,43.111,70.312,16.811,207.744,134.824,80.499,145.887,83.425,27.99,36.944,47.504,158.757,114.119,139.704,189.88,173.678,154.97,47.083,107.39,130.053,44.402,89.401,26.132,106.832,42.937,198.225,85.366,48.633,45.409,192.022,100.265,118.148,57.179,157.087,23.887,152.969,151.368,133.286,154.616,143.549,22.102,108.252,80.252,139.858,151.591,66.537,30.967,151.814,43.203,144.032, 
Pacho Nuevo,83.278,86.287,42.923,0,68.692,111.864,98.385,71.781,50.08,92.501,90.123,49.159,28.889,9.384,84.551,68.759,44.101,120.998,71.293,56.221,113.507,48.415,90.297,142.372,101.405,89.693,90.527,30.134,14.355,62.547,23.208,88.766,109.826,82.619,24.709,43.055,72.901,38.361,4.541,39.359,42.53,163.842,90.922,47.392,101.985,79.901,73.817,6.065,14.397,114.855,70.217,95.802,145.978,129.776,111.068,17.261,63.488,86.151,8.072,29.946,20.597,62.93,11.985,154.323,41.464,6.347,4.175,155.047,40.81,74.246,45.618,113.185,27.883,109.067,107.466,89.384,110.714,99.647,24.49,64.35,19.498,95.956,92.136,75.524,17.071,107.912,11.136,100.13, 
Tolome,144.121,17.758,112.594,68.692,0,41.052,109.978,89.996,156.812,34.828,32.45,112.575,57.943,71.053,132.62,39.972,68.253,50.186,23.526,119.637,65.74,111.831,29.776,71.56,30.592,32.02,32.854,93.55,81.69,69.764,86.624,19.924,39.014,144.323,88.126,54.867,134.605,41.146,70.574,93.473,109.864,93.03,33.249,82.592,31.172,74.297,119.261,75.142,74.794,44.043,20.693,27.196,98.211,58.963,40.255,77.659,16.458,28.478,69.741,93.362,87.931,6.642,79.319,106.556,28.21,66.57,68.007,84.235,104.226,26.479,109.034,42.372,95.217,38.255,38.86,31.711,39.901,28.834,91.824,14.703,84.213,25.143,138.805,79.956,81.523,37.099,71.534,35.265, 
Medelln,187.293,31.229,155.766,111.864,41.052,0,141.387,128.218,197.375,22.906,33.122,153.138,98.507,111.616,164.029,71.381,108.817,13.287,54.935,160.2,97.149,152.394,23.924,34.661,21.63,24.126,26.146,134.113,122.253,107.986,127.187,22.447,10.137,184.886,128.689,95.431,175.168,81.71,111.137,131.695,150.427,56.131,33.921,123.156,15.59,82.365,157.483,115.705,115.357,7.144,52.102,23.336,129.62,31.063,4.422,118.222,47.867,29.15,110.304,133.925,128.494,44.864,119.882,137.965,68.774,107.133,108.57,47.336,144.789,57.888,149.597,16.859,135.78,2.429,35.794,25.118,6.327,17.757,132.387,46.484,124.776,19.501,170.214,118.178,122.086,12.535,112.097,17.961, 
Juchique de Ferrer,143.121,115.315,157.84,98.385,109.978,141.387,0,188.863,156.432,123.704,121.326,49.725,101.084,92.45,15.371,93.692,77.901,152.201,90.706,42.007,44.239,50.753,121.5,173.575,132.608,120.896,121.73,68.985,102.976,168.631,76.178,119.969,141.029,143.943,81.4,64.515,134.225,84.287,100.77,126.926,124.779,195.045,122.125,49.893,133.188,173.164,171.802,98.975,80.563,146.058,91.781,136.966,29.347,160.979,142.271,89.686,95.282,117.354,97.148,69.673,102.846,121.831,109.515,31.051,115.66,96.766,95.413,186.25,55.876,90.797,95.905,144.388,110.132,140.27,148.631,120.587,141.917,130.85,106.739,95.664,80.497,127.159,30.128,178.823,97.974,139.115,88.438,131.333, 
Chichiquila,55.189,106.722,45.221,71.781,89.996,128.218,188.863,0,49.514,121.711,119.333,120.271,58.26,80.192,209.597,116.949,128.818,139.797,100.503,127.333,142.717,119.527,119.507,161.171,120.203,118.903,119.737,101.246,70.738,20.88,94.32,109.536,128.625,66.041,95.821,115.432,67.534,101.711,68.542,33.591,43.92,183.314,120.132,143.157,120.783,38.234,29.295,72.782,85.508,133.654,99.427,97.078,175.188,148.574,129.866,87.197,92.698,115.361,78.881,101.058,76.98,83.935,60.124,183.533,88.775,74.064,76.121,159.712,111.922,103.456,97.364,131.983,55.556,127.866,85.486,118.594,129.512,118.445,66.781,93.56,90.61,114.754,215.782,21.346,73.454,126.71,82.248,124.876, 
Ayahualulco,21.398,173.538,4.836,50.08,156.812,197.375,156.432,49.514,0,178.174,175.796,104.139,63.518,48.292,139.531,154.432,82.91,206.671,156.966,111.201,199.18,103.395,175.97,228.045,187.078,175.366,176.2,85.114,40.746,70.364,78.188,174.439,195.499,15.866,73.852,85.85,22.874,124.034,46.788,73.989,21.104,249.515,176.595,84.176,187.658,87.718,33.74,40.621,51.181,200.528,155.89,181.475,231.651,215.449,196.741,50.76,149.161,171.824,48.079,84.926,29.809,148.603,46.614,165.582,127.137,52.31,49.086,196.315,95.79,159.919,52.704,198.858,27.859,194.74,193.139,175.057,196.387,185.32,25.779,150.023,75.777,181.629,147.116,70.83,34.644,193.585,46.88,185.803, 
Lomas de Ro Medio Cuatro,167.93,20.315,136.403,92.501,34.828,22.906,123.704,121.711,178.174,0,2.377,136.597,81.966,95.075,147.488,54.84,92.276,35.159,38.394,143.659,80.608,135.853,5.212,56.533,9.71,4.113,3.033,117.572,105.712,105.204,110.646,16.189,23.988,168.345,112.148,78.89,158.627,65.169,94.596,128.913,133.886,78.003,2.466,106.615,10.29,80.293,154.701,99.164,98.816,29.016,35.561,22.058,113.079,38.08,19.372,101.681,31.326,9.609,93.763,117.384,111.953,42.3,103.341,121.424,52.233,90.592,92.029,69.208,128.248,41.347,133.056,21.489,119.239,21.268,33.723,5.155,19.018,7.952,115.846,29.943,108.235,4.692,153.673,115.396,105.545,16.216,95.556,9.768, 
