LOCALIDADES,San Marcos,Estancia de nimas,Pedregoso,Hernndez,Chupaderos,San Jos el Saladillo (El Saladillo),Cieneguitas,Escaleras,San Jernimo,Sauceda de la Borda,El Saucito (El Horno),Malpaso,La Zacatecana,San Antonio del Ciprs,San Antonio,Cinega Grande,Hacienda Nueva,Estacin San Jos,Miguel Hidalgo (Hidalgo),Huejcar,Salitral de Carrera,Chaparrosa,Zquite,Lzaro Crdenas (Rancho Grande),General Enrique Estrada,Ro Florido,Ramn Lpez Velarde (Toribio),Tepezal,Asientos,General Pnfilo Natera,Villa Hidalgo,El Barril,Huejuquilla el Alto,Coso,Plateros,Gonzlez Ortega (Ban),Pozo de Gamboa,San Jos de Lourdes,Pinos,Villa de Cos,Dulce Grande,Caitas de Felipe Pescador,Villa Gonzlez Ortega,El Zacatn,Luis Moya,Villa Garca,Morelos,San Pedro Piedra Gorda,Tacoaleche,Villanueva,Valparaso,Trancoso,Salinas de Hidalgo,Ojocaliente,Loreto,Rincn de Romos,Vctor Rosales,Jerez de Garca Salinas,Fresnillo,Guadalupe,Zacatecas, 
San Marcos,0,35.378,23.936,106.828,167.188,63.186,97.81,67.928,92.639,105.844,68.596,135.862,100.47,115.311,43.077,13.725,118.144,164.729,148.803,200.281,87.62,134.696,91.892,194.732,135.055,183.338,147.068,35.37,22.997,58.65,31.155,142.4,300.977,51.695,164.527,160.62,126.941,182.523,47.284,172.882,128.891,230.86,31.488,76.234,41.874,19.171,115.335,59.375,96.571,166.482,255.751,82.561,56.597,57.767,4.657,67.289,127.183,159.429,161.936,99.567,106.707, 
Estancia de nimas,35.378,0,54.265,75.243,140.071,31.601,73.537,69.465,61.432,78.727,37.012,108.745,73.353,88.194,59.261,41.345,91.027,137.612,121.686,173.164,56.035,107.579,64.775,167.615,107.938,156.221,119.951,51.787,38.478,27.066,39.022,84.727,273.86,53.232,137.41,133.503,99.824,155.406,55.997,145.765,81.382,203.743,9.331,44.649,43.411,58.211,88.218,60.912,69.454,139.365,228.634,55.444,40.75,30.65,31.669,68.826,100.066,132.312,134.819,72.45,79.59, 
Pedregoso,23.936,54.265,0,136,190.098,92.358,120.72,90.838,115.549,128.754,87.733,158.772,123.38,138.221,65.987,36.635,141.054,187.639,171.713,223.191,116.792,157.606,114.802,217.642,157.965,206.248,169.978,58.28,45.907,77.787,16.865,145.484,323.887,74.605,187.437,183.53,149.851,205.433,25.441,195.792,151.801,253.77,50.624,105.406,64.784,33.99,138.245,82.285,119.481,189.392,278.661,105.471,64.479,80.677,27.567,90.199,150.093,182.339,184.846,122.477,129.617, 
Hernndez,106.828,75.243,136,0,39.702,44.157,69.06,124.553,76.422,59.058,44.485,104.268,68.876,65.162,113.952,115.949,86.55,94.788,92.672,168.687,20.772,28.325,52.672,163.138,103.461,151.744,93.961,119.084,113.082,53.846,116.56,14.53,241.748,108.32,132.933,59.457,81.107,150.929,137.105,59.603,15.392,119.65,76.488,30.594,89.308,125.501,83.741,98.417,48.455,134.888,196.522,62.484,81.409,73.604,106.273,123.914,95.589,127.835,130.342,67.972,75.113, 
Chupaderos,167.188,140.071,190.098,39.702,0,123.407,83.485,140.975,90.847,76.483,120.92,89.548,83.301,49.356,147.532,179.526,60.596,55.295,53.179,153.967,55.237,11.897,85.707,96.603,72.011,85.209,54.468,152.664,166.42,116.717,175.066,26.246,202.255,124.742,66.398,19.964,41.614,84.394,213.944,20.11,28.885,80.157,145.122,65.059,127.064,196.392,53.176,114.839,50.784,120.168,157.029,86.888,158.249,111.359,169.85,140.336,64.139,113.115,66.026,77.746,69.546, 
San Jos el Saladillo (El Saladillo),63.186,31.601,92.358,44.157,123.407,0,55.251,72.224,62.613,60.441,16.266,90.46,55.067,69.909,70.311,72.308,72.742,119.326,103.4,154.879,24.95,67.438,46.49,149.329,89.652,137.935,101.665,75.443,69.441,10.205,72.919,53.642,255.574,55.991,119.124,115.217,81.538,137.12,93.464,127.479,50.297,185.457,32.847,13.564,45.667,81.86,69.932,51.327,51.169,121.08,210.348,37.159,37.768,29.963,62.632,71.585,81.78,114.027,116.533,54.164,61.305, 
Cieneguitas,97.81,73.537,120.72,69.06,83.485,55.251,0,67.713,8.549,14.653,52.384,44.671,3.59,40.59,74.27,106.264,26.953,78.814,62.888,109.09,59.568,59.975,17.171,108.817,49.14,97.423,61.153,79.402,93.158,48.181,106.53,67.679,215.062,51.48,78.612,74.705,41.026,96.608,145.408,86.967,54.17,144.945,76.586,67.919,58.77,123.13,29.42,41.576,21.85,75.291,169.836,18.352,89.713,42.823,96.588,67.074,41.268,68.238,76.021,7.074,15.516, 
Escaleras,67.928,69.465,90.838,124.553,140.975,72.224,67.713,0,61.787,79.063,72.32,109.081,70.577,95.797,16.926,42.226,91.363,137.612,121.686,173.5,97.015,115.182,72.378,167.615,107.938,156.221,119.951,19.635,33.391,62.284,94.217,122.886,273.86,18.008,137.41,133.503,99.824,155.406,110.346,145.765,109.377,203.743,73.335,85.629,26.747,59.826,88.218,28.523,77.057,139.701,228.634,67.434,107.422,42.64,59.293,4.491,100.066,132.648,134.819,72.786,79.926, 
San Jernimo,92.639,61.432,115.549,76.422,90.847,62.613,8.549,61.787,0,22.125,59.856,52.143,11.277,48.062,68.207,100.201,34.425,86.286,70.36,116.562,67.04,67.447,24.643,116.289,56.612,104.895,68.625,73.339,87.095,55.653,114.002,75.151,222.534,45.417,86.084,82.177,48.498,104.08,152.88,94.439,61.642,152.417,84.058,75.391,52.707,117.067,36.892,35.513,29.322,82.763,177.308,25.824,97.185,50.295,90.525,61.011,48.74,75.71,83.493,14.546,22.988, 
Sauceda de la Borda,105.844,78.727,128.754,59.058,76.483,60.441,14.653,79.063,22.125,0,58.11,47.837,14.488,23.146,85.065,117.059,20.552,66.917,50.991,112.256,48.742,81.063,22.897,96.92,37.243,85.526,49.256,90.197,103.953,53.907,112.256,57.278,203.165,62.275,66.715,62.808,29.129,84.711,151.134,75.07,43.769,133.048,82.312,73.645,64.253,133.925,17.523,52.372,10.612,78.457,157.939,24.078,95.439,48.549,107.383,77.869,29.371,71.404,64.124,10.597,18.682, 
El Saucito (El Horno),68.596,37.012,87.733,44.485,120.92,16.266,52.384,72.32,59.856,58.11,0,87.976,52.583,67.425,69.222,77.486,70.258,116.842,100.916,152.395,25.328,67.816,44.006,146.845,87.168,135.451,99.181,74.354,74.619,9.619,67.968,54.02,253.09,54.902,116.64,112.733,79.054,134.636,106.845,124.995,50.675,182.973,38.024,13.942,44.578,87.037,67.448,50.238,48.685,118.596,207.864,34.675,51.15,28.874,67.81,70.496,79.296,111.543,114.049,51.68,58.821, 
Malpaso,135.862,108.745,158.772,104.268,89.548,90.46,44.671,109.081,52.143,47.837,87.976,0,50.005,60.386,120.578,152.572,39.028,90.89,74.964,66.882,100.806,105.036,58.409,120.893,61.215,109.499,73.229,125.71,139.466,89.419,147.768,119.386,160.696,97.788,90.688,86.781,53.102,108.684,186.646,99.043,95.408,157.021,117.824,109.157,99.766,169.438,41.495,87.885,63.088,39.457,115.47,59.59,130.951,84.062,142.896,113.382,53.343,26.03,88.096,44.451,36.251, 
La Zacatecana,100.47,73.353,123.38,68.876,83.301,55.067,3.59,70.577,11.277,14.488,52.583,50.005,0,40.52,79.232,111.226,26.883,78.744,62.818,109.02,59.498,59.905,17.101,108.747,49.07,97.353,61.083,84.364,98.12,48.111,106.46,67.609,214.992,56.442,78.542,74.635,40.956,96.538,145.338,86.897,54.1,144.875,76.516,67.849,58.458,128.092,29.35,46.538,21.78,75.221,169.766,18.282,89.643,42.753,101.55,72.036,41.198,68.168,75.951,7.004,15.446, 
San Antonio del Ciprs,115.311,88.194,138.221,65.162,49.356,69.909,40.59,95.797,48.062,23.146,67.425,60.386,40.52,0,98.471,122.371,27.603,68.692,52.766,120.974,54.902,39.156,23.839,98.695,39.018,87.301,31.695,103.603,117.359,63.48,121.829,53.779,204.94,79.487,68.49,36.76,9.018,86.486,160.707,49.023,49.929,109.07,91.885,83.218,73.827,139.237,20.183,69.584,19.622,87.175,159.714,33.651,105.012,58.122,112.695,95.081,31.146,80.122,65.898,31.111,36.553, 
San Antonio,43.077,59.261,65.987,113.952,147.532,70.311,74.27,16.926,68.207,85.065,69.222,120.578,79.232,98.471,0,31.06,96.707,142.956,127.03,178.844,95.012,117.567,74.763,172.959,113.282,161.565,125.295,8.469,22.224,60.281,74.861,125.271,279.204,23.352,142.754,138.847,105.168,160.75,90.99,151.109,111.762,209.087,66.766,83.626,24.745,48.659,93.562,33.867,79.442,145.045,233.978,65.432,105.419,40.638,52.724,8.302,105.41,137.992,140.163,78.13,85.27, 
Cinega Grande,13.725,41.345,36.635,115.949,179.526,72.308,106.264,42.226,100.201,117.059,77.486,152.572,111.226,122.371,31.06,0,129.75,176.335,160.409,211.887,123.747,146.302,103.498,206.338,146.661,194.944,158.674,28.479,16.105,89.016,50.547,154.006,312.583,63.301,176.133,172.226,138.547,194.129,66.676,184.488,140.497,242.466,49.833,112.361,53.48,17.086,126.941,70.981,108.177,178.088,267.357,94.167,74.942,69.373,15.515,48.777,138.789,171.035,173.542,111.173,118.313, 
Hacienda Nueva,118.144,91.027,141.054,86.55,60.596,72.742,26.953,91.363,34.425,20.552,70.258,39.028,26.883,27.603,96.707,129.75,0,55.395,39.47,98.054,78.188,69.542,35.792,85.398,25.721,74.004,37.735,103.682,117.438,66.801,125.15,83.892,191.643,75.76,55.193,51.287,17.608,73.189,164.028,63.549,72.791,121.526,95.206,86.539,77.148,147.41,6.001,65.857,40.471,64.255,146.417,36.973,108.333,61.444,120.868,91.354,17.849,57.202,52.602,21.833,13.633, 
Estacin San Jos,164.729,137.612,187.639,94.788,55.295,119.326,78.814,137.612,86.286,66.917,116.842,90.89,78.744,68.692,142.956,176.335,55.395,0,21.541,114.239,123.797,67.009,81.4,41.562,27.14,30.168,24.205,148.357,162.113,112.41,170.759,81.359,147.214,120.435,11.357,35.839,61.111,29.353,209.637,51.579,83.998,77.69,140.815,132.148,122.757,192.085,50.063,110.532,86.079,112.585,101.988,82.581,153.942,107.052,165.543,136.029,36.105,74.409,10.985,70.163,61.963, 
Miguel Hidalgo (Hidalgo),148.803,121.686,171.713,92.672,53.179,103.4,62.888,121.686,70.36,50.991,100.916,74.964,62.818,52.766,127.03,160.409,39.47,21.541,0,130.345,116.084,64.891,73.687,57.075,19.426,45.681,4.415,140.644,154.4,104.697,163.046,79.241,163.32,112.722,26.87,33.722,26.879,44.866,201.924,58.898,81.88,93.203,133.102,124.435,115.044,184.372,42.35,102.819,78.366,104.872,118.094,74.868,146.229,99.339,157.83,128.316,23.216,90.515,24.278,62.45,54.25, 
Huejcar,200.281,173.164,223.191,168.687,153.967,154.879,109.09,173.5,116.562,112.256,152.395,66.882,109.02,120.974,178.844,211.887,98.054,114.239,130.345,0,161.025,165.255,118.628,140.341,101.47,128.947,111.441,185.929,199.685,149.638,207.987,179.605,121.5,158.007,115.52,147,113.321,128.132,246.865,159.262,155.627,176.469,178.043,169.376,159.985,229.657,101.714,148.104,123.307,57.028,99.772,119.809,191.17,144.281,203.115,173.601,113.562,42.182,109.975,104.67,96.47, 
Salitral de Carrera,87.62,56.035,116.792,20.772,55.237,24.95,59.568,97.015,67.04,48.742,25.328,100.806,59.498,54.902,95.012,123.747,78.188,123.797,116.084,161.025,0,43.902,42.576,173.795,114.118,162.401,126.131,99.909,93.907,34.671,97.385,30.106,280.04,80.457,143.59,75.034,63.652,161.586,117.93,75.18,26.761,135.227,57.313,11.419,70.133,106.326,94.398,75.793,38.359,145.546,234.814,40.262,62.234,54.429,87.098,96.051,106.246,138.493,140.999,78.63,85.771, 
Chaparrosa,134.696,107.579,157.606,28.325,11.897,67.438,59.975,115.182,67.447,81.063,67.816,105.036,59.905,39.156,117.567,146.302,69.542,67.009,64.891,165.255,43.902,0,43.224,108.29,83.698,96.896,66.155,122.988,136.744,82.865,139.648,14.869,213.942,98.872,78.085,31.651,53.301,96.081,160.193,31.797,17.508,91.844,111.27,53.682,93.212,158.622,64.863,88.969,39.007,131.855,168.716,53.036,104.497,77.507,132.08,114.466,75.826,124.802,77.713,89.433,81.233, 
