LOCALIDADES,Churintzio,Fraccionamiento Ex-Hacienda el Refugio,Santa Rita,Zopoco,Fraccionamiento San Miguel,San Miguel de la Paz,Betania,Santa Cruz el Grande,Portezuelo,Chaparaco,Cocucho,Cumuatillo,Tanaco,El Platanal (La Planta),Laguna Larga de Corts,Pamatcuaro,La Sauceda,Villamar,Tlazazalca,La Luz,Atecucario de la Constitucin (Atecuario),Paso de Hidalgo (Paso de lamos),Penjamillo de Degollado,Ocumicho,Patamban (Patambam),Emiliano Zapata,Huncito,Nurio,Fraccionamiento Vistas del Maguey,La Palma (La Palma de Jess),Ichn,Charapan,Valle de Jurez,La Cantera,Santa Mara del Valle,La Rinconada,Briseas de Matamoros,Ixtln de los Hervores,Ecuandureo,Numarn,San Jos de Gracia,San Francisco de Ass,Cuitzeo (La Estancia),Angahuan,Chavinda,Carapan,Cojumatln de Rgules,Santa Clara de Valladares,Tingindn,Chilchota,La Ribera,Mazamitla,Jess Mara,Ario de Rayn (Ario Santa Mnica),Tarecuato,San Jos de Gracia,Tanhuato de Guerrero,San Ignacio Cerro Gordo,Pajacuarn,Santa Ana Pacueco,Santiago Tangamandapio,Vista Hermosa de Negrete,Degollado,Ayotln,Venustiano Carranza,Tototln,Capilla de Guadalupe,Cotija de la Paz,Purpero de Echiz,Tanganccuaro de Arista,Peribn de Ramos,Jamay,Yurcuaro,Jiquilpan de Jurez,Atotonilco el Alto,La Barca,Los Reyes de Salgado,Arandas,Jacona de Plancarte,Sahuayo de Morelos,La Piedad de Cabadas,Ocotln,Zamora de Hidalgo, 
Churintzio,0,49.534,85.473,48.652,102.779,84.461,92.39,101.187,68.819,46.921,70.86,80.848,62.858,52.133,39.964,82.478,48.574,89.354,21.047,76.345,35.511,69.43,21.675,54.511,60.72,92.728,48.383,84.519,83.251,101.715,45.33,81.365,140.863,65.712,130.126,37.303,65.241,73.42,18.449,21.152,110.139,101.298,92.973,112.207,69.981,42.739,110.427,102.529,89.331,53.343,40.755,150.654,92.748,47.861,72.9,139.132,42.053,123.667,86.434,35.297,65.396,75.446,48.322,75.047,87.412,99.316,133.805,112.16,32.527,42.271,118.278,79.095,39.897,104.766,85.887,62.837,107.947,122.887,48.805,97.043,35.364,92.027,42.768, 
Fraccionamiento Ex-Hacienda el Refugio,49.534,0,99.481,26.431,73.458,91.022,127.24,108.185,82.827,4.017,39.929,82.425,51.35,4.337,76.125,51.547,28.652,50.8,27.748,51.461,18.552,63.239,85.066,23.58,29.789,54.174,28.392,49.097,97.259,89.898,33.986,50.434,105.961,24.439,144.134,17.38,65.88,53.497,36.177,73.902,124.147,115.306,99.971,62.798,31.427,32.648,93.182,61.256,48.058,22.976,78.691,115.753,127.598,14.599,31.627,104.231,69.974,137.675,56.551,66.156,26.842,55.523,83.172,109.897,66.446,113.324,147.813,73.606,43.342,10.971,77.005,85.657,77.453,68.657,99.895,65.734,66.674,136.895,12.68,75.231,65.082,96.708,8, 
Santa Rita,85.473,99.481,0,131.845,68.202,39.525,31.965,67.046,17.274,93.39,133.75,46.271,146.051,98.602,67.256,145.33,71.867,69.483,104.24,59.972,90.678,34.853,118.267,117.401,123.61,83.675,131.576,142.918,25.473,67.138,128.523,144.255,106.286,99.208,72.348,82.36,30.664,60.294,73.616,68.137,52.361,43.52,58.832,156.619,79.812,125.932,75.85,136.033,122.834,116.798,18.937,116.077,32.324,83.119,108.699,104.555,28.495,65.889,60.462,57.662,88.341,41.579,35.74,14.622,52.835,53.747,76.027,110.533,115.72,104.793,151.781,44.518,20.637,70.189,28.109,27.517,141.45,47.15,95.274,62.466,54.166,55.569,89.237, 
Zopoco,48.652,26.431,131.845,0,98.902,115.063,140.913,132.226,114.519,28.058,42.899,106.466,24.919,25.927,88.487,54.517,52.693,76.244,27.814,80.463,42.593,87.28,44.666,26.55,32.759,79.618,1.961,46.581,128.951,115.342,7.555,60.488,131.405,49.882,175.826,41.421,89.921,77.538,60.218,69.674,155.839,146.998,124.012,74.269,56.871,6.217,118.626,75.216,62.017,4.691,102.732,141.197,141.271,38.64,57.07,129.675,94.015,169.367,81.995,83.82,52.285,79.564,96.845,123.57,113.03,145.016,179.505,99.05,16.911,17.206,89.242,109.698,101.494,94.101,131.587,89.775,80.633,168.587,38.123,100.675,83.887,120.749,32.041, 
Fraccionamiento San Miguel,102.779,73.458,68.202,98.902,0,59.115,102.767,76.278,56.853,68.043,108.068,23.007,119.489,68.346,112.75,82.38,77.942,24.396,95.887,38.586,77.539,43.741,131.357,91.719,73.948,20.725,96.531,117.236,71.285,22.862,102.125,95.089,43.336,57.475,118.16,72.095,39.552,66.369,86.706,121.922,98.173,89.332,68.064,107.774,48.719,100.787,26.146,73.083,59.884,91.115,75.228,53.127,108.396,67.192,45.749,41.605,66.511,111.701,26.935,114.556,46.609,50.467,102.655,90.42,17.794,87.964,121.839,47.583,111.481,79.11,88.831,53.75,73.99,7.239,73.921,42.345,78.5,110.921,59.049,8.195,113.482,64.801,65.914, 
San Miguel de la Paz,84.461,91.022,39.525,115.063,59.115,0,68.505,35.946,22.591,91.308,131.668,42.432,149.17,96.52,103.889,141.492,69.785,65.645,107.359,57.89,88.445,35.584,121.386,115.319,121.528,79.837,120.132,140.836,37.023,37.142,131.642,142.173,102.448,116.587,83.898,80.278,31.395,58.212,76.735,111.952,63.911,55.07,27.732,154.537,77.73,129.051,72.012,132.195,118.996,114.716,56.092,112.239,74.134,81.037,104.861,100.717,57.65,77.439,56.623,104.585,105.721,42.31,74.889,56.158,48.997,31.187,82.972,106.695,118.839,102.711,147.943,13.418,65.128,66.351,39.659,29.781,137.612,76.659,93.192,58.628,103.511,24.469,87.155, 
Betania,92.39,127.24,31.965,140.913,102.767,68.505,0,87.131,34.522,108.897,149.257,66.356,161.558,114.109,95.247,165.415,87.374,89.568,119.747,75.479,106.185,54.938,133.774,132.908,139.117,103.76,147.083,158.425,21.193,87.223,144.03,159.762,126.371,114.715,44.651,97.867,50.749,75.801,89.123,96.127,45.321,36.48,78.917,172.126,95.319,141.439,95.935,156.118,142.919,132.305,63.616,136.162,35.435,98.626,128.784,124.64,70.038,34.896,80.547,85.652,103.848,61.492,63.731,36.645,72.92,46.795,45.034,130.618,131.227,120.3,171.866,64.603,65.316,90.274,16.397,48.345,161.535,16.173,110.781,82.551,82.156,75.654,104.744, 
Santa Cruz el Grande,101.187,108.185,67.046,132.226,76.278,35.946,87.131,0,54.702,102.141,142.501,53.265,161.088,107.353,115.808,152.325,80.618,76.478,119.277,68.723,99.278,46.417,133.305,126.152,132.361,90.67,146.613,151.669,69.134,48.475,143.56,153.006,113.281,127.42,116.009,91.111,42.228,69.045,88.654,123.87,75.169,87.181,11.192,165.37,88.563,140.969,82.845,143.028,129.829,125.549,74.594,123.072,106.245,91.87,115.694,111.55,69.569,86.677,67.456,116.504,116.554,53.143,105.713,88.269,59.83,36.465,121.668,117.528,130.757,113.544,158.776,23.133,77.047,77.184,60.609,40.613,148.445,108.77,104.025,69.461,115.43,12.454,97.988, 
Portezuelo,68.819,82.827,17.274,114.519,56.853,22.591,34.522,54.702,0,76.344,116.704,33.803,129.005,81.556,83.724,132.862,54.821,57.015,87.194,42.926,73.632,22.385,101.221,100.355,106.564,71.207,114.53,125.872,16.336,54.67,111.477,127.209,93.818,82.162,63.211,65.314,18.196,43.248,56.57,91.787,43.224,34.383,46.364,139.573,62.766,108.886,63.382,123.565,110.366,99.752,33.842,103.609,51.884,66.073,96.231,92.087,37.485,56.752,47.994,84.42,71.295,28.939,52.639,33.908,40.367,44.61,66.89,98.065,98.674,87.747,139.313,32.05,35.542,57.721,18.972,15.792,128.982,55.972,78.228,49.998,83.346,43.101,72.191, 
Chaparaco,46.921,4.017,93.39,28.058,68.043,91.308,108.897,102.141,76.344,0,40.42,80.279,51.842,5.272,73.979,52.038,26.506,52.433,28.24,54.276,16.407,61.093,82.92,24.071,30.28,55.807,28.884,49.588,95.113,91.531,34.477,50.925,107.594,26.071,141.988,15.234,63.734,51.351,34.031,71.756,122.001,113.16,97.825,63.289,33.06,33.14,94.815,62.888,49.69,23.468,76.545,117.386,125.452,11.982,33.259,105.864,67.828,135.529,58.184,64.01,28.474,53.377,81.026,107.751,86.843,111.178,145.667,75.238,43.834,11.463,78.637,83.511,75.307,70.29,97.749,63.588,68.306,134.749,14.312,76.864,62.936,94.562,5.383, 
