LOCALIDADES,San Miguel Agua Bendita,Buenavista,San Lorenzo Querndaro,Guarda la Lagunita (Las Canoas),San Jernimo de los Jarros,San Isidro Boxipe,San Jernimo Bonchete,San Antonio Villalongn,San Francisco Curungueo,San Juan Jalpa Centro,Pursima Concepcin Mayorazgo (Mayorazgo),Senguio,Sitio Ejido,Ejido Loma de Malacota (Loma de Malacota),Tzintzingareo,San Felipe los Alzati (Colonia Nueva),Jalpa de los Baos,Tuzantla,Santa Cruz Bombatevi,Barrio San Joaqun la Cabecera,Barrio de San Pedro la Cabecera,San Sebastin Buenos Aires (San Sebastin),La Puerta del Pilar,Barrio San Joaqun el Junco,San Juan,Zacazonapan,Bombatevi Ejido (Ejido Santa Cruz Bombatevi),Manzana de San Luis,Irimbo,San Juan Xoconusco,San Lucas Ocotepec,Cieneguillas de Guadalupe,San Agustn Citlali,Tecoac (Santa Mara Nativitas),San Ildefonso Tultepec (Centro),Santa Ana la Ladera,San Felipe Santiago,San Lorenzo Malacota,San Lorenzo Toxico,San Felipe Santiago,Dolores Hidalgo,San Marcos de la Loma,Mextepec (Ex-Hacienda Mextepec),San Jernimo Ixtapantongo,Tlalpujahua de Rayn,San Antonio de las Huertas,Barrio Cuarto (La Loma),San Agustn de las Palmas (San Agustn),Benito Jurez,Santiago Puriatzcuaro,Emilio Portes Gil,Santiago Coachochitln,Manzana Tercera de Santa Cruz Tepexpan,San Lucas Totolmaloya,Ocampo,Guadalupe Cachi,Villa Victoria,Santa Clara de Jurez,San Juan de las Manzanas,Pueblo Nuevo,Los Reyes,Agostitln,Villa de Acambay de Ruz Castaeda,Santa Mara del Llano,Calvario del Carmen,Contepec,San Pedro del Rosal,San Matas Grande,San Cristbal los Baos,San Felipe del Progreso,San Ildefonso,Pueblo Nuevo,La Magdalena,Santa Ana Ixtlahuaca (Santa Ana Ixtlahuacingo),Tungareo,Mineral de Angangueo,Manzana Cuarta de Santa Cruz Tepexpan,San Antonio Enchisi,San Agustn Mextepec,San Pedro el Alto,Santiago Casandeje,San Bartolo Cuitareo,San Simn de la Laguna,Jungapeo de Jurez,San Juan Coajomulco,San Miguel la Labor,Colorines,El Oro de Hidalgo,San Miguel Tenochtitln,Santiago Acutzilapan,San Nicols Guadalupe,Santa Mara Citendeje,Rincn de Nicols Romero (Cedros Tercera Manzana),Ixtlahuaca de Rayn,San Francisco Tepeolulco,La Concepcin los Baos,Emiliano Zapata (Santo Domingo),San Lorenzo Tlacotepec,Jocotitln,Santo Domingo de Guzmn,Tuxpan,San Pedro los Baos,San Bartolo del Llano,Temascalcingo de Jos Mara Velasco,Atlacomulco de Fabela,Valle de Bravo,Maravato de Ocampo,Ciudad Hidalgo,Herica Zitcuaro, 
San Miguel Agua Bendita,0,51.923,65.857,15.758,49.438,29.733,21.787,115.677,62.28,24.366,16.272,55.497,38.661,71.093,69.653,58.248,32.784,111.134,36.162,48.529,49.378,69.904,35.329,46.256,73.836,134.722,41.069,43.828,61.72,65.74,21.404,57.212,49.535,38.137,95.21,36.118,61.03,77.482,54.173,42.49,26.963,26.466,37.005,49.516,35.054,22.252,60.537,71.791,83.585,103.822,29.951,39.036,54.555,87.714,42.576,41.514,37.424,69.442,39.147,77.156,57.714,95.486,57.831,55.615,9.754,52.811,43.19,80.531,30.717,22.117,44.28,65.764,50.148,31.27,74.591,35.122,52.96,45.217,29.889,27.6,31.104,78.325,64.482,73.621,27.95,13.846,95.014,27.29,29.51,49.535,9.425,35.536,56.968,47.459,35.815,35.277,42.976,39.056,51.249,48.768,63.725,38.932,50.541,46.398,35.019,82.791,72.907,71.588,56.909, 
Buenavista,51.923,0,51.953,34.82,49.752,68.829,69.242,101.773,93.275,56.68,56,30.943,128.743,87.76,41.074,89.243,71.089,151.553,51.807,82.418,82.418,85.842,78.325,82.063,160.977,215.686,51.33,62.583,47.816,119.16,60.024,139.809,96.948,54.075,101.882,77.703,93.348,94.149,90.665,148.91,60.696,87.248,128.126,84.937,19.569,76.577,76.475,166.06,124.004,54.756,63.684,32.185,86.873,94.386,69.162,80.308,80.42,85.38,87.429,93.823,74.381,82.157,64.503,80.609,63.877,9.44,59.128,60.171,70.708,53.657,83.294,72.436,43.297,83.684,16.876,53.877,85.278,63.161,63.622,67.593,45.324,64.421,158.751,82.896,48.007,72.974,181.514,23.781,59.085,65.473,64.796,46.696,101.935,80.084,39.619,68.531,83.225,53.934,67.916,77.648,70.102,68.897,82.697,39.547,51.339,163.755,23.841,57.684,96.971, 
San Lorenzo Querndaro,65.857,51.953,0,62.439,92.242,111.319,127.292,52.083,38.977,99.17,74.953,21.683,108.898,130.25,12.95,34.946,113.579,97.256,94.297,140.184,142.5,128.332,92.634,141.82,103.734,173.757,93.82,40.405,4.814,64.863,80.085,102.969,136.138,96.565,144.372,120.193,151.349,136.639,137.564,73.926,103.186,111.583,121.394,138.915,67.549,115.356,118.965,84.802,69.707,36.868,106.174,74.675,144.874,136.876,28.692,122.798,86.924,127.87,129.919,136.313,116.871,32.467,106.993,123.099,73.312,66.803,101.618,18.952,113.198,96.147,143.051,114.926,85.787,126.869,37.479,31.699,142.718,105.651,106.112,110.083,87.814,14.731,94.38,28.599,90.497,75.614,124.912,61.48,101.575,107.963,72.983,89.186,47.637,122.574,82.109,111.021,125.715,96.424,110.406,120.138,15.805,111.387,125.187,82.037,93.829,121.738,28.579,7.994,42.674, 
Guarda la Lagunita (Las Canoas),15.758,34.82,62.439,0,43.261,36.656,33.206,113.966,60.569,25.926,17.833,40.755,53.948,72.654,55.43,56.537,34.344,118.847,37.723,54.215,55.064,71.465,43.967,51.942,82.474,143.36,42.63,42.117,60.009,74.378,22.965,65.85,59.928,39.698,96.771,41.804,66.716,79.043,59.859,51.128,28.523,44.873,52.292,55.202,17.86,37.539,62.098,80.429,91.298,86.628,31.511,28.515,60.241,89.275,40.865,47.2,46.062,71.003,44.833,78.717,59.275,93.775,59.392,61.301,22.625,35.617,44.751,78.82,32.277,23.678,49.966,67.325,39.627,39.882,57.397,33.411,58.646,46.778,31.449,35.42,32.665,76.614,73.12,71.91,29.511,27.965,103.652,12.63,31.071,51.096,23.544,37.097,69.228,53.145,30.851,36.837,48.661,40.617,52.81,54.454,62.014,40.492,56.227,35.877,36.58,91.429,55.713,69.877,64.265, 
San Jernimo de los Jarros,49.438,49.752,92.242,43.261,0,40.237,40.65,140.993,142.925,28.088,33.246,83.418,90.173,49.19,80.294,146.732,32.519,193.783,12.328,43.848,43.848,47.272,105.712,43.493,122.407,177.116,8.922,86.357,87.036,140.347,31.433,101.239,58.378,15.505,51.355,39.133,54.778,55.579,52.095,110.34,32.104,58.656,89.556,46.367,45.839,47.985,37.905,127.49,166.234,93.976,35.092,16.01,48.303,43.859,85.106,41.738,100.002,46.81,48.859,55.253,35.811,121.377,14.329,42.039,43.009,41.464,20.558,99.391,32.138,25.065,44.724,9.725,22.536,45.114,64.745,77.651,46.708,24.591,35.03,39.001,20.37,103.641,120.181,122.116,23.053,44.382,142.944,33.451,19.166,26.903,43.928,19.144,139.617,41.514,13.858,29.961,44.655,9.258,29.346,39.078,109.322,30.327,44.127,20.011,12.113,125.185,63.061,96.904,139.558, 
San Isidro Boxipe,29.733,68.829,111.319,36.656,40.237,0,17.07,154.569,87.558,15.132,21.287,76.441,25.124,37.058,101.14,91.365,13.087,138.416,29.271,17.907,18.756,53.055,47.641,15.634,62.716,130.205,34.178,74.397,92.289,84.981,14.367,43.169,23.621,31.02,88.319,5.497,30.409,38.459,23.551,54.974,9.819,22.232,23.468,18.894,55.998,17.131,45.452,72.577,110.867,114.822,6.779,42.94,23.934,80.823,73.146,10.893,41.931,50.61,8.526,43.121,20.158,130.616,50.94,24.994,31.049,62.31,30.978,141.069,17.655,15.55,13.658,58.873,54.053,3.575,85.591,65.691,22.339,27.036,5.876,2.749,24.213,136.848,65.268,108.751,21.059,18.053,95.8,47.197,22.619,37.868,21.476,28.645,84.25,16.838,34.723,14.942,12.354,32.165,20.208,18.147,110.89,13.398,19.92,50.303,28.128,78.274,83.907,130.111,84.191, 
San Jernimo Bonchete,21.787,69.242,127.292,33.206,40.65,17.07,0,153.725,86.714,16.813,16.301,72.945,28.345,49.348,102.821,90.521,19.975,137.572,30.952,34.63,35.479,59.77,38.274,32.357,74.651,129.36,35.859,64.017,81.909,84.136,10.841,46.39,40.343,32.927,90,22.219,47.131,55.737,40.274,54.129,11.5,22.607,26.689,35.617,52.502,11.936,52.167,71.732,110.023,116.503,11.926,44.621,40.656,82.504,62.765,27.615,41.087,57.701,25.248,55.411,35.969,129.772,52.621,41.716,18.943,63.991,37.98,140.225,24.542,17.231,30.381,60.554,55.734,20.297,87.272,55.311,39.061,40.007,11.864,15.835,25.894,136.004,64.423,107.907,22.74,8.334,94.955,44.738,24.3,44.325,12.361,30.326,83.406,33.56,36.404,21.83,29.076,33.846,32.95,34.869,110.046,25.485,36.642,51.984,29.809,77.429,85.588,129.267,83.347, 
San Antonio Villalongn,115.677,101.773,52.083,113.966,140.993,154.569,153.725,0,94.712,153.688,129.471,76.201,164.633,184.768,59.222,90.681,168.097,152.991,148.815,195.919,198.235,182.85,148.369,197.555,159.469,229.492,148.338,94.923,59.332,120.598,134.603,158.704,191.873,151.083,198.89,174.711,207.084,191.157,193.299,129.661,157.704,167.318,177.129,194.65,122.067,171.091,173.483,140.537,125.442,69.172,160.692,129.193,200.609,191.394,83.21,177.316,142.659,182.388,184.437,190.831,171.389,24.459,161.511,177.617,127.83,121.321,156.136,46.056,167.716,150.665,198.786,169.444,140.305,182.604,91.997,86.217,198.453,160.169,160.63,164.601,142.332,37.455,150.115,84.334,145.015,130.132,180.647,115.998,156.093,162.481,127.501,143.704,103.372,177.092,136.627,165.539,180.233,150.942,164.924,174.656,71.54,165.905,198.461,136.555,148.347,177.473,83.097,48.634,98.409, 
San Francisco Curungueo,62.28,93.275,38.977,60.569,142.925,87.558,86.714,94.712,0,81.902,73.809,62.8,72.995,124.278,53.16,5.07,128.396,61.352,135.69,104.281,106.597,140.275,56.731,105.917,67.831,137.854,136.941,31.509,45.931,28.96,78.941,67.066,100.235,132.463,191.082,116.87,115.446,123.496,101.661,38.023,84.499,75.68,85.491,103.012,63.067,79.453,132.672,48.899,33.803,72.69,98.342,115.792,108.971,183.586,20.138,113.489,51.021,137.83,113.098,130.341,121.671,44.32,153.703,112.392,72.168,107.92,132.421,54.774,130.485,79.654,107.148,161.636,126.904,90.966,78.596,30.556,106.815,128.479,97.439,93.815,88.641,50.553,58.477,22.455,85.487,82.156,89.009,69.303,87.047,139.311,84.713,139.744,11.734,105.442,123.226,125.974,109.876,138.905,121.651,109.466,24.594,123.336,106.823,123.154,133.728,85.835,69.696,43.816,6.771, 
San Juan Jalpa Centro,24.366,56.68,99.17,25.926,28.088,15.132,16.813,153.688,81.902,0,10.511,65.665,39.288,38.589,88.99,78.042,8.578,148.515,17.121,33.247,33.247,50.863,49.217,30.416,111.806,166.515,22.028,63.621,95.732,95.079,8.697,57.333,38.403,19.096,76.169,15.774,44.177,44.978,41.494,65.072,6.998,33.55,37.632,35.766,44.908,22.879,41.496,82.675,120.966,102.672,11.046,30.79,37.702,68.673,62.37,19.819,52.03,50.401,23.308,44.652,25.21,115.28,38.79,31.438,20.273,50.16,24.149,108.087,8.453,3.4,28.44,46.723,41.903,18.357,73.441,54.915,36.107,26.176,9.924,13.895,12.063,112.337,75.366,93.415,8.909,19.276,105.898,35.047,10.469,30.494,21.193,16.495,94.349,30.913,22.573,11.071,23.266,20.015,22.191,28.477,83.519,14.726,33.526,38.153,15.978,114.584,71.757,105.6,94.29, 
