LOCALIDADES,Chichimequillas,Jaral de Berrios,Rizos de la Joya (Rizos del Saucillo),San Nicols de los Gonzlez,Los Rodrguez,Puentecillas,Valencianita,San Juan Pan de Arriba,Loza de los Padres,Cuchicuato,San Juan de Otates,Comanjilla,El Carrizal Grande,Caada de Bustos,Bajo de Bonillas,Rancho Nuevo de la Cruz,lvaro Obregn (Santa Ana del Conde),La Sauceda (Santa Fe de Guadalupe),Colonias Nuevo Mxico,Fraccionamiento Cristeros,Laguna de Guadalupe,Paso de Cuarenta (San Miguel de Cuarenta),San Jos de Llanos,Coecillo,Aldama,Franco,Lo de Jurez,San Cristbal,San Juan de Abajo,La Calera,Matancillas (San Isidro Matancillas),Plan de Ayala (Santa Rosa),Villas de Irapuato,San Diego de Alejandra,Villa de Arriaga,La Aldea,San Bartolo de Berrios,Duarte,Ocampo,Santa Teresa,San Diego de la Unin,Unin de San Antonio,Arandas,Yerbabuena,Ojuelos de Jalisco,San Julin,Cuermaro,Ciudad Manuel Doblado,Medina,La Ermita,Romita,San Felipe,Marfil,Centro Familiar la Soledad,Pnjamo,Pursima de Bustos,Dolores Hidalgo Cuna de la Independencia Nacional,San Francisco del Rincn,Guanajuato,Silao,Lagos de Moreno,Irapuato,Len de los Aldama, 
Chichimequillas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.906,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 
Jaral de Berrios,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 
Rizos de la Joya (Rizos del Saucillo),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.138,0,0,0,0,0,0,0,0,0, 
San Nicols de los Gonzlez,0,0,0,0,0,0,0,0,0,0,5.044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 
Los Rodrguez,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.745,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.746,0,0,0, 
Puentecillas,0,0,0,0,0,0,0,0,0,0,0,0,0,6.223,0,0,0,13.436,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.699,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 
Valencianita,0,0,0,0,0,0,0,0,0,0,0,0,5.626,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 
San Juan Pan de Arriba,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 
Loza de los Padres,0,0,0,0,0,0,0,0,0,0,7.159,0,0,0,0,0,14.075,0,15.889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.917,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 
Cuchicuato,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.962,0,0,0,0,10.731,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 
San Juan de Otates,0,0,0,5.044,0,0,0,0,7.159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 
Comanjilla,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 
El Carrizal Grande,0,0,0,0,0,0,5.626,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.821,0, 
Caada de Bustos,0,0,0,0,0,6.223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 
Bajo de Bonillas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.787,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 
Rancho Nuevo de la Cruz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.598,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 
lvaro Obregn (Santa Ana del Conde),0,0,0,0,0,0,0,0,14.075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 
La Sauceda (Santa Fe de Guadalupe),0,0,0,0,0,13.436,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 
Colonias Nuevo Mxico,0,0,0,0,0,0,0,0,15.889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 
Fraccionamiento Cristeros,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.028,0,0, 
Laguna de Guadalupe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.522,0,0,0,0,0,0,0,0,0,34.647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 
Paso de Cuarenta (San Miguel de Cuarenta),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.662,0,0, 
San Jos de Llanos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 
Coecillo,9.906,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.865,0,0,0, 
Aldama,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.114,0,0,0,0,0,0,2.932,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 
Franco,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.787,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.893,0,0,0, 
Lo de Jurez,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.292,0,0,0,0,0,0,0,0,0,0,0,0,8.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 
San Cristbal,0,0,0,0,0,0,0,0,0,2.962,0,0,0,0,0,5.464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 
San Juan de Abajo,0,0,0,11.445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 
La Calera,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.932,0,13.292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 
Matancillas (San Isidro Matancillas),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.765,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 
Plan de Ayala (Santa Rosa),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.085,0,0,0,0,9.871, 
Villas de Irapuato,0,0,0,0,0,0,0,0,0,10.731,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.877,0, 
