LOCALIDADES,Ciudad Mante,Tampico,Ciudad Victoria, ,,,,
Ciudad Mante,0,152.74,138.105, ,,,,
Tampico,152.74,0,240.21, ,,,,
Ciudad Victoria,138.105,240.21,0, ,,,,
,,,,,,,,
,,,,,,,,
LOCALIDADES,Ciudad Mante,Tampico,Ciudad Victoria,,LOCALIDADES,Ciudad Mante,Tampico,Ciudad Victoria
Ciudad Mante,0,16.118,63.149,,Ciudad Mante,0,González-Estación Mnauel,Xicoténcatl-Llera de Canales
Tampico,16.118,0,0,,Tampico,González-Estación Mnauel,0,La conexión se forma con la conexión de Ciudad Mante
Ciudad Victoria,63.149,0,0,,Ciudad Victoria,Xicoténcatl-Llera de Canales,La conexión se forma con la conexión de Ciudad Mante,0
